date,open,high,low,close,volume,open_interest,settle
2026-04-16,2.998,3.095,2.985,3.0789,51719,71149,3.0913
2026-04-17,3.0918,3.1,2.8237,2.9454,84553,76318,2.9295
2026-04-20,3.0368,3.0795,2.9867,3.0118,49984,81176,3.0356
2026-04-21,3.0009,3.168,3.0009,3.1311,59816,82967,3.1283
2026-04-22,3.1219,3.2591,3.0754,3.2488,64978,83137,3.2484
2026-04-23,3.2311,3.371,3.2104,3.3519,66134,86344,3.3342
2026-04-24,3.3465,3.368,3.2672,3.3471,61143,85747,3.3277
2026-04-27,3.3478,3.4029,3.3312,3.3717,50399,88821,3.3649
2026-04-28,3.3652,3.4422,3.34,3.4422,55753,92828,3.4272
2026-04-29,3.4257,3.6277,3.4077,3.6126,72230,96580,3.5922
2026-04-30,3.6132,3.6673,3.5116,3.6277,59741,98774,3.4473
2026-05-01,3.4698,3.5035,3.3739,3.4433,35679,58043,3.4303
2026-05-04,3.4065,3.5933,3.3807,3.5574,32667,58543,3.5709
2026-05-05,3.5622,3.5647,3.4505,3.4944,42417,59193,3.4694
2026-05-06,3.4874,3.4943,3.1543,3.3236,55924,62252,3.314
2026-05-07,3.3113,3.3748,3.1975,3.3656,48365,64644,3.306
2026-05-08,3.3619,3.3753,3.2765,3.354,51401,67925,3.3595
2026-05-11,3.4038,3.4839,3.394,3.4404,47845,71171,3.4375
2026-05-12,3.4574,3.5508,3.444,3.5185,40791,77378,3.5365
2026-05-13,3.5276,3.5429,3.453,3.459,54396,81425,3.4709
2026-05-14,3.4585,3.4953,3.3883,3.4797,45014,85811,3.4607
2026-05-15,3.49,3.5674,3.4688,3.5588,43123,88344,3.5564
2026-05-18,3.56,3.6385,3.516,3.551,44623,90078,3.6214
2026-05-19,3.5759,3.5889,3.526,3.5541,51183,91800,3.5742
2026-05-20,3.5582,3.5692,3.3573,3.3916,65132,94002,3.3831
2026-05-21,3.3845,3.458,3.2573,3.3476,68961,93978,3.2758
2026-05-22,3.3592,3.3781,3.292,3.3545,58034,94606,3.3514
2026-05-26,3.2667,3.2712,3.1289,3.1388,80346,98084,3.1468
2026-05-27,3.138,3.1467,2.9911,3.0859,62269,100065,3.067
2026-05-28,3.0823,3.1574,3.0171,3.1059,51933,104813,3.1009
2026-05-29,3.1,3.1105,3.0066,3.0469,47800,105094,3.0344
2026-06-01,2.9848,3.0928,2.9788,3.0228,46404,42215,3.0165
2026-06-02,3.016,3.0838,2.9791,3.0609,37472,43406,3.0774
2026-06-03,3.0669,3.1337,3.0619,3.0724,41025,46665,3.0728
2026-06-04,3.0859,3.0859,2.948,2.9832,44190,50132,2.9831
2026-06-05,2.988,3.0177,2.9574,2.985,46510,51345,2.9868
2026-06-08,3.0381,3.112,3.0008,3.0158,39688,53448,3.019
2026-06-09,3.0136,3.0259,2.9277,2.9914,48208,55579,2.9808
2026-06-10,3.0034,3.0951,2.9639,3.0923,44461,61308,3.0632
2026-06-11,3.0951,3.1326,2.9913,3.0074,59745,63193,3.0458
2026-06-12,3.002,3.0258,2.912,2.98,43747,68084,2.9867
2026-06-15,2.9374,2.96,2.8591,2.8981,44440,69981,2.8843
2026-06-16,2.8953,2.9069,2.7793,2.8303,50730,73032,2.8132
2026-06-17,2.8265,2.8906,2.791,2.8278,52019,79627,2.8333
2026-06-18,2.8324,2.9161,2.7807,2.8869,63001,85822,2.9017
2026-06-22,2.9271,2.9479,2.8544,2.8909,67274,89526,2.8795
2026-06-23,2.8961,2.9073,2.811,2.8435,53079,90683,2.8584
2026-06-24,2.8498,2.8499,2.763,2.7812,58053,95850,2.7915
2026-06-25,2.7722,2.9084,2.7565,2.8864,68997,95651,2.9024
2026-06-26,2.884,2.8921,2.7917,2.8529,63606,96869,2.8259
2026-06-29,2.8582,2.9083,2.8335,2.8897,47143,98778,2.9012
2026-06-30,2.9078,2.9283,2.8741,2.903,48257,97968,2.7311
2026-07-01,2.7399,2.7832,2.7336,2.7639,45821,60199,2.7734
2026-07-02,2.7617,2.7642,2.6916,2.7464,43881,63572,2.7456
2026-07-06,2.7491,2.8325,2.7377,2.821,45414,65830,2.8186
2026-07-07,2.807,2.8428,2.7652,2.8361,49928,66374,2.7893
2026-07-08,2.8532,2.9709,2.7837,2.9596,64000,66605,2.9229
2026-07-09,2.943,2.9742,2.8473,2.8501,53200,71907,2.867
2026-07-10,2.8679,2.8679,2.7869,2.8203,50438,77493,2.8216
2026-07-13,2.8687,2.9944,2.8587,2.9757,58370,81106,2.9819
2026-07-14,2.9819,3.0749,2.974,3.0503,57963,84870,3.0409
2026-07-15,3.043,3.121,3.0373,3.1056,51620,91755,3.0975
2026-07-16,3.0999,3.1577,3.0717,3.1129,48094,94500,3.0912
2026-07-17,3.1143,3.226,3.0797,3.1892,51848,95846,3.1916
2026-07-20,3.2154,3.2565,3.142,3.198,55505,98340,3.1962
2026-07-21,3.2052,3.2439,3.1681,3.224,53686,101523,3.2263
2026-07-22,3.2169,3.2964,3.2165,3.2439,54481,104613,3.2449
2026-07-23,3.2461,3.36,3.2461,3.323,57100,104826,3.3242
2026-07-24,3.3284,3.332,3.2182,3.2725,59407,101617,3.2516
2026-07-27,3.1324,3.2118,3.1016,3.152,62609,101932,3.1696
2026-07-28,3.1523,3.185,3.1191,3.138,54537,101690,3.1443
2026-07-29,3.1402,3.2388,3.1402,3.2195,48792,104799,3.2258
2026-07-30,3.2258,3.2258,3.1108,3.1253,50856,107324,3.1313
2026-07-31,3.1291,3.1735,3.065,3.1713,51475,106204,3.1142
2026-08-03,2.7697,2.7771,2.6994,2.7051,33515,52640,2.7095
2026-08-04,2.7038,2.7496,2.5729,2.5922,46750,51582,2.604
2026-08-05,2.5923,2.6288,2.5524,2.5944,43501,49596,2.6003
2026-08-06,2.5919,2.7167,2.575,2.7132,39092,49815,2.6944
2026-08-07,2.7129,2.7602,2.6864,2.7146,38665,50683,2.7387
2026-08-10,2.74,2.8824,2.7271,2.868,43553,54230,2.8713
2026-08-11,2.8707,2.921,2.8386,2.8915,49385,56764,2.8834
2026-08-12,2.8946,2.9193,2.8449,2.8762,46667,63686,2.8926
2026-08-13,2.8867,2.9035,2.8463,2.8529,55643,66790,2.8666
2026-08-14,2.8496,2.9096,2.8327,2.9008,45218,73156,2.9044
2026-08-17,2.9003,2.9818,2.8836,2.9818,48819,76395,2.9776
2026-08-18,2.9905,3.0285,2.975,3.0142,52804,79503,3.0081
2026-08-19,3.0178,3.039,2.9466,2.9529,51442,82317,2.9775
2026-08-20,2.9422,3.0225,2.9374,3.0107,64494,86430,3.0091
2026-08-21,3.0101,3.0751,2.9897,3.0223,59323,90939,3.0468
2026-08-24,3.0268,3.0383,2.9501,2.9699,54703,93745,2.9688
2026-08-25,2.9779,2.9949,2.8632,2.8928,60785,95986,2.9297
2026-08-26,2.8869,2.9912,2.8696,2.9313,58575,97376,2.9606
2026-08-27,2.9277,3.0028,2.8934,2.9846,60914,100667,2.9904
2026-08-28,2.9868,3.072,2.9716,3.048,48179,104768,3.0502
2026-08-31,3.0613,3.1124,3.0433,3.1102,39669,106622,2.8892
2026-09-01,2.9249,2.9938,2.9021,2.9899,45647,66473,2.9661
2026-09-02,2.994,3.0173,2.9258,2.9339,49460,71935,2.9382
2026-09-03,2.9373,2.9761,2.8911,2.976,43364,74725,2.9589
2026-09-04,2.9688,3.0182,2.905,2.9978,47808,75537,3.0135
2026-09-08,3.0272,3.1093,2.9825,3.088,69389,74494,3.0653
2026-09-09,3.0995,3.1036,3.0222,3.0648,70490,78589,3.0481
2026-09-10,3.064,3.246,3.0316,3.2453,70855,83360,3.2063
2026-09-11,3.2459,3.2742,3.1125,3.1266,60168,87857,3.1198
2026-09-14,3.1436,3.2335,3.1436,3.2307,9292,88582,None
