date,open,high,low,close,volume,open_interest,settle
2026-04-21,2.3209,2.3209,2.3209,2.3209,49,208,2.3209
2026-04-22,2.3388,2.3388,2.3388,2.3388,48,208,2.3388
2026-04-23,2.3611,2.3611,2.3611,2.3611,58,219,2.3611
2026-04-24,2.36,2.36,2.36,2.36,59,220,2.3359
2026-04-27,2.3653,2.3653,2.3653,2.3653,9,227,2.3653
2026-04-28,2.3628,2.3628,2.3628,2.3628,12,227,2.3628
2026-04-29,2.3852,2.3852,2.3852,2.3852,27,228,2.3852
2026-04-30,2.405,2.405,2.405,2.405,40,220,2.405
2026-05-01,2.3998,2.3998,2.3998,2.3998,0,203,2.3998
2026-05-04,2.4843,2.4843,2.4843,2.4843,120,203,2.4843
2026-05-05,2.4608,2.4608,2.4608,2.4608,84,232,2.4608
2026-05-06,2.3962,2.3962,2.3962,2.3962,84,238,2.3962
2026-05-07,2.4119,2.4119,2.4119,2.4119,31,229,2.4119
2026-05-08,2.4617,2.4617,2.4617,2.4617,22,239,2.4617
2026-05-11,2.5048,2.5048,2.5048,2.5048,66,248,2.5048
2026-05-12,2.5637,2.5637,2.5637,2.5637,212,252,2.5637
2026-05-13,2.5243,2.5243,2.5243,2.5243,23,289,2.5243
2026-05-14,2.4973,2.4973,2.4973,2.4973,24,284,2.4973
2026-05-15,2.5283,2.5283,2.5283,2.5283,9,280,2.5283
2026-05-18,2.5717,2.5717,2.5717,2.5717,11,282,2.5717
2026-05-19,2.5559,2.5559,2.5559,2.5559,8,282,2.5559
2026-05-20,2.4916,2.4916,2.4916,2.4916,36,283,2.4916
2026-05-21,2.4757,2.4757,2.4757,2.4757,19,276,2.4757
2026-05-22,2.519,2.519,2.519,2.519,2,272,2.5088
2026-05-26,2.3256,2.3256,2.3256,2.3256,42,273,2.4841
2026-05-27,2.4573,2.4573,2.4573,2.4573,11,273,2.4573
2026-05-28,2.4927,2.4927,2.4927,2.4927,82,271,2.4927
2026-05-29,2.461,2.461,2.461,2.461,22,270,2.461
2026-06-01,2.5089,2.5089,2.5089,2.5089,73,275,2.5089
2026-06-02,2.5517,2.5517,2.5517,2.5517,28,294,2.5517
2026-06-03,2.5871,2.5871,2.5871,2.5871,216,289,2.5871
2026-06-04,2.5407,2.5407,2.5407,2.5407,16,267,2.5407
2026-06-05,2.5379,2.5379,2.5379,2.5379,108,269,2.5379
2026-06-08,2.5805,2.5805,2.5805,2.5805,37,251,2.5805
2026-06-09,2.5592,2.5592,2.5592,2.5592,11,250,2.5592
