time,open,high,low,close,EMA,EMA,Histogram,MACD,Signal line
2020-01-27,11.715,11.905,11.575,11.7375,12.071709192127262,12.108699614113206,-0.044392961972856027,0.07000406588181818,0.1143970278546742
2020-01-28,11.7625,11.915,11.62,11.7375,12.039879745257998,12.041208775183533,-0.06339212557064737,0.03515687089136499,0.09854899646201236
2020-01-29,11.7725,12.1225,11.73965,11.9875,12.03489119809057,12.031443543331982,-0.0569213497008262,0.027397309335979614,0.08431865903680581
2020-01-30,11.8675,12.1475,11.8675,12.145,12.045377750653373,12.052090171817076,-0.04059911660413508,0.033569763281636966,0.07416887988577205
2020-01-31,12.055,12.06,11.64,11.75,12.017246536305432,11.997164686032153,-0.054124545062387966,0.006513198557787092,0.06063774362017506
2020-02-03,11.8525,12.81,11.845,12.7925,12.091080199514439,12.14177110675358,0.006212368295867056,0.06840320399000888,0.06219083569414182
2020-02-04,12.865,13.6425,12.865,13.34,12.210024942417826,12.359630905525657,0.07807790301937473,0.15978821446836022,0.0817103114489855
2020-02-05,13.575,13.575,12.9375,13.035,12.288593995520891,12.482425286339174,0.09881953044666392,0.2052347245073154,0.10641519406065147
2020-02-06,13.07,13.27,12.86,12.9325,12.349918376899854,12.564257052459324,0.09912822005575544,0.2303254691303458,0.13119724907459035
2020-02-07,12.885,12.9775,12.7825,12.9375,12.40587853148082,12.632119406557628,0.09324822366810692,0.247757528659724,0.15450930499161708
2020-02-10,12.9075,13.3675,12.875,13.3625,12.496985338006455,12.764915878092605,0.11038840515885068,0.2924948114401804,0.18210640628132974
2020-02-11,13.52,13.823125,13.38,13.81,12.622034353434412,12.954931172984859,0.14224297146352413,0.3599101206107349,0.21766714914721078
2020-02-12,13.89,13.89,13.565,13.8,12.73422155786923,13.108580050623976,0.1521295784003569,0.4078291221476569,0.2556995437473
2020-02-13,13.7725,13.83,13.6275,13.8175,12.837390933310255,13.237474586874162,0.14913707339621246,0.44212088549256556,0.2929838120963531
2020-02-14,13.82,13.867475,13.735,13.785,12.927639415852136,13.33702466198795,0.13469826584603994,0.461356644403903,0.32665837855786306
2020-02-18,13.7225,13.885,13.605,13.705,13.001673757199551,13.403929268899232,0.11050370013666633,0.464788003728696,0.35428430359202967
2020-02-19,13.7275,14.045,13.7275,13.9675,13.093657208894832,13.506396674553917,0.10306842289999585,0.4831198322170245,0.38005140931702863
2020-02-20,14.4,14.625,14.09545,14.25,13.203785093761992,13.641597279180477,0.1075687520075686,0.5145123493264894,0.40694359731892077
2020-02-21,14.185,14.185,13.595,13.76,13.256757941975135,13.66312504660221,0.06976985700844185,0.49415591857947305,0.4243860615710312
2020-02-24,13.25,13.5925,13.065,13.4875,13.278733376072742,13.631193219947262,0.021161430610177834,0.4508378498337535,0.4296764192235757
2020-02-25,13.5,13.535,12.8625,13.07,13.258854006922958,13.52915808904776,-0.040975859054667385,0.37845659540524146,0.41943245445990884
2020-02-26,13.1675,13.605,13.155,13.515,13.283248863406486,13.526583891039076,-0.05319931140205264,0.35293331520734306,0.4061326266093957
2020-02-27,13.1525,13.852425,12.895,12.91,13.24770135260587,13.41447772903197,-0.100384258956972,0.28065230291318066,0.38103656187015267
2020-02-28,12.575,12.9975,12.26625,12.775,13.202682176167215,13.298209051026157,-0.13678578344488745,0.21005433256404338,0.34684011600893083
2020-03-02,12.85,13.66,12.595,13.5575,13.236474349865576,13.345352859930493,-0.10565577017760724,0.21477040328692176,0.320426173464529
2020-03-03,13.5675,13.7475,12.8675,12.915,13.205857745116473,13.267106885397675,-0.12452954415201395,0.16476424327451156,0.2892937874265255
2020-03-04,13.0025,13.02,12.415,12.6475,13.152680817010143,13.154451088052644,-0.14953987686351622,0.10236894134713026,0.2519088182106465
2020-03-05,12.3,12.5175,11.8925,12.0575,13.048377882056796,12.955005435679436,-0.1973257676911973,0.005251608596649859,0.20257737628784717
2020-03-06,11.635,12.065,11.4325,12,12.948532369479958,12.78136808373772,-0.22244927042821297,-0.07548421174741904,0.14696505868079393
2020-03-09,11.04,11.1775,10.175,10.9775,12.760815000958058,12.453392068512679,-0.29312845052520276,-0.21944550447570954,0.07368294604949324
2020-03-10,11.28,11.7425,11.23875,11.665,12.656451667533481,12.310048056055829,-0.278859623058057,-0.274891582773078,0.003968040284978991
