date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nr_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
1988-11-30,137079,43707,831,1263,45110,124897,46999,10088,42876,-79787,36911,12786,-2561,2292,21333
1988-12-15,147278,40269,721,1963,53354,129932,51692,14662,39548,-76578,37030,-3438,-110,8244,5035
1988-12-30,143241,39014,0,1715,53391,128730,49121,12796,39014,-75339,36325,-1255,-721,37,-1202
1989-01-13,122377,21599,5813,1746,55390,90554,43642,24264,15786,-35164,19378,-17415,5813,1999,-38176
1989-01-31,120329,19756,6468,1983,54614,90247,43976,21631,13288,-35633,22345,-1843,655,-776,-307
1989-02-15,125315,22301,754,406,56284,107707,46324,16448,21547,-51423,29876,2545,-5714,1670,17460
1989-02-28,135638,33408,225,701,49381,117370,52148,17342,33183,-67989,34806,11107,-529,-6903,9663
1989-03-15,146831,41746,675,1178,53680,127461,50227,17517,41071,-73781,32710,8338,450,4299,10091
1989-03-31,158892,43430,809,470,64957,139997,50035,17616,42621,-75040,32419,1684,134,11277,12536
1989-04-14,156640,44020,848,1003,65637,135759,45980,19030,43172,-70122,26950,590,39,680,-4238
1989-04-28,140945,38482,2309,603,60610,120318,41250,17715,36173,-59708,23535,-5538,1461,-5027,-15441
1989-05-15,156842,54429,1514,1040,52231,136663,49142,17625,52915,-84432,31517,15947,-795,-8379,16345
1989-05-31,149979,33059,11724,1693,76356,115587,38871,20975,21335,-39231,17896,-21370,10210,24125,-21076
1989-06-15,167298,46046,6177,942,69825,139249,50485,20930,39869,-69424,29555,12987,-5547,-6531,23662
1989-06-30,170195,61507,639,689,56343,157860,51656,11007,60868,-101517,40649,15461,-5538,-13482,18611
1989-07-14,188895,55354,1133,2805,71460,168116,59276,16841,54221,-96656,42435,-6153,494,15117,10256
1989-07-31,186970,52837,3780,1558,73204,163204,59371,18428,49057,-90000,40943,-2517,2647,1744,-4912
1989-08-15,180457,46882,3439,1867,78453,155396,53255,19755,43443,-76943,33500,-5955,-341,5249,-7808
1989-08-31,170933,37562,4465,1940,76560,143162,54871,21366,33097,-66602,33505,-9320,1026,-1893,-12234
1989-09-15,169686,45169,1196,395,62708,150341,61414,17754,43973,-87633,43660,7607,-3269,-13852,7179
1989-09-29,158020,52342,255,782,54698,148128,50198,8855,52087,-93430,41343,7173,-941,-8010,-2213
1989-10-13,151245,46359,585,684,51922,134829,52280,15147,45774,-82907,37133,-5983,330,-2776,-13299
1989-10-31,151998,43816,1544,1150,58485,134525,48547,14779,42272,-76040,33768,-2543,959,6563,-304
1989-11-15,174186,51728,6839,908,56288,148174,65262,18265,44889,-91886,46997,7912,5295,-2197,13649
1989-11-30,170297,45148,2610,1179,65114,146702,58856,19806,42538,-81588,39050,-6580,-4229,8826,-1472
1989-12-15,162979,35070,7156,1188,74789,130511,51932,24124,27914,-55722,27808,-10078,4546,9675,-16191
1989-12-29,163475,29629,15336,1361,87086,126233,45399,20545,14293,-39147,24854,-5441,8180,12297,-4278
1990-01-15,162340,37725,7230,1846,73310,143593,49459,9671,30495,-70283,39788,8096,-8106,-13776,17360
1990-01-31,167522,40269,5306,1702,72891,143350,52660,17164,34963,-70459,35496,2544,-1924,-419,-243
1990-02-15,159864,35417,8054,1609,67252,135710,55586,14491,27363,-68458,41095,-4852,2748,-5639,-7640
1990-02-28,145483,37389,8317,949,58465,122446,48680,13771,29072,-63981,34909,1972,263,-8787,-13264
1990-03-15,170111,58661,5502,1371,50274,149300,59805,13938,53159,-99026,45867,21272,-2815,-8191,26854
1990-03-30,172851,59070,3873,1800,58252,153776,53729,13402,55197,-95524,40327,409,-1629,7978,4476
1990-04-12,168444,62206,3823,2792,53636,150247,49810,11582,58383,-96611,38228,3136,-50,-4616,-3529
1990-04-30,180698,64818,3735,2316,50517,162996,63047,11651,61083,-112479,51396,2612,-88,-3119,12749
1990-05-15,167135,46669,7900,1690,72250,139755,46526,17790,38769,-67505,28736,-18149,4165,21733,-23241
1990-05-31,165287,45203,17197,1839,80888,127519,37357,18732,28006,-46631,18625,-1466,9297,8638,-12236
1990-06-15,161105,33704,14626,1465,92563,124293,33373,20721,19078,-31730,12652,-11499,-2571,11675,-3226
1990-06-29,153834,34325,14104,1023,92253,126009,26233,12698,20221,-33756,13535,621,-522,-310,1716
1990-07-13,136187,30012,14157,1026,87023,113231,18126,7773,15855,-26208,10353,-4313,53,-5230,-12778
1990-07-31,121474,23907,13670,1366,83190,100690,13011,5748,10237,-17500,7263,-6105,-487,-3833,-12541
1990-08-15,123294,19212,11114,2843,83886,102283,17353,7054,8098,-18397,10299,-4695,-2556,696,1593
1990-08-31,118752,20671,8939,2484,74365,94199,21232,13130,11732,-19834,8102,1459,-2175,-9521,-8084
1990-09-28,104734,24560,9413,1042,58961,90626,20171,3653,15147,-31665,16518,2708,1934,-17525,-11612
1990-10-15,114448,23206,25571,2344,74586,77535,14312,8998,-2365,-2949,5314,-1354,16158,15625,-13091
1990-10-31,109707,20732,19403,2627,61466,68256,24882,19421,1329,-6790,5461,-2474,-6168,-13120,-9279
1990-11-15,108876,23513,8321,2919,56203,90328,26241,7308,15192,-34125,18933,2781,-11082,-5263,22072
1990-11-30,108360,21690,8137,2471,58071,91151,26128,6601,13553,-33080,19527,-1971,-184,1868,823
1990-12-14,108648,17089,9284,2825,64021,85563,24713,10976,7805,-21542,13737,-4601,1147,5950,-5588
1990-12-31,108743,15328,13733,3159,68223,87337,22033,4514,1595,-19114,17519,-1761,4449,4202,1774
1991-01-15,121726,10433,28217,4314,83398,64974,23581,24221,-17784,18424,-640,-4895,14484,15175,-22363
1991-01-31,131983,10922,32357,3179,86629,61084,31253,35363,-21435,25545,-4110,489,4140,3231,-3890
1991-02-15,129273,5069,28567,1969,92205,68444,30030,30293,-23498,23761,-263,-5853,-3790,5576,7360
1991-02-28,121372,7016,27254,1454,87284,77154,25618,15510,-20238,10130,10108,1947,-1313,-4921,8710
1991-03-15,114163,9254,13322,4000,66934,82080,33975,14761,-4068,-15146,19214,2238,-13932,-20350,4926
1991-03-28,114826,9282,12005,2820,67132,81754,35592,18247,-2723,-14622,17345,28,-1317,198,-326
1991-04-15,113922,7309,7380,3298,71279,80850,32036,22394,-71,-9571,9642,-1973,-4625,4147,-904
1991-04-30,104395,7644,18656,3680,70796,61715,22275,20344,-11012,9081,1931,335,11276,-483,-19135
1991-05-15,109542,8622,18559,2570,73974,65913,24376,22500,-9937,8061,1876,978,-97,3178,4198
1991-05-31,116285,8172,15869,2040,78148,75565,27925,22811,-7697,2583,5114,-450,-2690,4174,9652
1991-06-14,108385,14525,6680,1781,56984,77386,35095,22538,7845,-20402,12557,6353,-9189,-21164,1821
1991-06-28,95497,17657,3639,1468,48745,69361,27627,21029,14018,-20616,6598,3132,-3041,-8239,-8025
1991-07-15,109275,21279,3452,2023,49360,86229,36613,17571,17827,-36869,19042,3622,-187,615,16868
1991-07-31,112075,22642,3628,1803,49458,87775,38172,18869,19014,-38317,19303,1363,176,98,1546
1991-08-15,105905,11073,5625,2993,65597,74872,26242,22415,5448,-9275,3827,-11569,1997,16139,-12903
1991-08-30,101458,9090,6252,1951,63956,72651,26461,20604,2838,-8695,5857,-1983,627,-1641,-2221
1991-09-16,100346,14236,2179,835,52831,77812,32444,19520,12057,-24981,12924,5146,-4073,-11125,5161
1991-09-30,101953,26054,1653,2505,41487,83717,31907,14078,24401,-42230,17829,11818,-526,-11344,5905
1991-10-15,90233,17544,2000,1291,47526,70989,23872,15953,15544,-23463,7919,-8510,347,6039,-12728
1991-10-31,93777,18605,229,887,44706,77158,29579,15503,18376,-32452,14076,1061,-1771,-2820,6169
1991-11-15,90783,11773,11083,236,57746,58092,21028,21372,690,-346,-344,-6832,10854,13040,-19066
1991-11-29,86793,8934,3718,1554,52251,65741,24054,15780,5216,-13490,8274,-2839,-7365,-5495,7649
1991-12-13,91536,10164,2258,2521,57950,72546,20901,14211,7906,-14596,6690,1230,-1460,5699,6805
1991-12-31,94598,10205,2554,2228,57673,76677,24492,13139,7651,-19004,11353,41,296,-277,4131
1992-01-15,94966,5894,11417,2310,66068,61322,20694,19917,-5523,4746,777,-4311,8863,8395,-15355
