date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nr_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
2008-11-25,632433,150744,51166,55352,368343,470234,57994,55681,99578,-101891,2313,-756,-5738,-6748,3930
2008-12-02,641098,153817,50021,53623,373983,477823,59675,59631,103796,-103840,44,3073,-1145,5640,7589
2008-12-09,652211,148137,70940,54157,388690,461515,61227,65599,77197,-72825,-4372,-5680,20919,14707,-16308
2008-12-16,641129,146248,58399,53571,385398,474338,55912,54821,87849,-88940,1091,-1889,-12541,-3292,12823
2008-12-22,637493,146555,63041,51999,386589,463712,52350,58741,83514,-77123,-6391,307,4642,1191,-10626
2008-12-30,642954,150741,68202,54411,383994,461584,53808,58757,82539,-77590,-4949,4186,5161,-2595,-2128
2009-01-06,666642,150287,56836,65305,388328,490963,62722,53538,93451,-102635,9184,-454,-11366,4334,29379
2009-01-13,656268,159608,52010,64377,373008,482012,59275,57869,107598,-109004,1406,9321,-4826,-15320,-8951
2009-01-20,660157,166035,52366,63975,367988,489040,62159,54776,113669,-121052,7383,6427,356,-5020,7028
2009-01-27,670233,174066,46320,68240,359636,500465,68291,55208,127746,-140829,13083,8031,-6046,-8352,11425
2009-02-03,673225,177579,44349,73158,351760,497138,70728,58580,133230,-145378,12148,3513,-1971,-7876,-3327
2009-02-10,660712,185745,38835,61209,333895,500197,79863,60471,146910,-166302,19392,8166,-5514,-17865,3059
2009-02-17,663396,172933,29614,60050,351459,506834,78954,66898,143319,-155375,12056,-12812,-9221,17564,6637
2009-02-24,630334,169881,32895,56609,340018,491795,63826,49035,136986,-151777,14791,-3052,3281,-11441,-15039
2009-03-03,609768,166316,35472,55831,324413,465496,63208,52969,130844,-141083,10239,-3565,2577,-15605,-26299
2009-03-10,608699,157005,33120,55551,335378,461352,60765,58676,123885,-125974,2089,-9311,-2352,10965,-4144
2009-03-17,633731,163399,32962,60528,350122,482090,59682,58151,130437,-131968,1531,6394,-158,14744,20738
2009-03-24,687367,174677,19358,68565,378943,540509,65182,58935,155319,-161566,6247,11278,-13604,28821,58419
2009-03-31,690705,174129,33479,64740,389661,531729,62175,60757,140650,-142068,1418,-548,14121,10718,-8780
2009-04-07,694611,166016,38731,59545,407073,531939,61977,64396,127285,-124866,-2419,-8113,5252,17412,210
2009-04-14,691100,171440,35612,64561,393431,533574,61668,57353,135828,-140143,4315,5424,-3119,-13642,1635
2009-04-21,669629,166357,39843,63180,378291,515270,61801,51336,126514,-136979,10465,-5083,4231,-15140,-18304
2009-04-28,657562,173174,32416,62695,356070,517164,65623,45287,140758,-161094,20336,6817,-7427,-22221,1894
2009-05-05,674992,192968,25957,68617,335245,539017,78162,41401,167011,-203772,36761,19794,-6459,-20825,21853
2009-05-12,687013,202492,30788,74484,329660,541608,80377,40133,171704,-211948,40244,9524,4831,-5585,2591
2009-05-19,708649,204435,32957,84433,336047,547796,83734,43463,171478,-211749,40271,1943,2169,6387,6188
2009-05-26,736002,218839,34299,87774,344037,569740,85352,44189,184540,-225703,41163,14404,1342,7990,21944
2009-06-02,772821,208565,36473,99815,379238,591627,85203,44906,172092,-212389,40297,-10274,2174,35201,21887
2009-06-09,779588,205554,41457,94364,400054,604757,79616,39010,164097,-204703,40606,-3011,4984,20816,13130
2009-06-16,761633,189204,29834,89554,408560,589990,74315,52255,159370,-181430,22060,-16350,-11623,8506,-14767
2009-06-23,760753,195613,28965,75850,410845,609889,78445,46049,166648,-199044,32396,6409,-869,2285,19899
2009-06-30,743415,206503,26705,82643,375849,590659,78420,43408,179798,-214810,35012,10890,-2260,-34996,-19230
2009-07-07,715138,201957,27524,82141,352148,560130,78892,45343,174433,-207982,33549,-4546,819,-23701,-30529
2009-07-14,719402,198816,31837,88746,351888,552152,79952,46667,166979,-200264,33285,-3141,4313,-260,-7978
2009-07-21,730464,205359,30913,84908,358788,566909,81409,47734,174446,-208121,33675,6543,-924,6900,14757
2009-07-28,772299,226762,28918,87559,373817,612877,84161,42945,197844,-239060,41216,21403,-1995,15029,45968
2009-08-04,793279,236859,30529,88789,380379,629784,87252,44177,206330,-249405,43075,10097,1611,6562,16907
2009-08-11,846179,215439,45630,96141,442741,661517,91858,42891,169809,-218776,48967,-21420,15101,62362,31733
2009-08-18,838179,216697,38751,101329,433330,657315,86823,40784,177946,-223985,46039,1258,-6879,-9411,-4202
2009-08-25,849868,213468,43633,103492,446982,662656,85926,40087,169835,-215674,45839,-3229,4882,13652,5341
2009-09-01,864670,212808,37794,110055,455914,676017,85893,40804,175014,-220103,45089,-660,-5839,8932,13361
2009-09-08,852078,208155,44051,101932,469934,663491,72057,42604,164104,-193557,29453,-4653,6257,14020,-12526
2009-09-15,824750,212412,39699,87703,449554,657107,75081,40241,172713,-207553,34840,4257,-4352,-20380,-6384
2009-09-22,800087,224105,37347,77846,438487,644478,59649,40416,186758,-205991,19233,11693,-2352,-11067,-12629
2009-09-29,784699,227458,26754,81592,403249,638044,72400,38309,200704,-234795,34091,3353,-10593,-35238,-6434
2009-10-06,771265,231698,34153,77691,399183,628284,62693,31137,197545,-229101,31556,4240,7399,-4066,-9760
2009-10-13,760540,218895,43524,71007,415345,593855,55293,52154,175371,-178510,3139,-12803,9371,16162,-34429
2009-10-20,774878,218096,37132,72330,416851,625918,67601,39498,180964,-209067,28103,-799,-6392,1506,32063
2009-10-27,774344,211835,36700,75412,420612,623374,66485,38858,175135,-202762,27627,-6261,-432,3761,-2544
2009-11-03,782075,208572,36350,79843,423070,624542,70590,41340,172222,-201472,29250,-3263,-350,2458,1168
2009-11-09,764367,194197,42949,83157,420592,601738,66421,36523,151248,-181146,29898,-14375,6599,-2478,-22804
2009-11-17,770553,194383,46491,81470,426941,608158,67759,34434,147892,-181217,33325,186,3542,6349,6420
2009-11-24,773085,192850,45405,80210,432405,611561,67620,35909,147445,-179156,31711,-1533,-1086,5464,3403
2009-12-01,780288,195968,40286,78745,436766,627219,68809,34038,155682,-190453,34771,3118,-5119,4361,15658
2009-12-08,785811,200292,43165,76929,440880,626353,67710,39364,157127,-185473,28346,4324,2879,4114,-866
2009-12-15,819140,220514,35310,83630,427404,658238,87592,41962,185204,-230834,45630,20222,-7855,-13476,31885
2009-12-22,836284,229929,39126,89206,429887,668290,87262,39662,190803,-238403,47600,9415,3816,2483,10052
2009-12-29,832552,223587,39827,87471,435012,666575,86482,38679,183760,-231563,47803,-6342,701,5125,-1715
2010-01-05,842341,222931,38491,91059,444943,676606,83408,36185,184440,-231663,47223,-656,-1336,9931,10031
2010-01-12,840620,226945,36038,96719,432073,666253,84883,41610,190907,-234180,43273,4014,-2453,-12870,-10353
2010-01-19,839354,234488,39569,94894,421049,662578,88923,42313,194919,-241529,46610,7543,3531,-11024,-3675
2010-01-26,847442,232701,36302,81698,452118,688397,80925,41045,196399,-236279,39880,-1787,-3267,31069,25819
2010-02-02,877992,234520,33685,88775,475458,713558,79239,41974,200835,-238100,37265,1819,-2617,23340,25161
2010-02-09,859532,212051,37266,85558,492640,692498,69283,44210,174785,-199858,25073,-22469,3581,17182,-21060
2010-02-16,829147,200771,17298,80942,481114,693263,66320,37644,183473,-212149,28676,-11280,-19968,-11526,765
2010-02-23,775106,200097,23125,75381,443966,642999,55662,33601,176972,-199033,22061,-674,5827,-37148,-50264
2010-03-02,741206,188704,18703,72221,427666,618383,52615,31899,170001,-190717,20716,-11393,-4422,-16300,-24616
2010-03-09,754199,194292,30843,58469,443958,621330,57480,43557,163449,-177372,13923,5588,12140,16292,2947
2010-03-16,776698,207113,35760,64105,450459,632821,55021,44012,171353,-182362,11009,12821,4917,6501,11491
2010-03-23,737718,202212,46749,61062,415646,580583,58798,49324,155463,-164937,9474,-4901,10989,-34813,-52238
2010-03-30,704149,198676,43066,70695,380582,543415,54196,46973,155610,-162833,7223,-3536,-3683,-35064,-37168
2010-04-06,703555,192339,49939,69305,381749,538742,60162,45569,142400,-156993,14593,-6337,6873,1167,-4673
2010-04-13,686987,186975,45877,75160,368820,523730,56032,42220,141098,-154910,13812,-5364,-4062,-12929,-15012
2010-04-20,655541,166037,53179,65065,364061,487707,60378,49590,112858,-123646,10788,-20938,7302,-4759,-36023
2010-04-27,641598,161388,61531,67102,352052,465724,61056,47241,99857,-113672,13815,-4649,8352,-12009,-21983
2010-05-04,630723,164868,63356,78381,321520,434754,65954,54232,101512,-113234,11722,3480,1825,-30532,-30970
2010-05-11,646876,160301,61597,84107,327789,443105,74679,58067,98704,-115316,16612,-4567,-1759,6269,8351
2010-05-18,665694,157627,62323,95330,337608,444327,75129,63714,95304,-106719,11415,-2674,726,9819,1222
2010-05-25,675602,156581,57441,107013,344949,453736,67059,57412,99140,-108787,9647,-1046,-4882,7341,9409
2010-06-01,684786,155675,59196,113960,346951,452460,68200,59170,96479,-105509,9030,-906,1755,2002,-1276
2010-06-08,696523,148483,52926,112140,369049,477489,66851,53968,95557,-108440,12883,-7192,-6270,22098,25029
2010-06-15,642009,146436,41083,80898,349734,462393,64941,57635,105353,-112659,7306,-2047,-11843,-19315,-15096
2010-06-22,606050,144825,39659,68410,333327,446355,59488,51626,105166,-113028,7862,-1611,-1424,-16407,-16038
2010-06-29,566822,143511,42871,69198,300858,406817,53255,47936,100640,-105959,5319,-1314,3212,-32469,-39538
2010-07-06,557902,133278,35466,73895,298609,403592,52120,44949,97812,-104983,7171,-10233,-7405,-2249,-3225
2010-07-13,577969,134867,37159,78093,304313,413147,60696,49570,97708,-108834,11126,1589,1693,5704,9555
2010-07-20,595710,138548,33627,89328,305107,423708,62727,49047,104921,-118601,13680,3681,-3532,794,10561
2010-07-27,600855,142550,33547,77238,310041,440347,71026,49723,109003,-130306,21303,4002,-80,4934,16639
2010-08-03,613446,152240,36438,70295,318768,457596,72143,49117,115802,-138828,23026,9690,2891,8727,17249
2010-08-10,612589,144482,28962,80474,312657,454118,74976,49035,115520,-141461,25941,-7758,-7476,-6111,-3478
2010-08-17,622029,152333,29145,85563,309125,461946,75008,45375,123188,-152821,29633,7851,183,-3532,7828
2010-08-24,648019,149840,30547,85730,332878,481489,79571,50253,119293,-148611,29318,-2493,1402,23753,19543
2010-08-31,660368,153599,33528,88737,337315,491498,80717,46605,120071,-154183,34112,3759,2981,4437,10009
2010-09-07,673080,162782,34184,89428,341171,507489,79699,41979,128598,-166318,37720,9183,656,3856,15991
2010-09-14,697690,174438,34996,82268,352811,524605,88173,55821,139442,-171794,32352,11656,812,11640,17116
2010-09-21,639289,176763,20851,59805,317173,500364,85548,58269,155912,-183191,27279,2325,-14145,-35638,-24241
2010-09-28,613181,177427,23218,55696,298837,482419,81221,51848,154209,-183582,29373,664,2367,-18336,-17945
2010-10-05,578944,169315,22600,57941,273571,451472,78117,46931,146715,-177901,31186,-8112,-618,-25266,-30947
2010-10-12,579406,170254,17149,63081,265915,453230,80156,45946,153105,-187315,34210,939,-5451,-7656,1758
2010-10-19,587348,176181,15521,62220,271484,467906,77463,41701,160660,-196422,35762,5927,-1628,5569,14676
2010-10-26,593979,170753,13759,62797,282976,476086,77453,41337,156994,-193110,36116,-5428,-1762,11492,8180
2010-11-02,604070,174621,13404,61646,289690,490036,78113,38984,161217,-200346,39129,3868,-355,6714,13950
2010-11-09,597338,175647,25185,58674,279969,475900,83048,37579,150462,-195931,45469,1026,11781,-9721,-14136
2010-11-16,581924,174489,26922,50881,283142,457491,73412,46630,147567,-174349,26782,-1158,1737,3173,-18409
2010-11-23,576756,175797,28627,48665,283456,457114,68838,42350,147170,-173658,26488,1308,1705,314,-377
2010-11-30,570470,174466,23980,50057,283318,457174,62629,39259,150486,-173856,23370,-1331,-4647,-138,60
2010-12-07,575256,173825,23283,49603,283229,461173,68599,41197,150542,-177944,27402,-641,-697,-89,3999
2010-12-14,585743,175296,22804,52013,283665,468044,74769,42882,152492,-184379,31887,1471,-479,436,6871
2010-12-21,606435,188930,14174,54994,280842,495794,81669,41473,174756,-214952,40196,13634,-8630,-2823,27750
2010-12-28,607307,191573,14121,56622,274019,490501,85093,46063,177452,-216482,39030,2643,-53,-6823,-5293
2011-01-04,607185,188617,13298,58820,283723,489729,76025,45338,175319,-206006,30687,-2956,-823,9704,-772
2011-01-11,617471,187151,12796,57896,294066,500255,78358,46524,174355,-206189,31834,-1466,-502,10343,10526
2011-01-18,620918,179366,13954,60916,305020,502453,75616,43595,165412,-197433,32021,-7785,1158,10954,2198
2011-01-25,619137,182985,14881,58112,304313,503606,73727,42538,168104,-199293,31189,3619,927,-707,1153
2011-02-01,646042,200514,18418,56666,306716,528410,82146,42548,182096,-221694,39598,17529,3537,2403,24804
2011-02-08,653229,189669,17913,55282,333576,536271,74702,43763,171756,-202695,30939,-10845,-505,26860,7861
2011-02-15,663043,180551,20151,57443,347002,538185,78047,47264,160400,-191183,30783,-9118,2238,13426,1914
2011-02-22,637871,182416,20091,53974,328637,513308,72844,50498,162325,-184671,22346,1865,-60,-18365,-24877
2011-03-01,598636,181207,19844,55909,297448,479304,64072,43579,161363,-181856,20493,-1209,-247,-31189,-34004
2011-03-08,609365,199218,20111,52662,284191,492503,73294,44089,179107,-208312,29205,18011,267,-13257,13199
2011-03-15,601818,183688,25116,55084,295148,470378,67898,51240,158572,-175230,16658,-15530,5005,10957,-22125
2011-03-22,590210,169185,27068,52307,304096,464679,64622,46156,142117,-160583,18466,-14503,1952,8948,-5699
2011-03-29,595022,172747,26443,51675,303485,466403,67115,50501,146304,-162918,16614,3562,-625,-611,1724
2011-04-05,626615,175008,27784,70085,308242,471821,73280,56925,147224,-163579,16355,2261,1341,4757,5418
2011-04-12,630580,173938,41983,62570,326369,462039,67703,63988,131955,-135670,3715,-1070,14199,18127,-9782
2011-04-19,615070,164291,48238,43567,345825,463273,61387,59992,116053,-117448,1395,-9647,6255,19456,1234
2011-04-26,597546,162809,49363,39676,335722,450834,59339,57673,113446,-115112,1666,-1482,1125,-10103,-12439
2011-05-03,568473,176606,55360,38956,297459,414796,55452,59361,121246,-117337,-3909,13797,5997,-38263,-36038
2011-05-10,582630,180584,53958,38588,306333,429141,57125,60943,126626,-122808,-3818,3978,-1402,8874,14345
2011-05-17,584612,176736,61221,44521,308828,414795,54527,64075,115515,-105967,-9548,-3848,7263,2495,-14346
2011-05-24,584931,166728,53633,43881,316422,421017,57900,66400,113095,-104595,-8500,-10008,-7588,7594,6222
2011-05-31,606482,166403,59103,50883,325441,435079,63755,61417,107300,-109638,2338,-325,5470,9019,14062
2011-06-07,634960,168068,55328,48260,344678,468426,73954,62946,112740,-123748,11008,1665,-3775,19237,33347
2011-06-14,646223,183605,57447,48049,345763,484058,68806,56669,126158,-138295,12137,15537,2119,1085,15632
2011-06-21,629831,199880,57344,38324,318419,475562,73208,58601,142536,-157143,14607,16275,-103,-27344,-8496
2011-06-28,618878,199133,60984,41691,300396,461589,77658,54614,138149,-161193,23044,-747,3640,-18023,-13973
2011-07-05,615184,208141,66911,43972,282087,451720,80984,52581,141230,-169633,28403,9008,5927,-18309,-9869
2011-07-12,626505,211493,63200,44615,283106,465550,87291,53140,148293,-182444,34151,3352,-3711,1019,13830
2011-07-19,631872,215666,62877,47919,285488,469615,82799,51461,152789,-184127,31338,4173,-323,2382,4065
2011-07-26,637140,217640,54287,49520,281442,475257,88538,58076,163353,-193815,30462,1974,-8590,-4046,5642
2011-08-02,623987,213857,53052,47000,280884,467509,82246,56426,160805,-186625,25820,-3783,-1235,-558,-7748
2011-08-09,592773,187187,43556,48442,279498,448227,77646,52548,143631,-168729,25098,-26670,-9496,-1386,-19282
2011-08-16,586551,174328,46038,48943,281160,440297,82120,51273,128290,-159137,30847,-12859,2482,1662,-7930
2011-08-23,595341,181157,38254,48853,275676,451938,89655,56296,142903,-176262,33359,6829,-7784,-5484,11641
2011-08-30,597739,177462,41882,52425,279985,450110,87867,53322,135580,-170125,34545,-3695,3628,4309,-1828
2011-09-06,597645,174494,44742,59922,277040,435567,86189,57414,129752,-158527,28775,-2968,2860,-2945,-14543
2011-09-13,580127,176975,42713,62135,258743,421162,82274,54117,134262,-162419,28157,2481,-2029,-18297,-14405
2011-09-20,533043,155888,30173,46863,249711,385673,80581,70334,125715,-135962,10247,-21087,-12540,-9032,-35489
2011-09-27,483737,140237,40868,40297,241289,344931,61914,57641,99369,-103642,4273,-15651,10695,-8422,-40742
2011-10-04,472073,134983,41202,41624,239593,331774,55873,57473,93781,-92181,-1600,-5254,334,-1696,-13157
2011-10-11,473747,137380,45338,38922,236119,333620,61326,55867,92042,-97501,5459,2397,4136,-3474,1846
2011-10-18,498372,151118,39094,37532,243187,365368,66535,56378,112024,-122181,10157,13738,-6244,7068,31748
2011-10-25,507502,157570,38937,38465,246743,373637,64724,56463,118633,-126894,8261,6452,-157,3556,8269
2011-11-01,498960,152698,38646,40654,243790,364435,61818,55225,114052,-120645,6593,-4872,-291,-2953,-9202
2011-11-08,492323,140824,40839,39724,249129,356119,62646,55641,99985,-106990,7005,-11874,2193,5339,-8316
2011-11-15,488004,130403,54734,41123,257857,334722,58621,57425,75669,-76865,1196,-10421,13895,8728,-21397
2011-11-22,503702,122718,64661,44389,279186,326043,57409,68609,58057,-46857,-11200,-7685,9927,21329,-8679
2011-11-29,504829,119513,68162,44376,284856,321076,56084,71215,51351,-36220,-15131,-3205,3501,5670,-4967
2011-12-06,517967,124706,69922,48160,287025,328200,58076,71685,54784,-41175,-13609,5193,1760,2169,7124
2011-12-13,525763,123699,66270,51387,294949,336454,55728,71652,57429,-41505,-15924,-1007,-3652,7924,8254
2011-12-20,539095,113083,71807,52326,316072,342159,57614,72803,41276,-26087,-15189,-10616,5537,21123,5705
2011-12-27,544792,113487,74971,54230,318629,344255,58446,71336,38516,-25626,-12890,404,3164,2557,2096
2012-01-03,567599,128269,77965,56874,321046,362220,61410,70540,50304,-41174,-9130,14782,2994,2417,17965
2012-01-10,583648,124090,77019,62451,336685,368660,60422,75518,47071,-31975,-15096,-4179,-946,15639,6440
2012-01-17,613159,130183,82189,65719,351584,390708,65673,74543,47994,-39124,-8870,6093,5170,14899,22048
2012-01-24,636763,138927,64073,71051,350512,427477,76273,74162,74854,-76965,2111,8744,-18116,-1072,36769
2012-01-31,666733,143389,62166,76589,379773,452521,66982,75457,81223,-72748,-8475,4462,-1907,29261,25044
2012-02-07,696054,137104,69068,80283,408717,473286,69950,73417,68036,-64569,-3467,-6285,6902,28944,20765
2012-02-14,705626,146271,70269,79111,409547,483532,70697,72714,76002,-73985,-2017,9167,1201,830,10246
2012-02-21,699138,156282,69069,75973,382805,486411,84078,67685,87213,-103606,16393,10011,-1200,-26742,2879
2012-02-28,723747,198170,66073,69021,369686,536979,86870,51674,132097,-167293,35196,41888,-2996,-13119,50568
2012-03-06,720785,192718,64097,77220,364927,525095,85920,54373,128621,-160168,31547,-5452,-1976,-4759,-11884
2012-03-13,706083,165434,60405,80008,379615,506567,81026,59103,105029,-126952,21923,-27284,-3692,14688,-18528
2012-03-20,738649,190862,65218,77623,377293,535293,92871,60515,125644,-158000,32356,25428,4813,-2322,28726
2012-03-27,746727,199828,64519,72712,379340,548668,94847,60828,135309,-169328,34019,8966,-699,2047,13375
2012-04-03,735961,185574,66071,69165,386903,537762,94319,62963,119503,-150859,31356,-14254,1552,7563,-10906
2012-04-10,726557,191134,66543,71273,374617,523093,89533,65648,124591,-148476,23885,5560,472,-12286,-14669
2012-04-17,730255,191803,92688,64865,395888,506431,77699,66271,99115,-110543,11428,669,26145,21271,-16662
2012-04-24,725118,187309,105019,62540,402369,483687,72900,73872,82290,-81318,-972,-4494,12331,6481,-22744
2012-05-01,706597,184434,112721,63150,400364,464750,58649,65976,71713,-64386,-7327,-2875,7702,-2005,-18937
2012-05-08,715111,180816,120056,64885,409309,455852,60101,74318,60760,-46543,-14217,-3618,7335,8945,-8898
2012-05-15,727267,184270,125260,63805,413085,459834,66107,78368,59010,-46749,-12261,3454,5204,3776,3982
2012-05-22,729589,191733,122709,64683,411006,458990,62167,83207,69024,-47984,-21040,7463,-2551,-2079,-844
2012-05-29,753540,197758,128348,71975,417724,462690,66083,90527,69410,-44966,-24444,6025,5639,6718,3700
2012-06-05,775795,200920,129053,83707,425816,474776,65352,88259,71867,-48960,-22907,3162,705,8092,12086
2012-06-12,759123,186801,117006,79469,429019,479072,63834,83576,69795,-50053,-19742,-14119,-12047,3203,4296
2012-06-19,743939,176233,108767,76693,424471,484579,66542,73900,67466,-60108,-7358,-10568,-8239,-4548,5507
2012-06-26,700186,176069,100689,74839,387880,454325,61398,70333,75380,-66445,-8935,-164,-8078,-36591,-30254
2012-07-03,678681,175098,92484,74155,372876,450677,56552,61365,82614,-77801,-4813,-971,-8205,-15004,-3648
2012-07-10,669005,175206,62661,71812,365534,478789,56453,55743,112545,-113255,710,108,-29823,-7342,28112
2012-07-17,666628,168960,49309,72106,367147,490381,58415,54832,119651,-123234,3583,-6246,-13352,1613,11592
2012-07-24,668671,180428,44484,64600,352592,508903,71051,50684,135944,-156311,20367,11468,-4825,-14555,18522
2012-07-31,671864,179450,45108,62012,360594,513040,69808,51704,134342,-152446,18104,-978,624,8002,4137
2012-08-07,662690,170204,46941,64051,358579,493973,69856,57725,123263,-135394,12131,-9246,1833,-2015,-19067
2012-08-14,676534,156976,57102,75442,371166,475943,72950,68047,99874,-104777,4903,-13228,10161,12587,-18030
2012-08-21,690427,151013,76200,80260,386731,458327,72423,75640,74813,-71596,-3217,-5963,19098,15565,-17616
2012-08-28,723416,164886,89772,86118,396727,465093,75685,82433,75114,-68366,-6748,13873,13572,9996,6766
2012-09-04,728205,167764,106757,87763,399092,451481,73586,82204,61007,-52389,-8618,2878,16985,2365,-13612
2012-09-11,725692,173290,119051,85482,388106,433473,78814,87686,54239,-45367,-8872,5526,12294,-10986,-18008
2012-09-18,698138,157534,115710,77559,386438,419419,76607,85450,41824,-32981,-8843,-15756,-3341,-1668,-14054
2012-09-25,683385,157867,114842,71246,376454,420815,77818,76482,43025,-44361,1336,333,-868,-9984,1396
2012-10-02,674997,161209,103724,68307,371851,437055,73630,65911,57485,-65204,7719,3342,-11118,-4603,16240
2012-10-09,679261,161314,75917,66214,381744,471020,69989,66110,85397,-89276,3879,105,-27807,9893,33965
2012-10-16,701034,163728,92202,64410,410196,477843,62700,66579,71526,-67647,-3879,2414,16285,28452,6823
2012-10-23,709045,157763,95648,71993,414070,468555,65219,72849,62115,-54485,-7630,-5965,3446,3874,-9288
2012-10-30,721447,158622,108753,76019,419889,459606,66917,77069,49869,-39717,-10152,859,13105,5819,-8949
2012-11-06,716401,157055,121092,71340,422768,451017,65238,72952,35963,-28249,-7714,-1567,12339,2879,-8589
2012-11-13,722855,160121,130872,71625,430213,442962,60896,77396,29249,-12749,-16500,3066,9780,7445,-8055
2012-11-20,726929,160890,128885,64331,434341,460343,67367,73370,32005,-26002,-6003,769,-1987,4128,17381
2012-11-27,737882,163242,134468,63791,444912,462148,65937,77475,28774,-17236,-11538,2352,5583,10571,1805
2012-12-04,759782,165295,128433,67028,455425,486268,72034,78053,36862,-30843,-6019,2053,-6035,10513,24120
2012-12-11,764194,170673,140219,71177,459856,467308,62488,85490,30454,-7452,-23002,5378,11786,4431,-18960
2012-12-18,754990,178111,143405,68220,443189,460214,65470,83151,34706,-17025,-17681,7438,3186,-16667,-7094
2012-12-24,756985,185559,140911,62843,444153,466303,64430,86928,44648,-22150,-22498,7448,-2494,964,6089
2012-12-31,754102,186823,134316,61977,441183,482875,64119,74934,52507,-41692,-10815,1264,-6595,-2970,16572
2013-01-08,765768,184673,140345,63401,449546,477096,68148,84926,44328,-27550,-16778,-2150,6029,8363,-5779
2013-01-15,786010,186907,146992,68972,458070,481673,72061,88373,39915,-23603,-16312,2234,6647,8524,4577
2013-01-22,823614,195714,178505,68944,480991,479945,77965,96220,17209,1046,-18255,8807,31513,22921,-1728
2013-01-29,829549,198633,173334,77557,474527,486834,78832,91824,25299,-12307,-12992,2919,-5171,-6464,6889
2013-02-05,841251,199024,173535,86400,477739,493520,78088,87796,25489,-15781,-9708,391,201,3212,6686
2013-02-12,848854,204192,193540,84942,477975,477614,81745,92758,10652,361,-11013,5168,20005,236,-15906
2013-02-19,825539,196667,211467,78214,468370,445727,82288,90131,-14800,22643,-7843,-7525,17927,-9605,-31887
2013-02-26,786486,198130,199598,83279,428438,421819,76639,81790,-1468,6619,-5151,1463,-11869,-39932,-23908
2013-03-05,785424,201344,198815,89602,419317,414678,75161,82329,2529,4639,-7168,3214,-783,-9121,-7141
2013-03-12,797883,204540,169997,89125,424094,462771,80124,75990,34543,-38677,4134,3196,-28818,4777,48093
2013-03-19,801467,204745,164107,89427,419263,462637,88032,85296,40638,-43374,2736,205,-5890,-4831,-134
2013-03-26,836833,205678,188133,102592,445089,455266,83474,90842,17545,-10177,-7368,933,24026,25826,-7371
2013-04-02,857592,208372,222478,102752,462073,437863,84395,94499,-14106,24210,-10104,2694,34345,16984,-17403
2013-04-09,870275,214068,238769,97731,475442,443883,83034,89892,-24701,31559,-6858,5696,16291,13369,6020
2013-04-16,854731,213959,216032,86148,480673,470945,73951,81606,-2073,9728,-7655,-109,-22737,5231,27062
2013-04-23,842135,209911,206226,85643,481128,468679,65453,81587,3685,12449,-16134,-4048,-9806,455,-2266
2013-04-30,829305,211487,210176,85671,462012,443435,70135,90023,1311,18577,-19888,1576,3950,-19116,-25244
2013-05-07,805148,214277,203095,85676,434403,427656,70792,88721,11182,6747,-17929,2790,-7081,-27609,-15779
2013-05-14,841726,219773,224209,93585,450980,423947,77388,99985,-4436,27033,-22597,5496,21114,16577,-3709
2013-05-21,863297,221241,234171,96206,465446,430308,80404,102612,-12930,35138,-22208,1468,9962,14466,6361
2013-05-28,894044,235437,237973,102718,479010,458053,76879,95300,-2536,20957,-18421,14196,3802,13564,27745
2013-06-04,932648,247704,244479,108638,493101,477990,83205,101541,3225,15111,-18336,12267,6506,14091,19937
2013-06-11,926315,244450,254069,97663,486717,460377,97485,114206,-9619,26340,-16721,-3254,9590,-6384,-17613
2013-06-18,914122,233659,252163,87718,493928,471198,98817,103043,-18504,22730,-4226,-10791,-1906,7211,10821
2013-06-25,861280,224028,222115,82342,473335,473012,81575,83811,1913,323,-2236,-9631,-30048,-20593,1814
2013-07-02,832420,231182,209689,81972,448972,454289,70294,86470,21493,-5317,-16176,7154,-12426,-24363,-18723
2013-07-09,835810,236420,226314,75814,454286,447873,69290,85809,10106,6413,-16519,5238,16625,5314,-6416
2013-07-16,859880,236472,248826,78628,476362,445548,68418,86878,-12354,30814,-18460,52,22512,22076,-2325
2013-07-23,857234,238128,232975,85512,465461,451965,68133,86782,5153,13496,-18649,1656,-15851,-10901,6417
2013-07-30,844989,227882,224131,93299,456480,453778,67328,73781,3751,2702,-6453,-10246,-8844,-8981,1813
2013-08-06,852042,221581,215692,97072,460347,460030,73042,79248,5889,317,-6206,-6301,-8439,3867,6252
2013-08-13,870259,230496,193345,101844,462162,502766,75757,72304,37151,-40604,3453,8915,-22347,1815,42736
2013-08-20,870279,230095,177979,98315,477669,524095,64200,69890,52116,-46426,-5690,-401,-15366,15507,21329
2013-08-27,909368,243090,208973,104486,487499,508681,74293,87228,34117,-21182,-12935,12995,30994,9830,-15414
2013-09-03,934375,243207,216481,108040,505747,525966,77381,83888,26726,-20219,-6507,117,7508,18248,17285
2013-09-10,922110,245067,189250,96609,494644,557758,85790,78493,55817,-63114,7297,1860,-27231,-11103,31792
2013-09-17,848751,232210,155360,68074,462817,549352,85650,75965,76850,-86535,9685,-12857,-33890,-31827,-8406
2013-09-24,833097,234609,135476,58306,452120,575578,88062,63737,99133,-123458,24325,2399,-19884,-10697,26226
2013-10-01,787891,248300,111308,54608,401994,564794,82989,57181,136992,-162800,25808,13691,-24168,-50126,-10784
