date,prev,L,S,OI,net,dL,dS,dNet,dOI,dLpct,net_prev
1998-08-18,1998-08-11,16191,66922,430919,-50731,1795,1033,762,-3802,0.4129085091357445,-51493
1998-08-25,1998-08-18,16283,64567,417601,-48284,92,-2355,2447,-13318,0.021349720016986953,-50731
1998-09-01,1998-08-25,15878,66312,429383,-50434,-405,1745,-2150,11782,-0.09698252638283912,-48284
1998-09-08,1998-09-01,15132,66217,429749,-51085,-746,-95,-651,366,-0.1737376654408768,-50434
1998-09-15,1998-09-08,12185,63845,438697,-51660,-2947,-2372,-575,8948,-0.685749123325476,-51085
1998-09-22,1998-09-15,15595,62647,445583,-47052,3410,-1198,4608,6886,0.7773018735026681,-51660
1998-09-29,1998-09-22,14652,56263,444590,-41611,-943,-6384,5441,-993,-0.21163284954767125,-47052
1998-10-06,1998-09-29,14273,55627,450794,-41354,-379,-636,257,6204,-0.08524708158078229,-41611
1998-10-13,1998-10-06,18785,25982,450346,-7197,4512,-29645,34157,-448,1.0009006331051433,-41354
1998-10-20,1998-10-13,25791,21068,452805,4723,7006,-4914,11920,2459,1.555692734031167,-7197
1998-10-27,1998-10-20,25508,21928,450741,3580,-283,860,-1143,-2064,-0.06249930985744416,4723
1998-11-03,1998-10-27,23695,23622,454091,73,-1813,1694,-3507,3350,-0.4022265558269605,3580
1998-11-10,1998-11-03,26527,26542,469561,-15,2832,2920,-88,15470,0.6236635388060984,73
1998-11-17,1998-11-10,30105,24514,460523,5591,3578,-2028,5606,-9038,0.761988325265514,-15
1998-11-24,1998-11-17,26047,27464,383678,-1417,-4058,2950,-7008,-76845,-0.8811720587245371,5591
1998-12-01,1998-11-24,28238,25978,375156,2260,2191,-1486,3677,-8522,0.5710517673674279,-1417
1998-12-08,1998-12-01,18133,50757,377929,-32624,-10105,24779,-34884,2773,-2.693546151467656,2260
1998-12-15,1998-12-08,15088,49428,384230,-34340,-3045,-1329,-1716,6301,-0.8057068920352765,-32624
1998-12-22,1998-12-15,13462,63104,399951,-49642,-1626,13676,-15302,15721,-0.42318403039845925,-34340
1998-12-29,1998-12-22,14378,62669,403550,-48291,916,-435,1351,3599,0.22902805593685224,-49642
1999-01-05,1998-12-29,14350,86099,427590,-71749,-28,23430,-23458,24040,-0.006938421509106678,-48291
1999-01-12,1999-01-05,15899,72902,428920,-57003,1549,-13197,14746,1330,0.36226291540962136,-71749
1999-01-19,1999-01-12,18163,81358,444350,-63195,2264,8456,-6192,15430,0.5278373589480556,-57003
1999-01-26,1999-01-19,18288,78429,449669,-60141,125,-2929,3054,5319,0.028130977832789467,-63195
1999-02-02,1999-01-26,21428,74681,452667,-53253,3140,-3748,6888,2998,0.6982914099037292,-60141
1999-02-09,1999-02-02,16898,70055,452464,-53157,-4530,-4626,96,-203,-1.0007356401063034,-53253
1999-02-16,1999-02-09,16281,71000,454439,-54719,-617,945,-1562,1975,-0.1363644400438488,-53157
1999-02-23,1999-02-16,14096,79511,418211,-65415,-2185,8511,-10696,-36228,-0.48081260631239836,-54719
1999-03-02,1999-02-23,16430,94059,441149,-77629,2334,14548,-12214,22938,0.5580914897025664,-65415
1999-03-09,1999-03-02,18435,73564,429823,-55129,2005,-20495,22500,-11326,0.4544949665532507,-77629
1999-03-16,1999-03-09,17579,66323,429018,-48744,-856,-7241,6385,-805,-0.19915174385735523,-55129
1999-03-23,1999-03-16,37821,26100,443255,11721,20242,-40223,60465,14237,4.71821695127011,-48744
1999-03-30,1999-03-23,53512,18347,458463,35165,15691,-7753,23444,15208,3.539948787943734,11721
1999-04-06,1999-03-30,35509,23806,438918,11703,-18003,5459,-23462,-19545,-3.9268163406861625,35165
1999-04-13,1999-04-06,25870,41370,435264,-15500,-9639,17564,-27203,-3654,-2.196082183915902,11703
1999-04-20,1999-04-13,29027,37770,440021,-8743,3157,-3600,6757,4757,0.7253069401558595,-15500
1999-04-27,1999-04-20,25813,35888,424145,-10075,-3214,-1882,-1332,-15876,-0.7304196845150572,-8743
1999-05-04,1999-04-27,22323,60851,437705,-38528,-3490,24963,-28453,13560,-0.8228318145917081,-10075
1999-05-11,1999-05-04,21952,60436,438530,-38484,-371,-415,44,825,-0.08476028375275585,-38528
1999-05-18,1999-05-11,23591,58850,441534,-35259,1639,-1586,3225,3004,0.373748660296901,-38484
1999-05-25,1999-05-18,22607,80951,453768,-58344,-984,22101,-23085,12234,-0.22285939474649746,-35259
1999-06-01,1999-05-25,22050,82585,456860,-60535,-557,1634,-2191,3092,-0.1227499515170748,-58344
1999-06-08,1999-06-01,24741,54342,446827,-29601,2691,-28243,30934,-10033,0.5890207065621853,-60535
1999-06-15,1999-06-08,19710,64603,431722,-44893,-5031,10261,-15292,-15105,-1.125939121852529,-29601
1999-06-22,1999-06-15,22155,60033,397006,-37878,2445,-4570,7015,-34716,0.5663366703573133,-44893
1999-06-29,1999-06-22,23155,72684,406672,-49529,1000,12651,-11651,9666,0.25188536193407657,-37878
1999-07-06,1999-06-29,23409,84700,437352,-61291,254,12016,-11762,30680,0.062458197269544005,-49529
1999-07-13,1999-07-06,18263,84983,457204,-66720,-5146,283,-5429,19852,-1.1766266074009035,-61291
1999-07-20,1999-07-13,16671,79580,459426,-62909,-1592,-5403,3811,2222,-0.3482034277915329,-66720
1999-07-27,1999-07-20,18476,56539,450292,-38063,1805,-23041,24846,-9134,0.39288155219774246,-62909
1999-08-03,1999-07-27,30083,31725,462728,-1642,11607,-24814,36421,12436,2.5776607179341404,-38063
1999-08-10,1999-08-03,45498,14877,473608,30621,15415,-16848,32263,10880,3.331330716965474,-1642
1999-08-17,1999-08-10,30356,13549,450654,16807,-15142,-1328,-13814,-22954,-3.19715883177649,30621
1999-08-24,1999-08-17,23920,16519,414792,7401,-6436,2970,-9406,-35862,-1.4281466490922081,16807
1999-08-31,1999-08-24,19598,19836,399512,-238,-4322,3317,-7639,-15280,-1.0419680225269532,7401
1999-09-07,1999-08-31,21597,19148,396356,2449,1999,-688,2687,-3156,0.5003604397364785,-238
1999-09-14,1999-09-07,21232,26041,410682,-4809,-365,6893,-7258,14326,-0.0920889301537002,2449
1999-09-21,1999-09-14,20169,45884,446106,-25715,-1063,19843,-20906,35424,-0.2588377382013334,-4809
1999-09-28,1999-09-21,18414,49174,465990,-30760,-1755,3290,-5045,19884,-0.3934042581807911,-25715
1999-10-05,1999-09-28,17234,58229,498795,-40995,-1180,9055,-10235,32805,-0.25322431811841456,-30760
1999-10-12,1999-10-05,18731,76766,542361,-58035,1497,18537,-17040,43566,0.3001232971461222,-40995
1999-10-19,1999-10-12,19884,80146,562221,-60262,1153,3380,-2227,19860,0.21258903202848287,-58035
1999-10-26,1999-10-19,21867,70665,570974,-48798,1983,-9481,11464,8753,0.3527082766385461,-60262
1999-11-02,1999-10-26,22544,75424,594589,-52880,677,4759,-4082,23615,0.11856932189556792,-48798
1999-11-09,1999-11-02,24067,65935,601584,-41868,1523,-9489,11012,6995,0.25614331916668487,-52880
1999-11-16,1999-11-09,21610,78949,600791,-57339,-2457,13014,-15471,-793,-0.4084217665363441,-41868
1999-11-23,1999-11-16,19587,77711,544093,-58124,-2023,-1238,-785,-56698,-0.3367227538361926,-57339
1999-11-30,1999-11-23,21344,74216,498596,-52872,1757,-3495,5252,-45497,0.32292273563526824,-58124
1999-12-07,1999-11-30,18257,65585,477060,-47328,-3087,-8631,5544,-21536,-0.6191385410231931,-52872
1999-12-14,1999-12-07,17264,61636,490402,-44372,-993,-3949,2956,13342,-0.20814991824927684,-47328
1999-12-21,1999-12-14,18207,56941,484587,-38734,943,-4695,5638,-5815,0.1922912223033348,-44372
1999-12-28,1999-12-21,18357,51036,482834,-32679,150,-5905,6055,-1753,0.030954193983742856,-38734
2000-01-04,1999-12-28,19246,50927,498705,-31681,889,-109,998,15871,0.18412125078184222,-32679
2000-01-11,2000-01-04,26802,42308,530328,-15506,7556,-8619,16175,31623,1.5151241716044554,-31681
2000-01-18,2000-01-11,67765,24625,605071,43140,40963,-17683,58646,74743,7.724087734383249,-15506
2000-01-25,2000-01-18,87661,19863,624176,67798,19896,-4762,24658,19105,3.2882091523143564,43140
2000-02-01,2000-01-25,88241,17804,632681,70437,580,-2059,2639,8505,0.09292250903591294,67798
2000-02-08,2000-02-01,85113,18345,636035,66768,-3128,541,-3669,3354,-0.4944039729342275,70437
2000-02-15,2000-02-08,87655,18552,643833,69103,2542,207,2335,7798,0.39966354052843,66768
2000-02-22,2000-02-15,81144,26412,598517,54732,-6511,7860,-14371,-45316,-1.0112870884219975,69103
2000-02-29,2000-02-22,60130,38292,575905,21838,-21014,11880,-32894,-22612,-3.511011383135316,54732
2000-03-07,2000-02-29,61962,31292,587305,30670,1832,-7000,8832,11400,0.3181080212882333,21838
