date,open,close,high,low,volume,amount
2023-03-24,11685,11720,11755,11615,172430,20165761280
2023-03-27,11670,11875,11940,11640,277756,32859407360
2023-03-28,11895,11930,11965,11875,197082,23487868672
2023-03-29,11925,11865,11960,11800,190403,22619632896
2023-03-30,11900,11900,11940,11850,166891,19865393408
2023-03-31,11920,11930,12035,11870,198271,23691729152
2023-04-03,11930,11870,12020,11870,143794,17170568448
2023-04-04,11920,11795,11935,11750,256747,30319491072
2023-04-06,11720,11660,11895,11645,216600,25505032192
2023-04-07,11690,11625,11710,11560,243626,28319506432
2023-04-10,11675,11680,11720,11630,194339,22678876160
2023-04-11,11675,11730,11750,11610,210382,24574081280
2023-04-12,11725,11735,11770,11670,193328,22663362048
2023-04-13,11755,11680,11770,11620,215845,25255011584
2023-04-14,11680,11640,11780,11620,217622,25484567296
2023-04-17,11640,11905,11925,11635,334739,39543280384
2023-04-18,11900,11905,11935,11860,197055,23450287360
2023-04-19,11885,11980,12085,11880,296668,35557937408
2023-04-20,11920,12040,12045,11840,305735,36504978432
2023-04-21,12025,11860,12080,11850,315577,37811286272
2023-04-24,11900,11695,11900,11645,346953,40664708608
2023-04-25,11720,11990,12230,11710,709971,85498802176
2023-04-26,11955,12005,12030,11850,436375,52151655936
2023-04-27,11975,11740,12010,11735,380161,45058885376
2023-04-28,11750,11770,11825,11710,264198,31093148928
2023-05-04,11660,11800,11895,11595,309389,36469672192
2023-05-05,11790,11730,11820,11640,296363,34738297600
2023-05-08,11755,12070,12105,11735,499757,59507385856
2023-05-09,12070,12010,12145,11970,390095,47085262080
2023-05-10,12020,12125,12265,11985,555978,67525553920
2023-05-11,12200,12160,12325,12145,510646,62491058944
2023-05-12,12105,12015,12130,11880,505895,60577526784
2023-05-15,12050,12305,12335,12040,506399,62026636288
2023-05-16,12285,12200,12385,12185,381937,46911718912
2023-05-17,12180,12255,12290,12165,258089,31578225152
2023-05-18,12275,12195,12340,12105,365691,44737567232
2023-05-19,12190,12215,12250,12090,291246,35448927232
2023-05-22,12230,12175,12260,12025,523771,63604404224
2023-05-23,12185,11975,12270,11950,374789,45372157952
2023-05-24,12010,11800,12015,11780,342758,40780209408
2023-05-25,11820,11750,11855,11665,308457,36326664960
2023-05-26,11790,11875,11880,11720,264097,31140214016
2023-05-29,11880,11915,11950,11825,251515,29930000640
2023-05-30,11910,11895,11960,11820,230138,27369299456
2023-05-31,11900,11830,11980,11725,301270,35752729344
2023-06-01,11790,11850,11885,11745,273845,32346380800
2023-06-02,11850,12000,12035,11795,381000,45477377536
2023-06-05,12025,11970,12085,11955,288210,34612040192
2023-06-06,11990,11825,11990,11810,254498,30182098432
2023-06-07,11800,12085,12155,11800,414976,49872416768
2023-06-08,12080,12130,12140,12040,227727,27540107776
2023-06-09,12130,12060,12165,12020,219046,26442190080
2023-06-12,12080,11895,12170,11835,343563,41085370880
2023-06-13,11905,11960,11970,11850,211799,25216152832
2023-06-14,11990,12085,12170,11990,304162,36784228352
2023-06-15,12080,12155,12170,12000,228179,27545197824
2023-06-16,12155,12130,12190,12100,211657,25694898432
2023-06-19,12140,12085,12245,12030,351649,42677576192
2023-06-20,12095,12055,12100,11975,199983,24091771136
2023-06-21,12065,12035,12150,12020,189913,22943276800
2023-06-26,11985,11860,11985,11820,232325,27573926144
2023-06-27,11880,11950,11980,11870,180980,21607280640
2023-06-28,11945,11935,11960,11870,146806,17503475200
2023-06-29,11910,11885,11940,11860,160934,19149727232
2023-06-30,11865,12080,12120,11865,278034,33445900032
2023-07-03,12080,12095,12130,12070,165508,20027445504
2023-07-04,12095,12065,12100,12005,149959,18071834624
2023-07-05,12070,12175,12190,12045,238750,28907100672
2023-07-06,12200,12485,12500,12165,416929,51490452992
2023-07-07,12505,12460,12565,12405,314291,39247823872
2023-07-10,12450,12340,12540,12335,260496,32375039744
2023-07-11,12305,12340,12385,12240,252181,31079502592
2023-07-12,12320,12380,12435,12275,245365,30324193792
2023-07-13,12400,12430,12520,12320,282383,35048455936
2023-07-14,12435,12480,12510,12345,275438,34213395968
2023-07-17,12530,12125,12555,12110,393504,48336018688
2023-07-18,12135,12160,12175,12090,194281,23581389568
2023-07-19,12150,12200,12225,12140,199157,24258845952
2023-07-20,12180,12260,12300,12165,261478,31955941120
2023-07-21,12165,12115,12245,12040,283081,34328867328
2023-07-24,12055,12050,12115,12020,211339,25514480896
2023-07-25,12050,12140,12155,12045,198439,24017837824
2023-07-26,12140,12200,12280,12130,264142,32268082432
2023-07-27,12200,12175,12250,12140,206034,25133522688
2023-07-28,12175,12205,12260,12095,252987,30843449344
2023-07-31,12200,12300,12340,12200,255338,31359715328
2023-08-01,12325,12185,12330,12170,137802,16896919296
2023-08-02,12165,12210,12220,12110,113218,13781688064
2023-08-03,12210,11975,12245,11955,198277,23940804608
2023-08-04,12015,11990,12045,11975,87133,10461166080
2023-08-07,12000,11960,12025,11905,92700,11080697856
2023-08-08,11980,11960,12025,11920,56425,6757994496
2023-08-09,12850,12980,13030,12830,136645,17704772864
2023-08-10,12970,12985,13010,12945,108354,14059055360
2023-08-11,12985,13010,13075,12920,141251,18364785664
2023-08-14,12995,12830,13020,12770,207129,26669880832
2023-08-15,12830,12805,12845,12775,120494,15433619456
2023-08-16,12785,12755,12815,12725,130877,16702715392
2023-08-17,12755,12820,12830,12725,137079,17519654144
2023-08-18,12820,12795,12875,12765,124337,15942693888
2023-08-21,12795,13000,13055,12795,298262,38715986432
2023-08-22,13000,13050,13070,12940,170022,22119566336
2023-08-23,13045,13225,13280,13020,247465,32522151168
2023-08-24,13210,13210,13270,13165,175578,23200454400
2023-08-25,13205,13270,13340,13190,194862,25833706752
2023-08-28,13270,13205,13425,13170,270225,35877742592
2023-08-29,13205,13180,13270,13120,179572,23696550912
2023-08-30,13190,13305,13350,13190,194846,25901797888
2023-08-31,13325,13330,13430,13285,223687,29890096896
2023-09-01,13350,14160,14160,13330,651957,90300727296
2023-09-04,14280,14100,14735,13965,1038795,149316214784
2023-09-05,14070,14130,14290,13985,533446,75557965824
2023-09-06,14100,14230,14350,14065,459174,65305852416
2023-09-07,14245,14420,14425,13965,579547,82276036608
2023-09-08,14450,14255,14680,14170,931975,134219018240
2023-09-11,14290,14355,14460,14150,504233,72221106176
2023-09-12,14380,14370,14535,14230,462798,66634588672
2023-09-13,14375,14295,14405,14195,461952,66021278464
2023-09-14,14295,14440,14445,14175,437275,62537060096
2023-09-15,14500,14455,14535,14335,357259,51536691712
2023-09-18,14455,14285,14455,14165,429325,61254634240
2023-09-19,14285,14235,14480,14235,382402,54906910720
2023-09-20,14205,14210,14320,14165,334635,47676585216
2023-09-21,14210,14000,14225,13975,378193,53407616256
2023-09-22,14000,14265,14295,13910,319717,45155691008
2023-09-25,14265,14120,14295,14030,257390,36464064768
2023-09-26,14115,13835,14135,13805,334859,46821433344
2023-09-27,13910,13800,13915,13760,222039,30743245824
2023-09-28,13805,13930,13985,13800,213539,29665780224
2023-10-09,13880,14010,14185,13865,204229,28786377472
2023-10-10,14020,13960,14245,13925,342134,48258768384
2023-10-11,13960,14345,14355,13955,384989,54528302080
2023-10-12,14350,14665,14725,14350,587577,85570195456
2023-10-13,14700,14840,14890,14620,474469,69842620416
2023-10-16,14910,14750,14920,14725,381673,56494945024
2023-10-17,14760,14775,14875,14660,464969,68648835328
