date,open,close,high,low,volume,amount
2024-05-20,13520,13735,13740,13435,47436,3222109296
2024-05-21,13740,13665,13935,13595,48352,3330443168
2024-05-22,13680,13670,13770,13505,34049,2326252080
2024-05-23,13660,13570,13870,13510,50713,3470844928
2024-05-24,13570,13760,13960,13565,58589,4031334480
2024-05-27,13820,13750,13935,13665,42665,2942870432
2024-05-28,13760,13880,14260,13760,65434,4589974272
2024-05-29,13960,14395,14395,13885,43735,3079871424
2024-05-30,14395,14505,14625,14230,79068,5696393984
2024-05-31,14510,14340,14840,14170,103548,7499588864
2024-06-03,14380,14220,14485,14065,50053,3574021648
2024-06-04,14245,14255,14260,13990,38862,2744370576
2024-06-05,14220,14315,14465,14140,67179,4805462784
2024-06-06,14375,14935,14960,14255,81254,5914700032
2024-06-07,15050,15790,16010,14930,429243,33463656448
2024-06-11,15850,15340,16360,15265,321869,25298031360
2024-06-12,15395,16555,16630,15315,589991,47226259968
2024-06-13,16645,15830,16715,15390,864358,69079068672
2024-06-14,15830,15465,16120,15360,786403,61745255936
2024-06-17,15400,15220,15540,15150,459605,35243528960
2024-06-18,15245,15090,15640,14995,347202,26622598656
2024-06-19,15005,15225,15320,14885,193960,14679951104
2024-06-20,15255,15170,15485,15080,225178,17190419968
2024-06-21,15240,15205,15450,15070,157933,12057499904
2024-06-24,15180,15020,15505,15000,210930,16114152192
2024-06-25,15080,15335,15455,14925,183048,13935305984
2024-06-26,15280,15155,15320,14890,103569,7792713216
2024-06-27,15130,14805,15160,14715,158453,11794710528
2024-06-28,14880,14835,14920,14640,118976,8798929152
2024-07-01,14950,15000,15080,14705,116896,8690664704
2024-07-02,15045,15175,15240,14930,97861,7370130944
2024-07-03,15215,15185,15230,14975,73926,5581327616
2024-07-04,15170,14985,15245,14860,78794,5968222976
2024-07-05,14985,14720,15020,14715,78219,5808456960
2024-07-08,14750,14920,14945,14675,73503,5440874240
2024-07-09,14950,15055,15090,14810,84508,6322104320
2024-07-10,15045,14640,15045,14540,92808,6853225216
2024-07-11,14680,14770,14860,14680,52033,3843761024
2024-07-12,14800,14685,14860,14655,46788,3452403968
2024-07-15,14780,14640,14855,14555,47107,3457872656
2024-07-16,14495,14535,14560,14375,54296,3933424496
2024-07-17,14550,14600,14725,14500,61638,4506983680
2024-07-18,14600,14685,14700,14500,54949,4011385248
2024-07-19,14605,14670,14720,14460,88057,6427923456
2024-07-22,14735,14720,14955,14670,153760,11385712896
2024-07-23,14720,14585,14820,14570,84295,6191923200
2024-07-24,14560,14885,14945,14560,112205,8303230464
2024-07-25,14895,14635,14905,14600,103416,7612104704
2024-07-26,14645,14655,14930,14640,126259,9330969856
2024-07-29,14630,14485,14695,14425,91799,6686330624
2024-07-30,14440,14185,14500,14140,110340,7865293568
2024-07-31,14195,14340,14385,14070,85624,6091389696
2024-08-01,14360,14245,14420,14240,54988,3939296256
2024-08-02,14240,14310,14430,14225,49459,3542745776
2024-08-05,14230,14060,14320,14020,69959,4957932288
2024-08-06,14020,13895,14070,13795,67838,4722778368
2024-08-07,13940,14035,14065,13840,46924,3276980768
2024-08-08,14055,14050,14205,13970,46743,3293952544
2024-08-09,14050,14115,14235,13995,38173,2693754672
2024-08-12,14135,14150,14170,13950,30575,2150421744
2024-08-13,14100,14275,14310,14060,54988,3908887008
2024-08-14,14275,14135,14290,14115,53948,3830845456
2024-08-15,14155,14345,14385,14060,74191,5277360640
2024-08-16,14350,14210,14395,14205,59561,4259179600
2024-08-19,14190,14435,14455,14120,61260,4383818496
2024-08-20,14435,14605,14660,14350,66153,4785559040
2024-08-21,14570,14610,14650,14525,46915,3422766768
2024-08-22,14650,14595,14685,14510,50782,3706719472
2024-08-23,14590,14675,14760,14565,58256,4272569328
2024-08-26,14700,14810,14820,14615,61849,4551550464
2024-08-27,14825,15010,15025,14740,50646,3766732272
2024-08-28,15020,15215,15450,14990,140295,10692608000
2024-08-29,15190,15155,15360,15100,77212,5887714816
2024-08-30,15150,15120,15215,15025,81084,6125690880
2024-09-02,15120,14925,15130,14860,67374,5049496832
2024-09-03,14920,14725,14960,14690,51346,3806667008
2024-09-04,14695,14585,14765,14570,40623,2979616896
2024-09-05,14595,14705,14820,14580,48414,3566555104
2024-09-06,14735,14935,14950,14695,49773,3687335824
2024-09-09,14960,14980,15065,14750,72901,5428836096
2024-09-10,15020,14950,15145,14900,50020,3756709376
2024-09-11,14965,14975,15080,14860,88987,6667427584
2024-09-12,15050,15375,15405,15040,128908,9803657472
2024-09-13,15385,15370,15565,15275,93060,7177183488
2024-09-18,15835,15870,15970,15725,94355,7476626176
2024-09-19,15820,16125,16240,15795,116379,9332029952
2024-09-20,16160,15870,16185,15845,100986,8083943424
2024-09-23,15800,15355,15820,15265,126106,9752408320
2024-09-24,15395,15865,15875,15340,100676,7815237376
2024-09-25,15940,15775,16580,15725,199835,16119941120
2024-09-26,15720,15820,16190,15670,171865,13673066240
2024-09-27,15935,15700,15995,15575,123412,9720127488
2024-09-30,15695,16385,16480,15630,146609,11731622400
2024-10-08,16570,16285,16600,16090,96107,7845422592
2024-10-09,16285,16220,16650,16220,143593,11813033984
2024-10-10,16220,15340,16220,15310,144186,11382451200
2024-10-11,15415,15560,15625,15390,104999,8138381056
2024-10-14,15580,15825,15980,15475,71002,5583515392
2024-10-15,15920,15815,15960,15675,52256,4135296080
2024-10-16,15800,15460,15845,15355,55585,4343999744
2024-10-17,15405,15325,15540,15245,39070,3009220352
2024-10-18,15250,15560,15620,15250,42290,3282662704
2024-10-21,15580,15205,15580,15010,54958,4173022400
2024-10-22,15320,15395,15420,15105,26156,1995309648
2024-10-23,15315,15335,15605,15305,26028,2007564704
2024-10-24,15170,15155,15200,14975,34632,2609238208
2024-10-25,15150,15005,15230,14905,51113,3848927824
2024-10-28,15000,14950,15200,14920,45134,3403384432
2024-10-29,14880,14920,15025,14695,56938,4236772096
2024-10-30,14850,14845,14940,14675,46280,3427813232
2024-10-31,14830,14750,14830,14660,39604,2919390768
2024-11-01,14670,14505,14775,14430,60619,4418710272
2024-11-04,14515,14340,14540,14205,56799,4069803552
2024-11-05,14350,14350,14400,14215,52213,3732161680
2024-11-06,14300,14485,14645,14250,62507,4508625152
2024-11-07,14535,14385,14635,14290,61020,4416581376
2024-11-08,14385,14010,14630,14000,98941,7123402496
2024-11-11,13950,13865,14140,13820,86253,6033880576
2024-11-12,13815,13485,13845,13395,82315,5602339328
2024-11-13,13520,13570,13635,13425,63816,4313944320
2024-11-14,13570,13395,13730,13155,85641,5798480896
2024-11-15,13440,13175,13460,13120,77961,5163268096
2024-11-18,13215,13120,13310,13035,68988,4533808640
2024-11-19,13150,13140,13210,13005,67045,4398460160
2024-11-20,13070,13245,13275,13045,73747,4854104576
2024-11-21,13210,13180,13330,13085,68971,4549769984
2024-11-22,13205,12690,13285,12660,111373,7197885952
2024-11-25,12720,12770,12815,12580,106879,6787206912
2024-11-26,12780,12770,12865,12655,71515,4561786880
2024-11-27,12770,12950,12960,12715,72906,4673437952
2024-11-28,12950,12910,12965,12800,68296,4398173952
2024-11-29,12905,13345,13415,12895,223347,14806257920
2024-12-02,13385,13365,13650,13285,148940,10052550144
2024-12-03,13405,13650,13750,13330,121749,8213856768
2024-12-04,13630,13375,13650,13255,99582,6691676160
2024-12-05,13370,13100,13370,12980,117650,7747499520
2024-12-06,13160,13380,13465,13100,97494,6481822208
2024-12-09,13350,13405,13420,13040,168044,11115463168
2024-12-10,13505,13610,13910,13450,276339,18868264704
2024-12-11,13650,13810,13820,13585,200908,13773821440
2024-12-12,13780,13645,13795,13465,189014,12852805888
2024-12-13,13630,13445,13660,13320,180856,12163800064
2024-12-16,13455,13585,13655,13420,161345,10923813120
2024-12-17,13580,13550,13645,13470,115646,7841313024
2024-12-18,13530,13435,13560,13305,157624,10574398976
2024-12-19,13435,13405,13640,13345,218012,14710080000
2024-12-20,13400,13355,13670,13315,207170,13991545600
2024-12-23,13315,13500,13550,13105,207372,13811994368
2024-12-24,13415,13600,13600,13385,146075,9859684352
2024-12-25,13645,13290,13645,13290,150185,10115279104
2024-12-26,13305,13085,13335,13075,169214,11156472832
2024-12-27,13090,13005,13130,12930,148882,9705957376
2024-12-30,13030,13090,13120,12860,159232,10320985344
2024-12-31,13025,13105,13200,13025,100837,6620864512
2025-01-02,13195,13140,13260,13070,65324,4300544000
2025-01-03,13200,13305,13360,12850,173380,11400943104
