symbol,event_date,group,close,ema10,ema20,diff_cur,dea_cur,hist_cur,weeks_since_cross,diff_drawdown,spy_pre8,fwd5,exc5,fwd10,exc10,fwd20,exc20,fwd60,exc60,broken5,broken10,broken20,broken60
xel,2025-03-07,C,64.87859344482422,65.14923987845756,63.811371546671225,1.9611787913281944,2.083251771090172,-0.12207297976197751,31.0,0.446654117827491,-0.7872595157670581,3.150309739201451,10.160608593869814,7.332080006425379,3.8476537593345794,8.643886879779284,-2.6399144057801074,26.33110714345772,-0.614298244526033,0,0,0,0
xel,2025-05-23,C,67.0860366821289,67.31777018687431,66.21562376179682,1.6410662888927305,1.7453303543199363,-0.10426406542720579,42.0,0.5369737438798609,4.220203474772388,-1.9876605534270508,-8.483477685007701,6.240289972786628,-1.434932102823283,17.944249702124427,4.534649229810951,17.41638131985519,-12.73982669728968,1,1,1,1
mo,1977-12-02,C,0.02546395547688,0.025504343176999664,0.02504384297253485,0.0006295013460298343,0.0006564479063495786,-2.6946560319744293e-05,20.0,0.2676266413899725,,-4.399468153313246,,-5.213045531819893,,1.5942526499985066,,16.760017312740814,,1,1,1,1
mo,1990-08-17,C,0.4957938492298126,0.5056135381105717,0.4902703542622512,0.020977767926912083,0.021979978812758705,-0.0010022108858466217,20.0,0.2576912432061098,,-0.15625675301773612,,4.027144373725999,,11.104147665546948,,65.58086005952966,,1,1,1,1
mo,1992-02-21,C,0.8602443337440491,0.8619365634978139,0.8437883127243896,0.025740194726563637,0.026567543760990374,-0.0008273490344267373,999.0,0.2951013358352488,,2.0525612151182315,,3.8989212198436762,,6.986576481352325,,-32.19871394466865,,0,0,0,1
mo,1997-03-27,C,1.6812784671783447,1.7351701772561392,1.6617034728994386,0.10133137089805033,0.10898493979490816,-0.007653568896857824,20.0,0.25738465080231776,-1.4174206096486008,2.1344500611404804,-3.6285265364247143,9.178211839173379,-2.9970042153323764,16.66372651607897,-0.38927667778627395,-0.8799960520679107,-47.45434363858,1,1,1,1
mo,1997-07-11,C,1.8826600313186648,1.889224094290977,1.8278459827315152,0.08680792155158001,0.08937455061860336,-0.002566629067023346,35.0,0.3638209529306592,10.71858016034113,4.184615400201741,6.363697243741218,-3.8818717047290563,-7.8027189642474575,1.36088394675149,-3.2092930766171257,0.687315316499526,-7.28277383845819,1,1,1,1
mo,2013-07-26,C,15.919261932373049,15.934374174204121,15.67549491731654,0.3686267387410922,0.38751335458007913,-0.01888661583898693,999.0,0.2966246349715408,4.010318084771347,-5.62672966321035,-2.3980009471528447,-2.155553649183517,-2.5122546627112774,4.76268583433237,-1.072657395172727,33.41289374736858,11.834884740108187,1,1,1,1
mo,2017-07-14,C,38.71572113037109,38.7737058527814,38.10676099609255,0.9592992781271406,1.0044586001913929,-0.04515932206425233,999.0,0.40841624504655927,3.544762970793691,-13.850950636578974,-12.690340555751733,-14.572128310172305,-16.656318995320685,-6.246715224038701,-14.477871763158113,-14.006816766107377,-33.316879605050296,1,1,1,1
trv,1997-10-31,C,19.58504676818848,19.68982944385158,19.12099354892339,0.8068113474443273,0.8161353656341133,-0.00932401818978601,57.0,0.3248960958508049,-0.7950056921471549,4.76934381423042,-2.698373708391122,-4.76574045804502,-5.436224641335585,16.388696953362313,-3.7787606127862823,-8.004164311094309,-43.53550282080817,0,1,1,1
trv,2007-06-15,C,34.51152801513672,34.61886716255634,34.026810662894206,0.8595699398422525,0.9066514472401305,-0.047081507397877975,58.0,0.4535294899183767,3.4381359830684355,-4.061593966612098,-4.342476641779447,-2.6150023377941145,0.4815915029879103,-2.221446027905416,-1.4683802018817693,-15.739472465427728,-1.9597454388018516,1,1,1,1
trv,2010-04-16,C,35.848175048828125,36.07019470839518,35.32972493520366,1.0644524189812685,1.1091873297572332,-0.0447349107759647,45.0,0.42013599255872425,7.838314853461048,-5.58117024908209,3.0063169841550437,-1.2196053710266552,7.976762837853024,-1.3934835481874575,5.260654759504879,17.501445083014588,8.474774383526483,1,1,1,1
wmt,1997-12-26,C,3.942517757415772,4.022653704186929,3.9016716862191383,0.1789570833551437,0.19270234844547218,-0.013745265090328473,42.0,0.387065271368069,2.272245114285898,5.990027405464793,1.1582647875115981,33.61066968680313,20.64827659689623,44.14534293961858,25.411277014901533,126.78974593674282,92.5819457221151,0,0,0,0
wmt,2017-07-07,C,21.75330352783203,21.885993115579176,21.473503138669596,0.5586565695475869,0.5948424479539393,-0.036185878406352345,17.0,0.30104243477542947,1.8037846989425566,7.40167730001835,6.571481363857434,7.374978474345806,3.9398974876941883,29.06905008997811,20.997483570208765,31.068866661592875,8.91839907768157,0,0,0,0
vz,1997-07-25,A,8.124227523803711,8.255324689135364,8.035556776036685,0.2933593979298079,0.29943589013033933,-0.006076492200531414,12.0,0.25203324749752565,10.851948740465843,3.024861278549862,6.913175129312421,16.103145135446372,12.95110867666358,28.57200544203633,26.370621004349257,33.22874982245298,22.770234993638745,0,0,0,0
