date,open,high,low,close,volume,open_interest,settle
2026-05-04,94.78,101.8,94.34,100.52,179901,178786,101.51
2026-05-05,100.52,100.92,97.33,98.41,126027,186910,98.07
2026-05-06,98.24,98.38,86.13,92.14,197173,194639,91.23
2026-05-07,91.85,93.87,86.76,93.51,228355,204431,91.07
2026-05-08,94,94.52,90.25,91.12,127449,213225,91.79
2026-05-11,94.53,96.31,92.84,94.94,143649,221758,94.74
2026-05-12,95.13,98.97,94.68,98.28,151363,231734,98.51
2026-05-13,98.38,99.09,96.49,96.76,164775,253471,96.81
2026-05-14,97.04,98.13,95.12,97.82,137591,265033,96.92
2026-05-15,97.71,101.57,97.23,101.16,182693,275646,101.02
2026-05-18,101.74,105.21,98.6,102.49,323259,281416,104.38
2026-05-19,102.58,104.86,102.12,104.03,188925,284156,99.13
2026-05-20,99.12,99.46,92.82,94.79,130904,151711,94.01
2026-05-21,94.52,98.35,92.34,94.56,145259,153589,92.9
2026-05-22,94.3,95.87,91.42,93.35,117176,157586,93.09
2026-05-26,90.85,91.3,86.85,90.1,146128,157741,90.42
2026-05-27,89.93,90.36,85,86.58,128182,164362,85.99
2026-05-28,86.49,89.46,84,86.48,104253,173140,86.79
2026-05-29,86.41,86.89,84.29,85.72,119903,181419,85.3
2026-06-01,86.43,91.71,86.43,89.43,144111,187132,89.17
2026-06-02,89.41,90.7,87.26,90.27,116977,198259,90.47
2026-06-03,90.35,93.42,90.35,92.77,149913,201250,92.71
2026-06-04,92.4,92.56,89.04,89.93,112479,203179,90
2026-06-05,89.87,90.61,87.26,87.82,127179,211237,87.99
2026-06-08,90.2,92.73,88.38,89.18,154440,218621,89.25
2026-06-09,89.25,89.46,84.55,86.99,154753,222654,86.58
2026-06-10,87.63,90.08,85.88,89.94,159746,223106,88.34
2026-06-11,90.24,91.62,84.3,84.94,181975,227467,86.16
2026-06-12,84.65,85.61,81.68,82.74,152091,232938,83.35
2026-06-15,80.5,81,78.45,79.81,170232,235878,79.44
2026-06-16,79.8,80.15,74.74,75.83,223633,240294,75.27
2026-06-17,75.72,79.18,74.09,75.01,221328,266722,76.01
2026-06-18,74.88,76.06,72.83,75.52,255117,273365,75.85
2026-06-22,78,78.14,73.24,74.08,295926,273833,73.03
2026-06-23,73.2,73.55,71.78,72.41,103267,199754,72.54
2026-06-24,72.47,72.53,69.26,69.5,129042,197039,69.93
2026-06-25,69.31,72.08,68.57,71.09,128624,197807,71.52
2026-06-26,71.09,71.45,68.32,69.88,130917,201204,68.93
2026-06-29,70.14,70.72,69,70.11,85324,204325,70.41
2026-06-30,70.11,71.31,69.01,69.76,125275,202688,69.27
2026-07-01,69.7,69.87,67.88,68.01,119297,205781,68.51
2026-07-02,68.02,68.77,67.12,68.44,107827,208052,68.65
2026-07-06,68.37,69.24,67.82,68.6,124354,208185,68.56
2026-07-07,68.67,72.24,68.61,71.95,175477,214397,70.34
2026-07-08,72.07,75.59,71.53,74.43,301992,222089,73.27
2026-07-09,74.55,74.74,71.26,71.64,178700,243864,71.9
2026-07-10,71.66,72.95,70.68,71.43,151904,243681,71.34
2026-07-13,73.38,78.34,72.51,77.78,240279,244989,77.94
2026-07-14,77.87,80.54,77.39,79.12,367288,257059,78.68
2026-07-15,78.96,80.13,77.77,79.7,201170,257769,79.12
2026-07-16,79.45,80.29,78,78.89,184388,262301,78.28
2026-07-17,78.86,82.07,77.93,81.77,235014,272601,81.78
2026-07-20,82.91,84.6,79.58,82.42,324589,279275,82.48
2026-07-21,82.42,85.03,81.39,84.54,274425,296355,82.11
2026-07-22,82.78,84.51,82.04,83.37,186486,139530,83.64
2026-07-23,84.16,88.07,83.83,86.8,217191,146345,87.01
2026-07-24,87.03,87.25,83.8,85.88,172996,149783,85.15
2026-07-27,81.21,82.63,79.43,79.64,165707,153220,80.25
2026-07-28,79.66,80.08,76.05,77.05,168358,150445,77.17
2026-07-29,77.77,82.57,77.32,82.1,160795,152997,82.04
2026-07-30,81.98,82.72,80.22,81.15,125432,162428,80.8
2026-07-31,81.15,83.44,78.63,83.36,103517,167361,81.49
2026-08-03,77.26,78.9,76.42,77.73,124758,171024,77.9
2026-08-04,77.83,79.91,73.79,73.79,178141,175875,74.4
2026-08-05,73.89,75.32,73.1,73.9,141405,174309,74.05
2026-08-06,74.01,77.27,73.47,77,121831,181471,76.16
2026-08-07,76.92,77.56,75.35,76.1,128348,188817,77.15
2026-08-10,77.53,81.33,76.8,81.22,135296,203726,81.16
2026-08-11,81.14,83.34,80.15,82.01,156115,205283,81.95
2026-08-12,82.22,82.93,81.11,81.56,156086,216706,82.17
2026-08-13,81.74,82.18,79.31,80.39,154449,228881,80.44
2026-08-14,80.4,81.99,79.91,81.49,122675,235612,81.47
2026-08-17,81.62,84.17,80.8,84.1,161404,248143,83.74
2026-08-18,84.1,85.07,83.77,84.42,190856,262972,84.06
2026-08-19,84.46,85.84,83.45,84.4,246785,271808,84.39
2026-08-20,84.4,87.69,84.23,86.21,248776,287051,84.86
2026-08-21,84.35,85.46,84.03,84.85,115005,165648,85.16
2026-08-24,84.7,84.7,82.67,83.22,89959,172477,83.3
2026-08-25,83.27,84.07,78.97,79.7,115855,169638,80.88
2026-08-26,79.71,81.91,78.55,80.51,96342,173644,80.85
2026-08-27,80.63,82.68,79.34,81.97,94825,173295,81.97
2026-08-28,82.01,82.17,80.8,81.82,73241,172817,81.83
2026-08-31,82.89,84.84,82.47,84.36,101554,170876,84.06
2026-09-01,84.46,88.34,84.24,88.09,157044,173741,87.75
2026-09-02,87.98,89.51,86.63,87.89,137910,184940,88.28
2026-09-03,87.89,89.46,86.8,88.26,178974,183804,88.03
2026-09-04,88.35,88.84,85.92,88.18,137743,186786,88.57
2026-09-08,89.14,91.44,88.18,91.27,230094,197229,90.19
2026-09-09,91.3,93.59,90.81,93.31,168436,217508,92.87
2026-09-10,93.54,94.32,92.06,93.6,39873,226184,None
