date,open,high,low,close,volume,open_interest,settle
2026-04-24,79.5,80.14,77.4,78.87,36716,77858,78.78
2026-04-27,79.78,80.37,78.93,79.7,18085,77823,79.7
2026-04-28,79.67,81.98,79.6,80.45,31205,78089,80.43
2026-04-29,80.43,82.7,80.24,82.53,43080,77745,81.72
2026-04-30,82.59,83.78,80.38,82.72,39231,74676,82.26
2026-05-01,83.13,83.66,80.22,82.22,35969,72766,81.42
2026-05-04,81,86.12,80.26,85.35,54127,72203,85.94
2026-05-05,85.46,85.71,83.24,84.26,37406,74558,83.87
2026-05-06,84.17,84.17,75.71,78.78,62865,75886,78.89
2026-05-07,78.81,80.7,76.24,80.69,57265,74530,79.34
2026-05-08,80.56,81.08,78.84,80.38,35724,72784,80.95
2026-05-11,82.54,83.87,81.59,83.57,26666,70134,83.32
2026-05-12,83.33,85.85,83.33,85.34,23737,68113,85.58
2026-05-13,85.07,85.31,83.26,83.47,26512,68300,83.52
2026-05-14,83.56,84.4,81.9,83.84,25341,69920,83.23
2026-05-15,83.53,85.9,83.53,85.57,24016,70493,85.6
2026-05-18,86.85,88.12,84.62,85.98,37964,71066,87.8
2026-05-19,85.5,88,85.5,87.08,26641,69348,87.26
2026-05-20,87.36,87.45,82.65,84.22,38853,66950,83.69
2026-05-21,84.23,87.05,83.03,84.41,53322,65849,83.38
2026-05-22,84.24,85.62,82.21,83.86,32389,65174,83.63
2026-05-26,81.4,82.78,79.68,81.54,46505,65300,81.92
2026-05-27,81.5,81.64,78.51,79.9,35439,66065,79.59
2026-05-28,79.09,81.81,78.73,80.73,25878,66223,81.08
2026-05-29,80.55,81,79.11,79.87,25478,66301,79.66
2026-06-01,80.83,83.38,80.66,81.96,37206,66330,81.88
2026-06-02,82.03,82.93,80.56,82.6,26611,66935,82.62
2026-06-03,82.73,84.61,82.51,84.01,33281,66620,84.26
2026-06-04,83.89,84.07,81.57,82.24,27290,66419,82.15
2026-06-05,82.17,82.72,80.32,80.9,28160,69006,81.01
2026-06-08,83,84.78,81.85,82.88,44322,69223,82.96
2026-06-09,82.73,83.02,79.75,81.58,40503,67632,81.39
2026-06-10,82.31,84.14,80.78,84.12,50441,66451,82.95
2026-06-11,84.11,85.32,80,80.49,56558,69854,81.53
2026-06-12,80.15,80.91,77.64,78.35,36706,73585,78.63
2026-06-15,77.64,77.64,75.21,76.04,35491,71795,75.7
