market,date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
玉米 (CBOT),2009-11-03,1422687,258034,61926,434812,620190,655333,109651,270616,196108,-35143,6034,-2201,8539,12059
玉米 (CBOT),2009-11-09,1473215,256519,59779,441988,630973,661182,143735,310266,196740,-30209,-1514,-2147,10783,5849
玉米 (CBOT),2009-11-17,1502122,274815,62162,424714,642433,691261,160159,323985,212653,-48828,18296,2383,11460,30079
玉米 (CBOT),2009-11-24,1214860,255748,63164,262175,563115,602364,133822,287157,192584,-39249,-19067,1002,-79319,-88897
玉米 (CBOT),2009-12-01,1220867,282585,59602,260362,549839,621111,128082,279793,222983,-71272,26837,-3562,-13276,18747
玉米 (CBOT),2009-12-08,1218859,269720,80575,260185,564986,606275,123969,271824,189145,-41289,-12865,20974,15147,-14836
玉米 (CBOT),2009-12-15,1212495,272089,67873,256424,564032,622373,119950,265825,204216,-58341,2370,-12702,-954,16098
玉米 (CBOT),2009-12-22,1220477,269131,67734,255375,575721,631386,120250,265981,201397,-55665,-2958,-139,11690,9014
玉米 (CBOT),2009-12-29,1247226,283385,60629,260677,575403,654720,127761,271200,222756,-79317,14254,-7105,-319,23333
玉米 (CBOT),2010-01-05,1299567,310554,60444,279989,580788,689111,128236,270023,250110,-108323,27169,-185,5386,34391
玉米 (CBOT),2010-01-12,1384055,326717,70306,309416,615840,717497,132082,286836,256411,-101657,16163,9862,35052,28385
玉米 (CBOT),2010-01-19,1410976,269266,102381,332039,678776,671530,130895,305026,166885,7246,-57451,32074,62936,-45966
玉米 (CBOT),2010-01-26,1435139,260302,128413,353316,692505,645137,129015,308273,131889,47368,-8964,26033,13729,-26393
玉米 (CBOT),2010-02-02,1476113,256749,146376,374968,710821,647531,133576,307239,110373,63290,-3553,17963,18316,2394
玉米 (CBOT),2010-02-09,1481038,240265,169214,368484,723468,635168,148821,308172,71051,88300,-16484,22838,12647,-12363
玉米 (CBOT),2010-02-16,1513817,240291,167179,400792,724696,643284,148038,302562,73112,81412,26,-2035,1228,8116
玉米 (CBOT),2010-02-23,1385976,243167,149482,317507,680282,625122,145019,293865,93685,55160,2876,-17697,-44414,-18162
玉米 (CBOT),2010-03-02,1390497,253695,135690,323619,671114,640356,142069,290833,118005,30758,10528,-13793,-9169,15234
玉米 (CBOT),2010-03-09,1423552,255594,143074,342853,679700,642316,145405,295309,112520,37384,1899,7385,8587,1960
玉米 (CBOT),2010-03-16,1445533,251451,167565,355104,694404,631240,144575,291624,83886,63164,-4143,24491,14703,-11076
玉米 (CBOT),2010-03-23,1483169,247950,188016,379021,710203,624814,145995,291318,59934,85389,-3501,20451,15800,-6426
玉米 (CBOT),2010-03-30,1520751,229438,197405,405655,728883,606089,156775,311602,32033,122794,-18512,9389,18680,-18725
玉米 (CBOT),2010-04-06,1522807,233402,224670,409188,731819,589545,148398,299403,8732,142274,3964,27265,2935,-16544
玉米 (CBOT),2010-04-13,1565172,233676,222707,435207,748797,609939,147493,297319,10969,138858,273,-1963,16978,20394
玉米 (CBOT),2010-04-20,1576092,241303,205546,431631,753885,642019,149274,296896,35757,111866,7627,-17161,5088,32080
玉米 (CBOT),2010-04-27,1490534,244857,213654,350744,752177,640280,142756,285856,31203,111897,3555,8108,-1708,-1739
玉米 (CBOT),2010-05-04,1526170,262902,172217,373928,747049,690085,142291,289941,90685,56964,18045,-41437,-5129,49805
玉米 (CBOT),2010-05-11,1574996,272252,166161,398977,758620,714985,145147,294873,106091,43635,9349,-6056,11571,24900
玉米 (CBOT),2010-05-18,1603124,281061,178723,421257,759372,707301,141434,295842,102338,52071,8809,12562,752,-7683
玉米 (CBOT),2010-05-25,1595631,274160,163371,423552,754158,710731,143762,297978,110789,43427,-6901,-15352,-5214,3429
玉米 (CBOT),2010-06-01,1604392,274853,180132,443490,739994,675043,146055,305727,94721,64951,694,16762,-14164,-35688
玉米 (CBOT),2010-06-08,1653962,268914,217088,470408,760046,653937,154594,312529,51826,106109,-5940,36955,20052,-21107
玉米 (CBOT),2010-06-15,1626988,279381,217861,471550,725549,630450,150507,307126,61520,95099,10467,773,-34497,-23486
玉米 (CBOT),2010-06-22,1614651,267125,177858,477347,726402,656518,143777,302927,89267,69884,-12256,-40003,853,26068
玉米 (CBOT),2010-06-29,1458113,248195,210824,374202,697269,578879,138447,294208,37371,118390,-18930,32966,-29133,-77639
玉米 (CBOT),2010-07-06,1442318,260360,165784,377474,666117,601314,138367,297746,94576,64803,12165,-45039,-31152,22435
玉米 (CBOT),2010-07-13,1482277,300035,130409,393931,651064,654583,137248,303354,169626,-3519,39675,-35375,-15053,53269
玉米 (CBOT),2010-07-20,1559644,323742,115984,421591,683530,715314,130781,306755,207758,-31784,23707,-14425,32467,60731
玉米 (CBOT),2010-07-27,1591725,334835,134295,430574,697441,718530,128874,308326,200540,-21089,11093,18311,13911,3216
玉米 (CBOT),2010-08-03,1671881,380952,119098,449936,696306,785890,144687,316957,261854,-89584,46117,-15197,-1135,67360
玉米 (CBOT),2010-08-10,1763632,415193,104739,486968,708711,851558,152760,320366,310454,-142847,34241,-14360,12404,65669
玉米 (CBOT),2010-08-17,1877911,447473,100360,559783,706497,905474,164158,312295,347113,-198977,32280,-4379,-2214,53916
玉米 (CBOT),2010-08-24,1874004,455776,99298,559314,701370,908316,157543,307075,356478,-206946,8303,-1061,-5127,2842
玉米 (CBOT),2010-08-31,1822805,479948,98313,514744,666703,908106,161410,301642,381635,-241403,24172,-985,-34667,-210
玉米 (CBOT),2010-09-07,1926178,510440,95540,554548,685474,973085,175716,303005,414900,-287611,30492,-2773,18771,64979
玉米 (CBOT),2010-09-14,1999764,531575,99753,594300,684607,994743,189282,310968,431822,-310136,21135,4214,-867,21657
玉米 (CBOT),2010-09-21,2125837,538594,95122,675122,716459,1057655,195661,297938,443472,-341196,7019,-4631,31852,62912
玉米 (CBOT),2010-09-28,2096043,553500,95043,632252,710990,1067469,199301,301279,458457,-356479,14906,-79,-5470,9814
玉米 (CBOT),2010-10-05,2110788,529072,94522,660677,718408,1051933,202631,303656,434550,-333525,-24428,-521,7418,-15536
玉米 (CBOT),2010-10-12,2357123,549402,99568,817706,768431,1134977,221585,304872,449834,-366546,20330,5046,50023,83044
玉米 (CBOT),2010-10-19,2380072,541651,107639,818854,794902,1146192,224665,307387,434012,-351290,-7750,8071,26471,11215
玉米 (CBOT),2010-10-26,2431281,545227,113370,827972,824032,1181003,234049,308936,431857,-356971,3576,5731,29131,34811
玉米 (CBOT),2010-11-02,2491349,557569,123776,853808,844294,1208314,235678,305450,433793,-364020,12342,10406,20261,27311
玉米 (CBOT),2010-11-09,2572723,555857,133620,894665,871299,1236594,250901,307843,422237,-365295,-1712,9844,27006,28279
玉米 (CBOT),2010-11-16,2485904,512615,133352,865344,888810,1191561,219135,295648,379263,-302751,-43242,-268,17511,-45033
玉米 (CBOT),2010-11-23,2473822,489736,123625,884326,878460,1175811,221299,290059,366111,-297351,-22880,-9727,-10350,-15750
玉米 (CBOT),2010-11-30,2043404,480675,117172,585865,766630,1059712,210233,280655,363503,-293082,-9061,-6453,-111830,-116099
玉米 (CBOT),2010-12-07,2081663,481250,114615,610402,778748,1074293,211263,282352,366635,-295545,575,-2556,12118,14582
玉米 (CBOT),2010-12-14,2118708,508024,118081,619972,791966,1101788,198746,278866,389943,-309822,26774,3466,13217,27495
玉米 (CBOT),2010-12-21,2198012,534178,119463,641033,823012,1153796,199789,283719,414715,-330784,26154,1382,31046,52008
玉米 (CBOT),2010-12-28,2220581,541652,114899,632585,834252,1182111,212093,290987,426753,-347859,7474,-4564,11239,28314
玉米 (CBOT),2011-01-04,2225065,516095,116251,652428,851013,1169185,205530,287202,399844,-318172,-25557,1352,16762,-12926
玉米 (CBOT),2011-01-11,2293704,505557,113158,716955,860945,1177448,210247,286143,392399,-316503,-10538,-3093,9932,8264
玉米 (CBOT),2011-01-18,2441969,541711,111218,799804,873896,1229558,226558,301389,430493,-355662,36154,-1940,12951,52110
玉米 (CBOT),2011-01-25,2381171,520116,106426,766025,866466,1195964,228564,312756,413690,-329498,-21595,-4792,-7430,-33594
玉米 (CBOT),2011-02-01,2463395,539099,99661,808613,883899,1234084,231785,321038,439438,-350185,18984,-6765,17433,38119
玉米 (CBOT),2011-02-08,2510643,539521,107766,822953,909365,1263059,238804,316865,431755,-353694,422,8105,25466,28975
玉米 (CBOT),2011-02-15,2573509,524775,111937,874348,935581,1280827,238805,306398,412838,-345246,-14746,4171,26216,17768
玉米 (CBOT),2011-02-22,2342713,513780,105268,668682,912533,1245958,247718,322806,408512,-333425,-10995,-6669,-23048,-34869
玉米 (CBOT),2011-03-01,2334568,507864,94926,700362,898086,1237506,228256,301774,412938,-339420,-5916,-10343,-14447,-8451
玉米 (CBOT),2011-03-08,2322358,476095,88635,716364,904438,1216851,225460,300508,387460,-312413,-31769,-6291,6352,-20656
玉米 (CBOT),2011-03-15,2326505,432983,100266,734266,941882,1199387,217374,292585,332717,-257505,-43113,11631,37443,-17463
玉米 (CBOT),2011-03-22,2328827,399214,94860,764926,955632,1182017,209054,287023,304354,-226385,-33768,-5406,13751,-17370
玉米 (CBOT),2011-03-29,2248933,403389,93421,709186,923150,1159244,213207,287082,309968,-236094,4175,-1439,-32482,-22773
玉米 (CBOT),2011-04-05,2455167,451074,101041,818558,960865,1225937,224670,309630,350033,-265072,47684,7620,37714,66692
玉米 (CBOT),2011-04-12,2487515,476347,91986,851098,938508,1235668,221563,308763,384361,-297160,25273,-9056,-22357,9732
玉米 (CBOT),2011-04-19,2481319,494544,93210,852234,904354,1234862,230187,301013,401334,-330508,18197,1224,-34154,-807
玉米 (CBOT),2011-04-26,2297491,496337,93563,728482,839755,1179934,232917,295511,402774,-340179,1794,353,-64599,-54927
玉米 (CBOT),2011-05-03,2180458,460452,93477,684591,821097,1128604,214317,273785,366975,-307507,-35885,-86,-18658,-51330
玉米 (CBOT),2011-05-10,2154362,431384,99756,694894,814339,1086098,213746,273615,331628,-271759,-29068,6279,-6758,-42506
玉米 (CBOT),2011-05-17,2128708,422690,102490,691528,802115,1060545,212375,274145,320200,-258430,-8694,2734,-12224,-25554
玉米 (CBOT),2011-05-24,2094720,433118,81801,660576,786241,1076573,214786,275770,351317,-290332,10428,-20688,-15875,16028
玉米 (CBOT),2011-05-31,2146889,455743,79329,683863,785737,1094524,221547,289174,376414,-308787,22625,-2473,-504,17951
玉米 (CBOT),2011-06-07,2174051,444871,81071,722179,787755,1084168,219246,286633,363800,-296413,-10872,1742,2019,-10355
玉米 (CBOT),2011-06-14,2224832,456195,86119,750557,800255,1095802,217824,292354,370076,-295547,11325,5048,12500,11634
玉米 (CBOT),2011-06-21,2132924,390657,85759,703054,820746,1059552,218466,284559,304898,-238806,-65538,-360,20491,-36250
玉米 (CBOT),2011-06-28,1779907,351928,83906,482382,730363,937736,215234,275884,268022,-207373,-38729,-1853,-90383,-121816
玉米 (CBOT),2011-07-05,1719396,325765,93911,468943,733143,889453,191544,267089,231854,-156310,-26163,10005,2780,-48283
玉米 (CBOT),2011-07-12,1752002,340584,91003,501964,719464,887116,189990,271919,249581,-167652,14819,-2907,-13679,-2337
玉米 (CBOT),2011-07-19,1825618,363169,86996,539661,733228,926289,189559,272672,276173,-193061,22585,-4008,13764,39173
玉米 (CBOT),2011-07-26,1794304,361024,82981,519508,727339,913310,186434,278505,278043,-185971,-2146,-4014,-5890,-12979
玉米 (CBOT),2011-08-02,1891929,383397,84689,567151,752127,954090,189255,286000,298708,-201963,22373,1708,24788,40780
玉米 (CBOT),2011-08-09,1894620,368744,74077,594908,744312,942888,186656,282747,294667,-198576,-14653,-10612,-7816,-11202
玉米 (CBOT),2011-08-16,1971299,391641,80387,652200,730171,954216,197287,284496,311254,-224045,22897,6310,-14140,11328
玉米 (CBOT),2011-08-23,2027276,401095,83680,674432,745881,974828,205868,294337,317415,-228947,9455,3292,15710,20612
玉米 (CBOT),2011-08-30,1965600,443574,90251,628779,698201,950795,195046,295775,353323,-252594,42479,6572,-47681,-24033
玉米 (CBOT),2011-09-06,1961734,444806,91098,620627,704068,958606,192233,291403,353708,-254538,1232,847,5867,7812
玉米 (CBOT),2011-09-13,1905262,416418,90817,595214,705560,934113,188070,285119,325601,-228553,-28388,-281,1492,-24493
玉米 (CBOT),2011-09-20,1892130,366240,79615,602791,738476,929113,184624,280611,286625,-190637,-50178,-11201,32916,-5000
玉米 (CBOT),2011-09-27,1844339,330011,87095,576386,757263,897244,180679,283613,242916,-139981,-36229,7480,18787,-31869
玉米 (CBOT),2011-10-04,1912911,295094,96265,639610,794863,893803,183345,283233,198829,-98940,-34918,9170,37600,-3441
玉米 (CBOT),2011-10-11,1925148,296467,115772,646392,804463,891280,177827,271704,180695,-86817,1373,19507,9600,-2523
玉米 (CBOT),2011-10-18,1921134,295711,111180,638172,796974,893741,190277,278042,184531,-96767,-755,-4592,-7488,2460
玉米 (CBOT),2011-10-25,1843331,303417,89921,586991,769602,895012,183320,271407,213496,-125410,7706,-21259,-27372,1271
玉米 (CBOT),2011-11-01,1862592,318791,94705,579831,780049,919759,183921,268297,224086,-139710,15374,4784,10447,24747
玉米 (CBOT),2011-11-08,1890003,330581,91592,585275,794011,963007,180136,250129,238989,-168996,11790,-3113,13962,43248
玉米 (CBOT),2011-11-15,1910946,324363,103755,586139,825639,976216,174804,244834,220608,-150577,-6218,12164,31628,13209
玉米 (CBOT),2011-11-22,1897477,296079,123460,584959,843365,920178,173073,268879,172619,-76813,-28284,19704,17726,-56038
玉米 (CBOT),2011-11-29,1479265,285786,126123,337381,699928,773098,156170,242663,159663,-73170,-10292,2663,-143437,-147080
玉米 (CBOT),2011-12-06,1499287,287192,145693,368257,680945,732533,162892,252803,141499,-51588,1406,19569,-18983,-40565
玉米 (CBOT),2011-12-13,1544339,296214,156526,390674,696142,735213,161309,261926,139688,-39071,9022,10833,15198,2680
玉米 (CBOT),2011-12-20,1568094,293238,159254,415894,693812,727001,165150,265945,133984,-33189,-2976,2728,-2330,-8212
玉米 (CBOT),2011-12-27,1558918,298440,140354,407695,684203,739135,168580,271734,158086,-54932,5202,-18900,-9609,12134
玉米 (CBOT),2012-01-03,1615568,317297,112994,443612,687905,777710,166754,281252,204303,-89805,18856,-27360,3701,38575
玉米 (CBOT),2012-01-10,1675585,341748,102658,465536,689186,810600,179115,296792,239090,-121414,24452,-10336,1281,32890
玉米 (CBOT),2012-01-17,1659403,319007,122155,484807,676044,761124,179546,291317,196852,-85080,-22741,19497,-13143,-49476
玉米 (CBOT),2012-01-24,1689901,324624,142776,499336,688088,758818,177853,288970,181848,-70730,5617,20621,12044,-2306
玉米 (CBOT),2012-01-31,1676757,342043,126725,482759,694286,791155,157669,276118,215318,-96869,17419,-16051,6198,32337
玉米 (CBOT),2012-02-07,1737986,362119,128806,506746,707512,814761,161609,287672,233313,-107249,20076,2082,13226,23606
玉米 (CBOT),2012-02-14,1779030,360067,131380,526544,735832,831262,156587,289844,228687,-95430,-2051,2574,28320,16502
玉米 (CBOT),2012-02-21,1770174,341856,133508,529218,737754,821593,161346,285855,208348,-83839,-18212,2128,1923,-9669
玉米 (CBOT),2012-02-28,1647928,361372,117180,442842,682195,802512,161519,285394,244192,-120317,19516,-16328,-55559,-19081
玉米 (CBOT),2012-03-06,1684032,367984,94900,479628,681038,827154,155382,282350,273084,-146116,6612,-22279,-1157,24642
玉米 (CBOT),2012-03-13,1764358,375595,101373,517539,706501,853713,164722,291732,274222,-147212,7611,6473,25463,26559
玉米 (CBOT),2012-03-20,1781170,380621,87172,531291,701672,870058,167586,292649,293449,-168386,5026,-14201,-4829,16345
玉米 (CBOT),2012-03-27,1744273,362405,107333,508435,709836,833448,163597,295057,255072,-123612,-18216,20162,8164,-36611
玉米 (CBOT),2012-04-03,1856305,358269,122530,565418,763806,861034,168813,307323,235739,-97228,-4136,15197,53970,27587
玉米 (CBOT),2012-04-10,1837252,353677,126481,560447,755124,836221,168004,314103,227196,-81097,-4592,3950,-8682,-24814
玉米 (CBOT),2012-04-17,1865114,338075,145204,570204,786231,831543,170604,318163,192871,-45312,-15603,18723,31108,-4678
玉米 (CBOT),2012-04-24,1739626,319639,173494,496751,756898,758095,166338,311286,146145,-1197,-18436,28290,-29333,-73448
玉米 (CBOT),2012-05-01,1684519,327985,167474,478992,720759,749359,156783,288694,160511,-28600,8346,-6020,-36139,-8736
玉米 (CBOT),2012-05-08,1711083,317610,152842,501030,735391,763801,157052,293410,164768,-28410,-10375,-14632,14632,14442
玉米 (CBOT),2012-05-15,1723037,300660,174506,520115,739272,726514,162990,301902,126154,12758,-16950,21664,3882,-37286
玉米 (CBOT),2012-05-22,1699747,287894,133264,525854,727366,747961,158633,292668,154630,-20595,-12766,-41242,-11906,21446
玉米 (CBOT),2012-05-29,1681497,264127,151496,510383,745723,723125,161263,296492,112631,22598,-23767,18232,18357,-24836
玉米 (CBOT),2012-06-05,1696371,260071,170055,520936,742186,710023,173178,295356,90016,32163,-4056,18559,-3537,-13102
玉米 (CBOT),2012-06-12,1684295,255520,161952,543564,713699,684804,171512,293974,93568,28895,-4551,-8103,-28487,-25220
玉米 (CBOT),2012-06-19,1640692,274863,154821,512568,678700,686212,174560,287091,120042,-7512,19344,-7132,-34999,1408
玉米 (CBOT),2012-06-26,1509075,266621,117669,428216,633660,698128,180579,265062,148952,-64468,-8243,-37152,-45040,11916
玉米 (CBOT),2012-07-03,1595468,283120,78602,495410,631673,768698,185265,252758,204518,-137025,16499,-39067,-1987,70570
玉米 (CBOT),2012-07-10,1730417,300773,75953,564339,678529,837223,186775,252901,224820,-158694,17653,-2649,46856,68524
玉米 (CBOT),2012-07-17,1916920,331187,73928,666382,716671,921600,202680,255010,257259,-204929,30415,-2026,38141,84377
玉米 (CBOT),2012-07-24,2007418,362167,55761,733152,724216,954123,187883,264382,306406,-229907,30979,-18166,7545,32523
玉米 (CBOT),2012-07-31,1932495,368955,50837,660176,713954,953824,189410,267659,318118,-239870,6789,-4924,-10262,-299
玉米 (CBOT),2012-08-07,1944758,379395,52864,670425,711948,950760,182989,270709,326531,-238812,10440,2026,-2005,-3064
玉米 (CBOT),2012-08-14,1966851,395926,52620,679519,706686,961892,184720,272820,343306,-255206,16531,-244,-5263,11132
玉米 (CBOT),2012-08-21,2073500,431357,55556,727381,721140,1012663,193622,277900,375801,-291523,35431,2937,14455,50771
玉米 (CBOT),2012-08-28,1810958,412766,57950,559347,657882,929020,180963,264641,354816,-271138,-18591,2394,-63258,-83643
玉米 (CBOT),2012-09-04,1804347,421192,54078,570095,635112,916920,177948,263254,367114,-281808,8426,-3872,-22770,-12100
玉米 (CBOT),2012-09-11,1800348,397235,60393,587074,639865,889018,176175,263863,336842,-249153,-23957,6316,4753,-27902
玉米 (CBOT),2012-09-18,1829734,394226,70385,609853,653115,876118,172540,273377,323841,-223003,-3009,9992,13250,-12900
玉米 (CBOT),2012-09-25,1772923,382480,58462,578213,642892,859769,169339,276480,324018,-216877,-11746,-11924,-10224,-16350
玉米 (CBOT),2012-10-02,1843335,383520,60951,621849,664156,885086,173810,275449,322569,-220930,1040,2489,21264,25318
玉米 (CBOT),2012-10-09,1850087,370349,59054,637044,663753,878026,178941,275963,311295,-214273,-13171,-1897,-402,-7060
玉米 (CBOT),2012-10-16,1897016,372672,64349,651539,693097,904583,179708,276545,308323,-211486,2323,5295,29344,26556
玉米 (CBOT),2012-10-23,1935194,396666,60569,672006,684379,927371,182142,275248,336097,-242992,23994,-3780,-8718,22788
玉米 (CBOT),2012-10-30,1874753,367174,77341,636967,688105,886764,182507,273681,289833,-198659,-29493,16772,3726,-40607
玉米 (CBOT),2012-11-06,1887427,368216,77004,632391,705229,905605,181589,272427,291212,-200376,1043,-337,17124,18840
玉米 (CBOT),2012-11-13,1903443,341659,92331,646584,732650,892805,182550,271723,249328,-160155,-26558,15327,27420,-12800
玉米 (CBOT),2012-11-20,1880049,364117,71359,617829,716295,925129,181808,265731,292758,-208834,22458,-20972,-16355,32325
玉米 (CBOT),2012-11-27,1541817,372124,71368,366401,624013,849321,179279,254727,300756,-225308,8007,8,-92282,-75808
玉米 (CBOT),2012-12-04,1531416,399882,78110,368311,598231,844806,164992,240189,321772,-246575,27758,6742,-25782,-4515
玉米 (CBOT),2012-12-11,1550240,364522,93380,395871,627007,826754,162840,234234,271142,-199747,-35360,15270,28776,-18052
玉米 (CBOT),2012-12-18,1533350,333679,113537,406092,626223,778194,167356,235527,220142,-151971,-30843,20157,-785,-48560
玉米 (CBOT),2012-12-24,1519198,311471,124780,411356,637952,742525,158420,240537,186691,-104573,-22208,11243,11729,-35669
玉米 (CBOT),2012-12-31,1528736,305249,123072,427612,636083,740038,159792,238014,182177,-103955,-6222,-1708,-1869,-2487
玉米 (CBOT),2013-01-08,1589423,305057,141947,459236,653381,746414,171749,241826,163110,-93033,-192,18875,17298,6376
玉米 (CBOT),2013-01-15,1658310,332538,143243,486870,655538,774628,183364,253570,189295,-119090,27481,1296,2157,28214
玉米 (CBOT),2013-01-22,1653458,338145,139755,485388,650658,775315,179267,252999,198390,-124657,5607,-3488,-4880,688
玉米 (CBOT),2013-01-29,1638105,349925,144531,455232,650406,774509,182542,263834,205394,-124103,11780,4776,-252,-807
玉米 (CBOT),2013-02-05,1720772,378165,153065,486526,673963,812290,182119,268891,225100,-138327,28240,8534,23557,37781
玉米 (CBOT),2013-02-12,1768034,340785,174167,511991,732209,808041,183048,273835,166618,-75832,-37380,21102,58246,-4249
玉米 (CBOT),2013-02-19,1798722,330442,207748,531557,750026,783715,186696,275702,122694,-33689,-10343,33581,17817,-24326
玉米 (CBOT),2013-02-26,1633637,325308,214070,443985,677733,706798,186610,268783,111238,-29065,-5134,6322,-72293,-76916
玉米 (CBOT),2013-03-05,1627540,340569,210493,464981,649980,694311,172011,257755,130076,-44331,15260,-3577,-27754,-12487
玉米 (CBOT),2013-03-12,1683071,350294,196983,490848,665613,728236,176317,267005,153311,-62623,9726,-13510,15633,33925
玉米 (CBOT),2013-03-19,1775631,390738,175586,510835,697845,819641,176214,269568,215152,-121796,40443,-21397,32232,91405
玉米 (CBOT),2013-03-26,1818556,429375,173225,489504,723631,878855,176046,276972,256150,-155224,38637,-2362,25786,59214
玉米 (CBOT),2013-04-02,1895395,370116,211464,569357,767307,834471,188615,280104,158652,-67164,-59259,38239,43676,-44384
玉米 (CBOT),2013-04-09,1907259,331990,224175,604848,780951,788242,189470,289994,107815,-7291,-38126,12711,13644,-46229
玉米 (CBOT),2013-04-16,1910349,330595,224107,613540,780249,782538,185965,290164,106488,-2289,-1395,-68,-701,-5704
玉米 (CBOT),2013-04-23,1922177,322816,248921,623289,784776,763814,191296,286153,73895,20962,-7779,24814,4527,-18724
玉米 (CBOT),2013-04-30,1694481,327103,217860,484227,705333,721832,177818,270562,109243,-16499,4287,-31061,-79443,-41982
玉米 (CBOT),2013-05-07,1711663,333348,210547,502988,699964,718516,175362,279613,122801,-18552,6245,-7313,-5368,-3317
玉米 (CBOT),2013-05-14,1729183,345091,209526,519714,693993,705964,170385,293979,135565,-11971,11743,-1021,-5972,-12551
玉米 (CBOT),2013-05-21,1781563,358089,242517,546024,701554,691536,175896,301486,115572,10018,12998,32991,7561,-14428
玉米 (CBOT),2013-05-28,1766679,374040,221797,526884,687830,717648,177925,300350,152243,-29818,15951,-20720,-13725,26112
玉米 (CBOT),2013-06-04,1756977,362928,225229,512758,703165,722495,178126,296494,137699,-19330,-11112,3432,15335,4847
玉米 (CBOT),2013-06-11,1794071,359985,228794,536541,715200,729503,182345,299232,131191,-14303,-2943,3565,12036,7008
玉米 (CBOT),2013-06-18,1818654,356806,240650,559572,719216,722942,183060,295490,116156,-3726,-3179,11856,4016,-6561
玉米 (CBOT),2013-06-25,1639001,354224,241292,454982,652538,657487,177257,285240,112932,-4949,-2583,642,-66678,-65455
玉米 (CBOT),2013-07-02,1677959,323946,298721,499895,686796,583958,167323,295386,25225,102838,-30278,57429,34258,-73529
玉米 (CBOT),2013-07-09,1677143,320866,325327,497609,685440,567254,173228,286953,-4461,118186,-3080,26606,-1356,-16703
玉米 (CBOT),2013-07-16,1686068,319047,313487,506517,693033,571759,167472,294305,5560,121274,-1819,-11840,7593,4505
玉米 (CBOT),2013-07-23,1797856,322519,364679,563117,732735,569755,179484,300305,-42160,162980,3473,51191,39702,-2004
玉米 (CBOT),2013-07-30,1787673,314434,382317,552771,740195,554625,180274,297959,-67883,185570,-8086,17639,7460,-15130
玉米 (CBOT),2013-08-06,1851640,330443,404868,589273,749725,546367,182199,311132,-74425,203358,16009,22551,9530,-8258
玉米 (CBOT),2013-08-13,1934066,331675,407043,636879,770449,573852,195064,316293,-75368,196597,1232,2175,20724,27485
玉米 (CBOT),2013-08-20,1871279,307613,353439,612217,766186,612716,185263,292906,-45826,153470,-24063,-53603,-4263,38864
玉米 (CBOT),2013-08-27,1585788,300757,315833,441971,669615,551224,173445,276760,-15076,118391,-6856,-37607,-96571,-61492
玉米 (CBOT),2013-09-03,1578535,297856,321101,456039,658712,529588,165928,271808,-23245,129124,-2900,5268,-10903,-21637
玉米 (CBOT),2013-09-10,1600221,299304,327002,479029,656931,516394,164958,277796,-27698,140537,1447,5901,-1781,-13193
玉米 (CBOT),2013-09-17,1664579,298185,360539,521739,679648,498183,165006,284118,-62354,181465,-1118,33536,22718,-18211
玉米 (CBOT),2013-09-24,1677801,298837,381139,509497,700882,494716,168584,292449,-82302,206166,652,20600,21234,-3467
玉米 (CBOT),2013-10-01,1755882,304043,403891,546447,731270,502486,174122,303058,-99848,228784,5205,22752,30388,7770
玉米 (CBOT),2013-10-08,1783725,299021,404678,563660,740511,506954,180533,308433,-105657,233557,-5022,787,9241,4468
玉米 (CBOT),2013-10-15,1811735,304209,413343,567295,755469,519875,184761,311222,-109134,235594,5188,8665,14958,12920
玉米 (CBOT),2013-10-22,1869789,309897,419518,598610,777720,529926,183562,321735,-109621,247794,5687,6175,22251,10052
玉米 (CBOT),2013-10-29,1902900,316218,441619,594992,801502,545890,190188,320399,-125401,255612,6321,22101,23782,15964
玉米 (CBOT),2013-11-05,1941041,328753,447171,600929,821842,566744,189518,326197,-118418,255098,12535,5553,20340,20854
玉米 (CBOT),2013-11-12,1945827,336584,408229,600518,813577,619908,195148,317172,-71645,193669,7831,-38942,-8265,53163
玉米 (CBOT),2013-11-19,2014849,330276,416768,644871,847082,637444,192621,315767,-86492,209638,-6308,8539,33505,17536
玉米 (CBOT),2013-11-26,1557202,308429,392784,366203,709275,501664,173295,296551,-84355,207611,-21847,-23983,-137807,-135780
玉米 (CBOT),2013-12-03,1521559,312148,380353,372619,674658,488035,162135,280553,-68205,186623,3720,-12431,-34618,-13629
玉米 (CBOT),2013-12-10,1536489,307010,353006,394802,673373,510470,161305,278212,-45996,162903,-5138,-27347,-1285,22435
玉米 (CBOT),2013-12-17,1550962,305191,361463,408513,674604,500089,162655,280898,-56272,174515,-1819,8457,1232,-10381
玉米 (CBOT),2013-12-24,1524435,304078,342634,404907,658175,493036,157276,283860,-38556,165139,-1113,-18829,-16429,-7054
玉米 (CBOT),2013-12-31,1531779,301439,349480,400775,670593,491438,158971,290086,-48041,179155,-2639,6847,12418,-1598
玉米 (CBOT),2014-01-07,1563886,306346,345196,423602,671655,498717,162283,296370,-38850,172938,4906,-4284,1062,7280
玉米 (CBOT),2014-01-14,1646323,327579,344977,433688,721644,566302,163412,301357,-17398,155342,21233,-220,49989,67585
玉米 (CBOT),2014-01-21,1680673,323944,336704,459945,731958,574868,164826,309155,-12760,157090,-3635,-8272,10314,8566
玉米 (CBOT),2014-01-28,1660475,322233,321949,433197,738182,595965,166862,309364,284,142217,-1712,-14755,6225,21097
