market,type,date,dnet,dlong,dshort,share_long,cluster_len,retention_4w,pre4,pre8,net_after,fwd1,fwd2,fwd4,fwd8,fwd12
小麦 三合约合计,long_surge,2025-10-14,-18280,11871,30151,nan,1,-3.4934,-0.0104,-0.0352,-169646,0.0365,0.0246,0.0229,-0.0347,-0.0198
小麦 三合约合计,long_surge,2025-12-09,-27983,26660,54643,nan,2,-31.2376,-0.0563,-0.0347,-50941,0.0196,-0.0055,0.0155,0.0592,0.1768
小麦 三合约合计,long_surge,2026-02-24,64563,28096,-36467,0.4352,1,1.2284,0.1417,0.1678,-11621,-0.0077,-0.0346,-0.0315,0.0161,-0.0242
小麦 三合约合计,long_surge,2026-03-31,42330,10267,-32063,0.2425,5,1.6071,-0.067,0.0366,29468,0.0336,0.0639,0.0701,0.0041,0.0203
小麦 三合约合计,long_surge,2026-08-25,69268,55350,-13918,0.7991,2,nan,0.1226,0.1208,24163,,,,,
小麦 三合约合计,short_cover,2016-03-08,56979,-15072,-72051,-0.2645,2,3.2559,-0.0025,-0.0157,-152780,-0.0007,0.0091,-0.0041,0.0025,0.0216
小麦 三合约合计,short_cover,2016-04-19,78067,14399,-63668,0.1844,2,2.1681,0.0059,0.0169,-128035,-0.022,-0.0123,-0.0067,-0.0323,-0.0677
小麦 三合约合计,short_cover,2016-06-07,48060,15111,-32949,0.3144,1,-0.0611,0.0135,0.0086,-64458,-0.0268,-0.0593,-0.0627,-0.0658,-0.0994
小麦 三合约合计,short_cover,2016-10-18,37618,10177,-27441,0.2705,1,-0.2558,0.007,0.0098,-69162,0.0042,-0.0057,-0.0102,-0.0351,-0.0005
小麦 三合约合计,short_cover,2017-01-10,50641,11587,-39054,0.2288,1,1.0535,0.0358,0.0098,-14675,-0.0077,0.0012,0.0142,-0.0065,-0.0137
小麦 三合约合计,short_cover,2017-02-14,46459,11103,-35356,0.239,1,-0.6,0.0125,0.0246,34494,0.0047,-0.0069,-0.0223,-0.0399,-0.0248
