family,rank_type,rank,date,chg,level_after,prev_level,net_after
白小麦 (MGE),空头砍仓,2,1995-09-05,-745,0,745,0
白小麦 (MGE),空头砍仓,3,1996-09-24,-743,98,840,-98
白小麦 (MGE),空头砍仓,4,1996-11-26,-697,83,780,-83
白小麦 (MGE),空头砍仓,5,1995-10-31,-615,0,615,0
白小麦 (MGE),空头砍仓,6,1997-07-29,-510,0,510,0
白小麦 (MGE),空头砍仓,7,1997-12-09,-505,0,505,0
白小麦 (MGE),空头砍仓,8,1996-11-12,-364,1046,1410,-1046
白小麦 (MGE),空头砍仓,9,1996-11-19,-267,780,1046,-780
白小麦 (MGE),空头砍仓,10,1996-07-02,-197,303,500,1177
白小麦 (MGE),空头砍仓,11,1995-10-24,-150,615,765,-615
白小麦 (MGE),空头砍仓,12,1996-12-24,-136,915,1051,-915
白小麦 (MGE),空头砍仓,13,1998-04-07,-100,162,262,-2
白小麦 (MGE),空头砍仓,14,1996-10-01,-98,0,98,794
白小麦 (MGE),空头砍仓,15,1995-10-10,-40,740,780,-740
白小麦 (MGE),空头砍仓,16,1997-08-26,-15,685,700,-685
白小麦 (MGE),空头砍仓,17,1997-02-04,-9,0,915,30
白小麦 (MGE),空头砍仓,18,1995-04-25,-5,5,10,-5
白小麦 (MGE),空头砍仓,19,1995-05-02,-5,0,5,0
白小麦 (MGE),空头砍仓,20,1995-03-28,0,0,0,0
白小麦 (MGE),净多增加,1,1997-02-04,945,30,-915,30
白小麦 (MGE),净多增加,2,1996-12-10,924,-361,-1285,-361
白小麦 (MGE),净多增加,3,1996-06-18,905,905,0,905
白小麦 (MGE),净多增加,4,1996-10-01,892,794,-98,794
白小麦 (MGE),净多增加,5,1995-09-05,745,0,-745,0
白小麦 (MGE),净多增加,6,1996-09-24,742,-98,-840,-98
白小麦 (MGE),净多增加,7,1996-11-26,697,-83,-780,-83
白小麦 (MGE),净多增加,8,1997-09-16,685,0,-685,0
白小麦 (MGE),净多增加,9,1997-09-30,670,670,0,670
白小麦 (MGE),净多增加,10,1995-10-31,615,0,-615,0
白小麦 (MGE),净多增加,11,1997-07-29,510,0,-510,0
白小麦 (MGE),净多增加,12,1997-12-09,505,0,-505,0
白小麦 (MGE),净多增加,13,1997-10-07,460,1130,670,1130
白小麦 (MGE),净多增加,14,1996-11-12,364,-1046,-1410,-1046
白小麦 (MGE),净多增加,15,1997-02-11,318,348,30,348
白小麦 (MGE),净多增加,16,1996-11-19,266,-780,-1046,-780
白小麦 (MGE),净多增加,17,1995-10-24,150,-615,-765,-615
白小麦 (MGE),净多增加,18,1996-06-25,150,1055,905,1055
白小麦 (MGE),净多增加,19,1996-12-24,136,-915,-1051,-915
白小麦 (MGE),净多增加,20,1996-07-02,122,1177,1055,1177
硬质杜伦麦 (MGE),多头增仓,1,1998-05-26,113,113,0,63
硬质杜伦麦 (MGE),多头增仓,2,1998-09-01,100,100,34,100
硬质杜伦麦 (MGE),多头增仓,3,1998-09-15,85,206,121,206
硬质杜伦麦 (MGE),多头增仓,4,1998-06-09,43,188,145,149
硬质杜伦麦 (MGE),多头增仓,5,1998-06-02,32,145,113,120
硬质杜伦麦 (MGE),多头增仓,6,1998-11-10,30,100,70,100
硬质杜伦麦 (MGE),多头增仓,7,1998-09-08,21,121,100,121
硬质杜伦麦 (MGE),多头增仓,8,1998-07-21,12,113,66,113
硬质杜伦麦 (MGE),多头增仓,9,1998-09-22,11,217,206,217
硬质杜伦麦 (MGE),多头增仓,10,1998-04-21,0,0,,0
硬质杜伦麦 (MGE),多头增仓,11,1998-04-28,0,0,0,0
硬质杜伦麦 (MGE),多头增仓,12,1998-05-05,0,0,0,0
硬质杜伦麦 (MGE),多头增仓,13,1998-05-12,0,0,0,-40
硬质杜伦麦 (MGE),多头增仓,14,1998-05-19,0,0,0,-51
硬质杜伦麦 (MGE),多头增仓,15,1998-06-16,-1,187,188,162
硬质杜伦麦 (MGE),多头增仓,16,1998-10-13,-2,151,153,151
硬质杜伦麦 (MGE),多头增仓,17,1998-10-20,-9,142,151,142
硬质杜伦麦 (MGE),多头增仓,18,1998-10-06,-12,153,165,153
硬质杜伦麦 (MGE),多头增仓,19,1998-10-27,-25,117,142,117
硬质杜伦麦 (MGE),多头增仓,20,1998-11-17,-34,66,100,66
硬质杜伦麦 (MGE),空头砍仓,1,1998-06-02,-25,25,50,120
硬质杜伦麦 (MGE),空头砍仓,2,1998-06-16,-14,25,39,162
硬质杜伦麦 (MGE),空头砍仓,3,1998-04-21,-1,0,,0
硬质杜伦麦 (MGE),空头砍仓,4,1998-05-26,-1,50,51,63
硬质杜伦麦 (MGE),空头砍仓,5,1998-04-28,0,0,0,0
硬质杜伦麦 (MGE),空头砍仓,6,1998-05-05,0,0,0,0
硬质杜伦麦 (MGE),空头砍仓,7,1998-06-23,0,25,25,41
硬质杜伦麦 (MGE),空头砍仓,8,1998-07-21,0,0,25,113
硬质杜伦麦 (MGE),空头砍仓,9,1998-08-04,0,0,0,34
硬质杜伦麦 (MGE),空头砍仓,10,1998-09-01,0,0,0,100
硬质杜伦麦 (MGE),空头砍仓,11,1998-09-08,0,0,0,121
硬质杜伦麦 (MGE),空头砍仓,12,1998-09-15,0,0,0,206
硬质杜伦麦 (MGE),空头砍仓,13,1998-09-22,0,0,0,217
硬质杜伦麦 (MGE),空头砍仓,14,1998-09-29,0,0,0,165
硬质杜伦麦 (MGE),空头砍仓,15,1998-10-06,0,0,0,153
硬质杜伦麦 (MGE),空头砍仓,16,1998-10-13,0,0,0,151
硬质杜伦麦 (MGE),空头砍仓,17,1998-10-20,0,0,0,142
硬质杜伦麦 (MGE),空头砍仓,18,1998-10-27,0,0,0,117
硬质杜伦麦 (MGE),空头砍仓,19,1998-11-03,0,0,0,70
硬质杜伦麦 (MGE),空头砍仓,20,1998-11-10,0,0,0,100
硬质杜伦麦 (MGE),净多增加,1,1998-05-26,114,63,-51,63
硬质杜伦麦 (MGE),净多增加,2,1998-09-15,85,206,121,206
硬质杜伦麦 (MGE),净多增加,3,1998-07-21,72,113,41,113
硬质杜伦麦 (MGE),净多增加,4,1998-09-01,66,100,34,100
硬质杜伦麦 (MGE),净多增加,5,1998-06-02,57,120,63,120
硬质杜伦麦 (MGE),净多增加,6,1998-11-10,30,100,70,100
硬质杜伦麦 (MGE),净多增加,7,1998-06-09,29,149,120,149
硬质杜伦麦 (MGE),净多增加,8,1998-09-08,21,121,100,121
硬质杜伦麦 (MGE),净多增加,9,1998-06-16,13,162,149,162
硬质杜伦麦 (MGE),净多增加,10,1998-09-22,11,217,206,217
硬质杜伦麦 (MGE),净多增加,11,1998-04-28,0,0,0,0
硬质杜伦麦 (MGE),净多增加,12,1998-05-05,0,0,0,0
硬质杜伦麦 (MGE),净多增加,13,1998-10-13,-2,151,153,151
硬质杜伦麦 (MGE),净多增加,14,1998-10-20,-9,142,151,142
硬质杜伦麦 (MGE),净多增加,15,1998-05-19,-11,-51,-40,-51
硬质杜伦麦 (MGE),净多增加,16,1998-10-06,-12,153,165,153
硬质杜伦麦 (MGE),净多增加,17,1998-10-27,-25,117,142,117
硬质杜伦麦 (MGE),净多增加,18,1998-11-17,-34,66,100,66
硬质杜伦麦 (MGE),净多增加,19,1998-05-12,-40,-40,0,-40
硬质杜伦麦 (MGE),净多增加,20,1998-11-03,-47,70,117,70
