family,rank_type,rank,date,chg,level_after,prev_level,net_after
HRW 硬红冬 (CBOT),净多增加,10,1995-06-27,17317,33252,15935,33252
HRW 硬红冬 (CBOT),净多增加,11,2025-10-28,16700,-32161,-48861,-32161
HRW 硬红冬 (CBOT),净多增加,12,2017-01-10,16466,24241,7775,24241
HRW 硬红冬 (CBOT),净多增加,13,2017-05-02,16435,9043,-7392,9043
HRW 硬红冬 (CBOT),净多增加,14,2024-04-30,16418,-21552,-37970,-21552
HRW 硬红冬 (CBOT),净多增加,15,2010-07-13,16063,37882,21819,37882
HRW 硬红冬 (CBOT),净多增加,16,2015-06-30,15993,74,-15919,74
HRW 硬红冬 (CBOT),净多增加,17,2019-12-17,15917,4394,-11523,4394
HRW 硬红冬 (CBOT),净多增加,18,2025-06-24,15409,-31025,-46434,-31025
HRW 硬红冬 (CBOT),净多增加,19,2018-07-31,15121,46438,31317,46438
HRW 硬红冬 (CBOT),净多增加,20,2016-03-15,14935,-22005,-36940,-22005
HRS 硬红春 (MIAX),多头增仓,1,2026-04-28,6695,36402,29707,32869
HRS 硬红春 (MIAX),多头增仓,2,2025-03-18,5107,20561,15455,-18067
HRS 硬红春 (MIAX),多头增仓,3,2007-10-02,4937,16809,11872,15675
HRS 硬红春 (MIAX),多头增仓,4,2017-01-10,4919,21400,16481,10829
HRS 硬红春 (MIAX),多头增仓,5,2017-06-06,4887,12332,7445,6669
HRS 硬红春 (MIAX),多头增仓,6,2026-09-01,4817,25919,21102,21758
HRS 硬红春 (MIAX),多头增仓,7,2026-03-31,4780,31170,26390,26643
HRS 硬红春 (MIAX),多头增仓,8,1995-04-25,4370,5570,1200,511
HRS 硬红春 (MIAX),多头增仓,9,2026-03-03,4273,23649,19375,6915
HRS 硬红春 (MIAX),多头增仓,10,1997-03-18,4179,7314,3135,7294
HRS 硬红春 (MIAX),多头增仓,11,2021-01-12,4037,26720,22683,16448
HRS 硬红春 (MIAX),多头增仓,12,2026-02-24,4015,19375,15360,-4418
HRS 硬红春 (MIAX),多头增仓,13,2023-05-16,3978,11897,7919,-1118
HRS 硬红春 (MIAX),多头增仓,14,2018-08-07,3931,16674,12743,240
HRS 硬红春 (MIAX),多头增仓,15,2016-12-06,3876,14370,10493,7356
HRS 硬红春 (MIAX),多头增仓,16,2021-01-05,3761,22683,18922,11651
HRS 硬红春 (MIAX),多头增仓,17,2018-07-31,3536,12743,9207,-5915
HRS 硬红春 (MIAX),多头增仓,18,2025-05-27,3535,14747,11212,-28281
HRS 硬红春 (MIAX),多头增仓,19,2007-02-27,3449,19344,15895,18994
HRS 硬红春 (MIAX),多头增仓,20,2025-11-18,3415,12219,8804,-25169
HRS 硬红春 (MIAX),空头砍仓,1,2024-04-30,-15575,18583,34158,-7185
HRS 硬红春 (MIAX),空头砍仓,2,2025-06-03,-11115,31913,43028,-15623
HRS 硬红春 (MIAX),空头砍仓,3,2025-04-15,-9312,32451,41763,-18331
HRS 硬红春 (MIAX),空头砍仓,4,1998-01-06,-8581,2489,11070,-1820
HRS 硬红春 (MIAX),空头砍仓,5,2026-03-10,-8573,8161,16734,18097
HRS 硬红春 (MIAX),空头砍仓,6,2025-02-11,-7980,27630,35610,-9529
HRS 硬红春 (MIAX),空头砍仓,7,2019-10-01,-7236,16200,23436,-8202
HRS 硬红春 (MIAX),空头砍仓,8,2020-09-01,-7089,20881,27970,-7743
HRS 硬红春 (MIAX),空头砍仓,9,2026-03-03,-7059,16734,23793,6915
HRS 硬红春 (MIAX),空头砍仓,10,2024-10-08,-6890,20195,27085,-7484
HRS 硬红春 (MIAX),空头砍仓,11,2024-05-07,-6708,11875,18583,-715
HRS 硬红春 (MIAX),空头砍仓,12,2025-06-10,-6615,25298,31913,-10493
HRS 硬红春 (MIAX),空头砍仓,13,2026-07-28,-6601,13178,19779,7983
HRS 硬红春 (MIAX),空头砍仓,14,2025-06-17,-6485,18813,25298,-4517
HRS 硬红春 (MIAX),空头砍仓,15,2005-04-26,-6375,3741,10116,-1965
HRS 硬红春 (MIAX),空头砍仓,16,2025-02-04,-6344,35610,41954,-12668
HRS 硬红春 (MIAX),空头砍仓,17,2026-07-21,-6075,19779,25854,3115
HRS 硬红春 (MIAX),空头砍仓,18,2023-06-27,-5785,5202,10987,5712
HRS 硬红春 (MIAX),空头砍仓,19,2019-12-24,-5337,19462,24799,-10078
HRS 硬红春 (MIAX),空头砍仓,20,2019-12-31,-5266,14196,19462,-4142
HRS 硬红春 (MIAX),净多增加,1,2024-04-30,16094,-7185,-23279,-7185
HRS 硬红春 (MIAX),净多增加,2,2025-06-03,12658,-15623,-28281,-15623
HRS 硬红春 (MIAX),净多增加,3,2026-03-03,11333,6915,-4418,6915
HRS 硬红春 (MIAX),净多增加,4,2026-03-10,11182,18097,6915,18097
HRS 硬红春 (MIAX),净多增加,5,2026-02-24,8766,-4418,-13184,-4418
HRS 硬红春 (MIAX),净多增加,6,2026-07-21,7846,3115,-4731,3115
HRS 硬红春 (MIAX),净多增加,7,2025-04-15,7443,-18331,-25774,-18331
HRS 硬红春 (MIAX),净多增加,8,2026-09-01,7398,21758,14360,21758
HRS 硬红春 (MIAX),净多增加,9,2026-04-28,7141,32869,25728,32869
HRS 硬红春 (MIAX),净多增加,10,2019-10-01,7049,-8202,-15251,-8202
HRS 硬红春 (MIAX),净多增加,11,2025-11-18,7020,-25169,-32189,-25169
HRS 硬红春 (MIAX),净多增加,12,2025-02-04,6993,-12668,-19661,-12668
HRS 硬红春 (MIAX),净多增加,13,2020-10-20,6920,7668,748,7668
HRS 硬红春 (MIAX),净多增加,14,2020-09-01,6796,-7743,-14539,-7743
HRS 硬红春 (MIAX),净多增加,15,2025-06-24,6568,2051,-4517,2051
HRS 硬红春 (MIAX),净多增加,16,2024-05-07,6470,-715,-7185,-715
HRS 硬红春 (MIAX),净多增加,17,2024-10-08,6382,-7484,-13866,-7484
HRS 硬红春 (MIAX),净多增加,18,2018-07-31,6230,-5915,-12145,-5915
HRS 硬红春 (MIAX),净多增加,19,2005-04-26,6226,-1965,-8191,-1965
HRS 硬红春 (MIAX),净多增加,20,2018-08-07,6155,240,-5915,240
三合约合计 (SRW+HRW+HRS),多头增仓,1,1996-01-30,69306,162504,93198,124779
三合约合计 (SRW+HRW+HRS),多头增仓,2,1997-09-02,41827,126640,84813,62962
三合约合计 (SRW+HRW+HRS),多头增仓,3,1995-05-02,38504,143181,104677,119756
三合约合计 (SRW+HRW+HRS),多头增仓,4,1995-04-11,38252,98504,60252,60654
三合约合计 (SRW+HRW+HRS),多头增仓,5,2026-09-01,36782,255869,219087,74288
三合约合计 (SRW+HRW+HRS),多头增仓,6,1996-03-26,32630,126269,93639,87575
三合约合计 (SRW+HRW+HRS),多头增仓,7,2004-03-23,30637,80990,50353,66119
三合约合计 (SRW+HRW+HRS),多头增仓,8,1997-03-18,29423,127812,98389,59140
三合约合计 (SRW+HRW+HRS),多头增仓,9,2015-06-30,29336,182933,153597,5723
三合约合计 (SRW+HRW+HRS),多头增仓,10,2026-02-24,28096,244592,216496,-11621
三合约合计 (SRW+HRW+HRS),多头增仓,11,2018-07-31,27337,251114,223777,92162
三合约合计 (SRW+HRW+HRS),多头增仓,12,2010-12-07,27327,194460,167133,95077
三合约合计 (SRW+HRW+HRS),多头增仓,13,2006-05-16,26635,172776,146141,102925
三合约合计 (SRW+HRW+HRS),多头增仓,14,1995-09-12,26232,163825,137593,129838
三合约合计 (SRW+HRW+HRS),多头增仓,15,2020-03-31,26040,166194,140154,39462
三合约合计 (SRW+HRW+HRS),多头增仓,16,1995-12-12,25778,144270,118492,105254
三合约合计 (SRW+HRW+HRS),多头增仓,17,1996-01-02,25246,157603,132357,112377
三合约合计 (SRW+HRW+HRS),多头增仓,18,2020-09-01,25017,216870,191853,48448
三合约合计 (SRW+HRW+HRS),多头增仓,19,1995-06-27,24059,203431,179372,188129
三合约合计 (SRW+HRW+HRS),多头增仓,20,2018-08-07,23825,274939,251114,122278
三合约合计 (SRW+HRW+HRS),空头砍仓,1,1998-01-06,-135048,35009,170057,-22984
三合约合计 (SRW+HRW+HRS),空头砍仓,2,2012-05-22,-69620,130884,200504,20620
三合约合计 (SRW+HRW+HRS),空头砍仓,3,2024-04-30,-66240,234119,300359,-55456
三合约合计 (SRW+HRW+HRS),空头砍仓,4,2017-05-02,-64584,327638,392222,-91557
三合约合计 (SRW+HRW+HRS),空头砍仓,5,2017-06-20,-60668,224194,284862,39830
三合约合计 (SRW+HRW+HRS),空头砍仓,6,2018-01-30,-60259,322680,382939,-52001
三合约合计 (SRW+HRW+HRS),空头砍仓,7,2016-03-15,-49577,263010,312587,-113413
三合约合计 (SRW+HRW+HRS),空头砍仓,8,2023-12-12,-48911,253561,302472,-90116
三合约合计 (SRW+HRW+HRS),空头砍仓,9,2025-10-28,-48339,355207,403546,-114937
三合约合计 (SRW+HRW+HRS),空头砍仓,10,2025-02-04,-45473,314545,360018,-113798
三合约合计 (SRW+HRW+HRS),空头砍仓,11,2023-06-27,-45075,159421,204496,-31125
三合约合计 (SRW+HRW+HRS),空头砍仓,12,2019-05-21,-44781,266669,311450,-61084
三合约合计 (SRW+HRW+HRS),空头砍仓,13,2015-06-30,-44371,177210,221581,5723
三合约合计 (SRW+HRW+HRS),空头砍仓,14,2013-10-01,-44028,157558,201586,20951
三合约合计 (SRW+HRW+HRS),空头砍仓,15,2025-06-24,-42916,260850,303766,-99980
三合约合计 (SRW+HRW+HRS),空头砍仓,16,2018-02-13,-42879,245591,288470,1781
三合约合计 (SRW+HRW+HRS),空头砍仓,17,2019-06-04,-41944,201795,243739,-15096
三合约合计 (SRW+HRW+HRS),空头砍仓,18,2016-04-26,-41109,243486,284595,-80324
三合约合计 (SRW+HRW+HRS),空头砍仓,19,2025-02-18,-40105,244527,284632,-69186
三合约合计 (SRW+HRW+HRS),空头砍仓,20,2020-03-24,-39265,131814,171079,8340
三合约合计 (SRW+HRW+HRS),净多增加,1,1996-01-30,98025,124779,26754,124779
三合约合计 (SRW+HRW+HRS),净多增加,2,1998-01-06,85828,-22984,-108812,-22984
三合约合计 (SRW+HRW+HRS),净多增加,3,2015-06-30,73707,5723,-67984,5723
三合约合计 (SRW+HRW+HRS),净多增加,4,2017-06-20,73255,39830,-33425,39830
三合约合计 (SRW+HRW+HRS),净多增加,5,2018-01-30,67101,-52001,-119102,-52001
三合约合计 (SRW+HRW+HRS),净多增加,6,2026-02-24,64562,-11621,-76183,-11621
三合约合计 (SRW+HRW+HRS),净多增加,7,2020-09-01,62688,48448,-14240,48448
三合约合计 (SRW+HRW+HRS),净多增加,8,2012-05-22,61387,20620,-40767,20620
三合约合计 (SRW+HRW+HRS),净多增加,9,2017-05-02,60143,-91557,-151700,-91557
三合约合计 (SRW+HRW+HRS),净多增加,10,1995-04-11,57968,60654,2686,60654
三合约合计 (SRW+HRW+HRS),净多增加,11,2024-04-30,57003,-55456,-112459,-55456
三合约合计 (SRW+HRW+HRS),净多增加,12,1997-09-02,54059,62962,8903,62962
三合约合计 (SRW+HRW+HRS),净多增加,13,2004-03-23,53176,66119,12943,66119
三合约合计 (SRW+HRW+HRS),净多增加,14,2018-07-31,52092,92162,40070,92162
三合约合计 (SRW+HRW+HRS),净多增加,15,2017-01-10,50641,-14675,-65316,-14675
三合约合计 (SRW+HRW+HRS),净多增加,16,2005-03-01,50169,18436,-31733,18436
