date,open,high,low,close,volume,open_interest,settle
2026-04-29,3.8857,4.1313,3.8273,4.1229,48104,64529,4.0986
2026-04-30,4.1486,4.2549,4.0165,4.0856,39990,65590,3.8882
2026-05-01,3.9035,3.956,3.7412,3.8066,21537,45392,3.7827
2026-05-04,3.7201,3.9598,3.7201,3.8907,28396,46743,3.9211
2026-05-05,3.8956,3.9329,3.8137,3.9069,25138,47856,3.876
2026-05-06,3.9121,3.9126,3.4235,3.6329,35669,47720,3.6371
2026-05-07,3.6166,3.7512,3.45,3.7375,43918,48632,3.6394
2026-05-08,3.7265,3.7685,3.6186,3.6809,30994,51483,3.7006
2026-05-11,3.7375,3.8318,3.6986,3.791,29965,54400,3.7789
2026-05-12,3.7881,3.9808,3.7879,3.9474,28441,57094,3.9666
2026-05-13,3.9609,3.9683,3.7844,3.8069,40671,59519,3.8141
2026-05-14,3.7978,3.8632,3.7296,3.7965,26497,63075,3.7743
2026-05-15,3.7984,3.9399,3.7878,3.9076,31293,65582,3.9212
2026-05-18,3.9301,4.047,3.8978,3.9427,37315,66748,4.0097
2026-05-19,3.9381,4.0791,3.932,4.0493,35142,66813,4.0564
2026-05-20,4.0638,4.0732,3.7975,3.86,46632,67392,3.8435
2026-05-21,3.861,3.938,3.6857,3.7784,45580,67025,3.7241
2026-05-22,3.798,3.8418,3.7161,3.7996,37094,68685,3.772
2026-05-26,3.7074,3.724,3.5668,3.6089,59734,70838,3.6213
2026-05-27,3.6115,3.6275,3.4466,3.5431,48364,70843,3.5289
2026-05-28,3.5321,3.6293,3.459,3.5563,34244,72144,3.5521
2026-05-29,3.5565,3.5967,3.461,3.5129,39797,73515,3.4886
2026-06-01,3.4754,3.6915,3.474,3.5883,32982,32388,3.5774
2026-06-02,3.5847,3.6482,3.4988,3.6131,22750,32678,3.636
2026-06-03,3.6216,3.7943,3.6182,3.7675,27392,33462,3.7769
2026-06-04,3.7659,3.785,3.597,3.6206,24501,33571,3.621
2026-06-05,3.6221,3.6493,3.539,3.5638,29984,35795,3.5512
2026-06-08,3.6324,3.7409,3.551,3.5657,33384,37997,3.5738
2026-06-09,3.5601,3.5712,3.4443,3.5221,31683,40355,3.5177
2026-06-10,3.5263,3.6305,3.4827,3.6242,28945,42865,3.5788
2026-06-11,3.6272,3.6731,3.423,3.438,39584,45733,3.4831
2026-06-12,3.4071,3.4607,3.2921,3.3587,36043,50806,3.3639
2026-06-15,3.3,3.316,3.2114,3.224,32612,52107,3.2257
2026-06-16,3.2151,3.23,3.1026,3.1581,41028,55144,3.1271
2026-06-17,3.1535,3.2611,3.1003,3.1192,35508,60731,3.1438
2026-06-18,3.1185,3.1385,3.0013,3.0819,37434,62848,3.0854
2026-06-22,3.18,3.2002,3.0511,3.0685,44348,63222,3.0569
2026-06-23,3.0739,3.1306,3.0151,3.1172,44665,63117,3.1124
2026-06-24,3.1074,3.1222,3.056,3.0988,55043,63991,3.1117
2026-06-25,3.1065,3.2222,3.0633,3.193,58306,62533,3.2092
2026-06-26,3.202,3.2067,3.083,3.1319,47516,64620,3.1022
2026-06-29,3.1474,3.2135,3.1197,3.1623,37998,65094,3.1869
2026-06-30,3.1694,3.2608,3.1425,3.2333,34493,68312,3.1601
2026-07-01,3.158,3.2363,3.1272,3.1548,34452,49050,3.1552
2026-07-02,3.1558,3.1979,3.0963,3.1253,25037,52189,3.1259
2026-07-06,3.127,3.2618,3.1101,3.2469,27713,52975,3.246
2026-07-07,3.2451,3.3228,3.1922,3.3198,29917,52436,3.2526
2026-07-08,3.315,3.6785,3.275,3.6481,62316,54370,3.5815
2026-07-09,3.6411,3.6529,3.466,3.4754,35633,54025,3.4956
2026-07-10,3.4779,3.5549,3.4266,3.4546,32862,56875,3.4692
2026-07-13,3.5395,3.7442,3.529,3.7213,39318,59295,3.7165
2026-07-14,3.7296,3.9057,3.7296,3.8714,48320,60948,3.8845
2026-07-15,3.8628,3.946,3.7652,3.8713,38745,65917,3.8396
2026-07-16,3.8708,3.9688,3.8253,3.9442,32431,67707,3.9138
2026-07-17,3.9563,3.9918,3.9048,3.9494,34082,68806,3.9369
2026-07-20,4,4.0626,3.8759,3.9876,36576,69490,3.9946
2026-07-21,4.002,4.045,3.9686,4.0438,42389,72001,4.0306
2026-07-22,4.0349,4.1337,4.0247,4.0491,43094,73096,4.0661
2026-07-23,4.0738,4.2888,4.0651,4.2494,47954,75483,4.237
2026-07-24,4.274,4.274,4.0744,4.1311,41488,76959,4.0954
2026-07-27,3.9548,4.0983,3.9254,3.9849,48111,75886,4.006
2026-07-28,3.975,4.0613,3.9392,4.0183,43615,76236,4.013
2026-07-29,4.0123,4.2557,4.0123,4.233,38029,75636,4.2357
2026-07-30,4.233,4.233,4.0905,4.1198,43958,76822,4.1291
2026-07-31,4.1408,4.2293,4.0561,4.1936,38271,75491,4.0955
2026-08-03,3.8342,3.9252,3.7546,3.7562,28290,38113,3.7701
2026-08-04,3.7692,3.8045,3.5981,3.6403,30440,37956,3.6776
2026-08-05,3.655,3.7528,3.5922,3.6872,24468,38081,3.7014
2026-08-06,3.7014,3.8378,3.65,3.8291,20668,39248,3.7843
2026-08-07,3.816,3.8539,3.7563,3.8001,27766,40356,3.8231
2026-08-10,3.825,4.0995,3.8189,4.0589,40485,44049,4.0874
2026-08-11,4.0657,4.1578,4.0066,4.1317,42110,46277,4.1229
2026-08-12,4.1426,4.1881,4.0825,4.16,33155,49501,4.1787
2026-08-13,4.1633,4.1826,4.0722,4.117,32014,52433,4.1317
2026-08-14,4.1207,4.1705,4.0649,4.1662,29367,55793,4.1647
2026-08-17,4.1673,4.3247,4.1305,4.3057,32499,57316,4.3072
2026-08-18,4.3057,4.3555,4.2701,4.3541,29627,58437,4.3228
2026-08-19,4.3552,4.387,4.2731,4.3155,34378,60536,4.3227
2026-08-20,4.3155,4.3884,4.2883,4.3689,37286,61854,4.3735
2026-08-21,4.3715,4.44,4.3209,4.348,31568,65199,4.3848
2026-08-24,4.3555,4.3555,4.1693,4.1863,50059,66556,4.1734
2026-08-25,4.176,4.2228,4.053,4.0579,45451,63957,4.1409
2026-08-26,4.062,4.1981,3.9696,4.1129,42205,66155,4.1453
2026-08-27,4.111,4.19,4.0672,4.1689,38300,67943,4.1753
2026-08-28,4.1646,4.2554,4.1509,4.2421,38057,67874,4.249
2026-08-31,4.3,4.4386,4.2684,4.4359,36390,66951,4.2517
2026-09-01,4.2658,4.542,4.2432,4.5302,38340,49616,4.5054
2026-09-02,4.5324,4.5766,4.4122,4.4803,43109,51906,4.4951
2026-09-03,4.476,4.5136,4.4151,4.4312,27783,51562,4.425
2026-09-04,4.4262,4.4363,4.2819,4.387,27092,50555,4.3837
2026-09-08,4.4239,4.562,4.3914,4.4695,50881,50963,4.4195
2026-09-09,4.4741,4.6398,4.4674,4.6201,44551,53682,4.6247
2026-09-10,4.6292,4.9319,4.5364,4.9196,50629,55900,4.8459
2026-09-11,4.9177,4.9344,4.7613,4.801,6121,58718,None
