date,open,high,low,close,volume,open_interest,settle
2026-07-02,2.901,2.9264,2.8728,2.9069,4391,14498,2.9059
2026-07-06,2.8997,2.9889,2.8975,2.9862,3933,14942,2.9858
2026-07-07,2.9913,3.0551,2.959,3.0458,4599,14776,3.012
2026-07-08,3.0461,3.2795,3.0347,3.2378,10777,14929,3.2124
2026-07-09,3.235,3.2369,3.1218,3.1359,5626,14926,3.1483
2026-07-10,3.1316,3.1434,3.0958,3.1186,4676,14910,3.127
2026-07-13,3.1684,3.3188,3.1684,3.2979,5871,14545,3.3016
2026-07-14,3.3105,3.3801,3.2873,3.353,10674,14648,3.3618
2026-07-15,3.3402,3.3914,3.326,3.3847,7023,15004,3.3632
2026-07-16,3.39,3.4238,3.3541,3.4027,4479,15163,3.3851
2026-07-17,3.4084,3.4412,3.376,3.4315,4125,15092,3.4197
2026-07-20,3.4764,3.4936,3.3689,3.4365,5240,15274,3.4461
2026-07-21,3.4319,3.4788,3.4235,3.4687,5286,14782,3.4714
2026-07-22,3.4631,3.5212,3.4592,3.498,6024,14522,3.5033
2026-07-23,3.5029,3.6437,3.5029,3.6051,5708,14502,3.6004
2026-07-24,3.6027,3.6027,3.4992,3.5446,4792,14888,3.5298
2026-07-27,3.3717,3.4868,3.3717,3.4231,5009,15142,3.4505
2026-07-28,3.4253,3.4522,3.3667,3.3949,5640,15254,3.3929
2026-07-29,3.4403,3.5601,3.4353,3.556,5093,15502,3.5498
2026-07-30,3.5339,3.5515,3.4777,3.4896,5935,15232,3.4924
2026-07-31,3.4892,3.5736,3.4398,3.5637,4592,15616,3.5153
2026-08-03,3.4255,3.4869,3.3956,3.4046,7521,15700,3.4065
2026-08-04,3.4106,3.4253,3.3067,3.3225,8168,15921,3.3463
2026-08-05,3.3254,3.3986,3.292,3.3638,5701,15755,3.3802
2026-08-06,3.3605,3.4764,3.3372,3.4724,5910,15836,3.4417
2026-08-07,3.4701,3.4985,3.4235,3.4648,4787,15996,3.4913
2026-08-10,3.5217,3.69,3.4895,3.6564,7453,16321,3.6813
2026-08-11,3.6563,3.7162,3.6105,3.6956,8079,16833,3.6922
2026-08-12,3.7066,3.7551,3.6738,3.7426,7838,17752,3.7526
2026-08-13,3.7347,3.7597,3.681,3.7185,7391,18661,3.7308
2026-08-14,3.719,3.7594,3.6835,3.7529,6013,19414,3.7547
2026-08-17,3.76,3.8743,3.7359,3.8598,5867,19785,3.8655
2026-08-18,3.8594,3.9021,3.8447,3.901,4440,20182,3.8875
2026-08-19,3.9103,3.9375,3.8582,3.8864,5348,20529,3.8934
2026-08-20,3.9016,3.9792,3.8819,3.9638,6925,20580,3.9728
2026-08-21,3.9601,4.0062,3.9329,3.9329,5735,20872,3.9645
2026-08-24,3.9216,3.9216,3.8047,3.8139,6249,21366,3.8127
2026-08-25,3.8206,3.8356,3.7077,3.7112,8415,21161,3.7733
2026-08-26,3.715,3.7972,3.6443,3.7205,8669,21320,3.7533
2026-08-27,3.7208,3.8043,3.687,3.7853,5196,21251,3.7915
2026-08-28,3.794,3.8367,3.7712,3.8274,6480,21619,3.8316
2026-08-31,3.8772,3.9751,3.8487,3.9751,8512,21719,3.9503
2026-09-01,3.9829,4.1846,3.9478,4.1731,10883,21838,4.1646
2026-09-02,4.1638,4.2078,4.1018,4.1437,9684,22302,4.1529
2026-09-03,4.1435,4.1684,4.0961,4.1051,7810,22336,4.1027
2026-09-04,4.1089,4.1131,3.9884,4.0798,7428,21759,4.081
2026-09-08,4.1165,4.2184,4.1029,4.1669,14539,21606,4.1308
2026-09-09,4.1705,4.3099,4.1665,4.296,12876,21758,4.2984
2026-09-10,4.305,4.5451,4.2324,4.5381,21360,22278,4.4788
2026-09-11,4.5349,4.5416,4.4077,4.4307,2342,23107,None
