rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
231,EXPE,Expedia,20260908,274.55,34.8,52.6,67.3,34.8,74.4,338.64,187.43,-18.9,-12.4,22.4,260
232,DECK,Deckers Outdoor,20260908,82.6,33.0,36.6,41.7,32.1,61.9,120.94,79.54,-31.7,-15.2,-27.8,260
233,BX,Blackstone,20260908,133.97,42.8,58.5,68.2,40.2,73.3,181.94,100.5,-26.4,-5.4,11.6,260
234,NXPI,NXP Semiconductors,20260908,223.87,40.8,38.4,37.3,27.7,58.9,331.55,181.81,-32.5,-4.1,-25.8,260
235,SAIL,SailPoint,20260908,17.79,47.0,64.9,75.4,35.4,75.4,23.63,10.49,-24.7,-8.3,23.4,260
236,GEN,Gen Digital,20260908,29.81,54.8,71.1,70.4,41.4,71.4,31.33,17.72,-4.9,2.2,25.1,260
237,ADI,Analog Devices,20260908,363.2,44.2,39.7,51.3,34.8,62.1,444.13,222.42,-18.2,-5.1,-11.6,260
238,DOCU,DocuSign,20260908,65.08,58.6,66.8,66.4,35.6,70.8,85.01,41.75,-23.4,9.1,46.1,260
239,HNGE,Hinge Health,20260908,92.69,59.4,61.1,70.7,40.1,88.1,92.85,31.17,-0.2,1.2,43.2,260
240,LNVGY,LENOVO GROUP LTD,20260908,77.76,54.5,56.6,71.5,45.3,78.8,87.75,22.03,-11.4,4.4,32.7,260
241,JOBY,Joby Aviation,20260908,6.84,38.9,35.9,59.8,32.0,59.8,19.57,6.65,-65.0,-22.4,-26.9,260
242,ZTS,Zoetis,20260908,73.56,42.6,52.8,46.8,29.4,55.8,148.89,71.36,-50.6,-1.7,-9.0,260
243,CTVA,Corteva,20260908,85.9,57.7,61.8,34.9,31.4,74.2,90.32,60.43,-4.9,12.6,15.0,260
244,MKSI,MKS Inc,20260908,265.5,42.5,34.3,42.1,29.1,76.4,444.39,107.84,-40.3,-9.1,-23.0,260
245,WM,Waste Management,20260908,217.78,38.3,37.4,45.0,33.8,69.6,244.47,194.39,-10.9,-3.9,-0.5,260
246,FRVO,Fervo Energy,20260908,18.9,48.8,35.0,47.1,27.3,51.5,42.5,14.77,-55.5,-21.0,-45.4,81
247,PG,Procter & Gamble,20260908,145.58,49.9,49.8,49.1,41.3,64.9,164.72,135.04,-11.6,-0.6,-1.1,260
248,ONTO,Onto Innovation,20260908,281.11,48.9,41.8,51.8,32.1,69.8,378.45,103.63,-25.7,-3.5,-7.4,260
249,VALE,Vale SA,20260908,15.56,62.3,59.7,51.5,30.7,67.7,17.33,9.55,-10.2,7.4,4.2,260
250,GM,General Motors,20260908,85.79,50.7,53.1,61.7,37.6,73.7,90.11,54.88,-4.8,-2.3,6.3,260
251,EL,Estee Lauder,20260908,101.69,61.8,67.9,58.2,39.5,77.6,118.37,66.74,-14.1,17.0,15.9,260
252,ZIJMY,ZiJin Mining ADR,20260908,94.54,55.8,55.7,76.3,32.0,76.3,114.24,68.84,-17.2,-1.4,24.9,260
253,TAL,TAL Education,20260908,11.82,51.8,54.1,74.5,32.0,83.7,12.91,8.95,-8.4,-5.4,26.6,260
254,GSK,GlaxoSmithKline,20260908,48.54,37.4,44.7,51.2,37.4,59.7,59.62,38.17,-18.6,-6.1,-7.3,260
255,PSX,Phillips 66,20260908,259.14,77.2,72.1,66.8,37.1,81.5,259.14,123.11,0.0,20.9,46.3,260
256,YMM,Full Truck Alliance,20260908,8.43,39.7,39.0,65.6,33.5,69.6,13.62,7.47,-38.1,-13.1,0.5,260
257,LUMN,Lumen Technologies,20260908,6.64,54.2,48.7,49.4,25.8,60.2,11.83,5.12,-43.9,0.0,-21.8,260
258,HON,Honeywell,20260908,208.24,33.5,34.4,53.3,29.2,62.1,268.58,202.71,-22.5,-14.0,-12.7,260
259,AFRM,Affirm Holdings,20260908,72.08,44.0,46.5,50.0,37.5,70.8,92.18,42.53,-21.8,-4.6,8.4,260
260,FISV,Fiserv,20260908,50.86,43.0,52.9,48.5,31.1,63.2,136.41,47.18,-62.7,-2.6,-4.1,260
295,PBF,PBF Energy,20260908,76.77,62.4,58.4,60.0,38.0,81.4,76.77,25.55,0.0,16.2,87.3,260
296,DINO,HF Sinclair,20260908,108.31,75.0,69.4,52.9,38.4,83.1,108.31,44.83,0.0,27.9,55.9,260
297,NRG,NRG Energy,20260908,119.64,51.3,37.8,39.3,36.7,65.2,182.82,109.51,-34.6,0.6,-2.9,260
298,UPS,United Parcel Service,20260908,100.48,37.8,48.2,42.3,37.8,69.6,115.87,77.49,-13.3,-2.5,-6.0,260
299,Q,Qnity Electronics,20260908,123.28,43.7,35.2,46.2,31.5,65.4,175.52,73.35,-29.8,-8.2,-17.3,217
300,CL,Colgate-Palmolive,20260908,88.41,39.0,43.8,54.8,39.0,66.4,97.97,73.64,-9.8,-5.1,-0.5,260
301,HTHT,H World Group,20260908,44.18,46.6,58.2,54.8,31.2,72.2,53.59,35.21,-17.6,4.7,0.3,260
302,BR,Broadridge Financial Solutions,20260908,168.62,46.0,66.3,70.4,31.8,73.6,249.13,134.61,-32.3,-2.2,17.9,260
303,GWRE,Guidewire Software,20260908,149.71,36.8,73.7,68.5,31.7,75.0,261.88,102.69,-42.8,-13.4,26.3,260
304,EBAY,eBay,20260908,104.59,47.4,44.9,43.2,35.8,66.1,118.27,78.69,-11.6,-2.6,-4.3,260
305,CVS,CVS Health,20260908,96.07,47.6,41.2,32.0,28.7,74.7,109.92,68.1,-12.6,0.4,-3.8,260
306,BP,BP PLC,20260908,44.88,60.6,51.9,53.5,23.9,68.4,46.52,31.17,-3.5,5.9,6.4,260
307,GIS,General Mills,20260908,37.69,43.2,64.8,56.4,43.2,68.4,48.12,31.62,-21.7,1.2,13.4,260
308,GDDY,GoDaddy,20260908,92.88,45.1,54.7,50.8,35.1,70.8,148.88,74.99,-37.6,1.5,23.6,260
309,SQM,Sociedad Quimica Y Minera De Chile,20260908,75.66,51.5,59.2,55.3,30.8,73.3,92.85,39.56,-18.5,5.9,-4.1,260
310,MS,Morgan Stanley,20260908,216.24,52.5,48.0,51.5,37.0,71.7,227.3,145.49,-4.9,0.4,2.2,260
311,MBLY,Mobileye Global,20260908,8.52,47.3,46.0,51.3,31.5,60.1,15.54,6.56,-45.2,-2.6,-11.1,260
312,SPGI,S&P Global,20260908,429.31,50.0,57.6,45.3,37.7,71.2,516.46,367.07,-16.9,4.7,10.1,260
313,TD,The Toronto-Dominion Bank,20260908,120.52,50.0,52.6,54.1,38.4,76.4,124.8,72.35,-3.4,-0.5,4.4,260
314,ENTG,Entegris,20260908,141.09,50.6,44.2,53.5,31.2,69.9,183.84,68.64,-23.3,-2.2,-2.6,260
315,LHX,L3Harris Technologies,20260908,255.74,32.0,38.5,49.8,32.0,60.2,373.85,255.74,-31.6,-11.3,-17.7,260
316,VICR,Vicor,20260908,193.32,44.2,38.4,41.0,31.2,67.7,379.78,48.46,-49.1,-7.4,-35.1,260
317,CMG,Chipotle Mexican Grill,20260908,36.96,55.4,64.3,43.3,41.8,68.8,42.36,28.18,-12.7,15.0,18.3,260
318,CAVA,CAVA Group,20260908,60.14,35.9,44.1,36.7,30.8,66.7,97.39,43.59,-38.2,-2.3,-31.9,260
319,RACE,Ferrari,20260908,405.94,47.7,59.9,63.8,44.5,73.5,498.33,311.04,-18.5,-0.2,11.0,260
320,MBGYY,MERCEDES-BENZ GROUP AG UNSP ADR EACH REP 0.25 ORD SHS,20260908,13.8,62.0,59.3,55.2,28.5,64.0,16.93,12.25,-18.5,2.1,-0.3,260
321,YUM,Yum! Brands,20260908,148.76,46.2,52.6,39.4,34.7,71.8,166.65,135.58,-10.7,2.9,-2.5,260
322,INIO,INNIO N.V,20260908,21.82,41.9,31.8,46.3,28.5,62.0,41.13,19.47,-46.9,-19.6,-34.6,66
