date,open,high,low,close,volume,position
2019-03-14,448.000,460.750,447.000,452.251,0,0
2019-03-15,452.500,463.000,448.500,460.254,0,0
2019-03-18,463.000,464.000,454.500,457.251,0,0
2019-03-19,458.750,462.500,453.750,456.501,0,0
2019-03-20,456.750,465.000,454.750,464.501,0,0
2019-03-21,464.500,467.500,458.000,465.001,0,0
2019-03-22,465.000,473.750,463.750,465.001,0,0
2019-03-25,466.750,471.750,463.000,468.751,0,0
2019-03-26,469.500,478.000,467.000,469.751,0,0
2019-03-27,470.000,471.750,466.500,469.501,0,0
2019-03-28,468.750,469.250,459.500,463.751,0,0
2019-03-29,463.750,464.750,452.500,459.250,0,0
2019-04-01,459.500,468.250,456.000,462.751,0,0
2019-04-02,464.000,465.750,456.000,464.001,0,0
2019-04-03,463.750,472.750,463.000,471.251,0,0
2019-04-04,470.750,477.500,468.000,470.751,0,0
2019-04-05,468.750,469.250,464.250,467.750,0,0
2019-04-08,467.250,471.000,461.750,463.751,0,0
2019-04-09,462.250,462.500,456.250,459.001,0,0
2019-04-10,459.500,461.750,455.500,457.751,0,0
2019-04-11,457.500,462.500,456.750,461.751,0,0
2019-04-12,462.000,465.250,457.500,464.499,0,0
2019-04-15,463.250,463.750,457.750,459.501,0,0
2019-04-16,459.000,460.250,442.250,445.001,0,0
2019-04-17,446.000,450.000,444.750,447.501,0,0
2019-04-18,448.250,448.250,439.250,445.501,0,0
2019-04-19,445.501,445.500,445.500,445.503,0,0
2019-04-22,443.500,444.000,435.250,435.751,0,0
2019-04-23,435.750,441.250,433.000,437.751,0,0
2019-04-24,438.750,439.500,429.750,431.501,0,0
2019-04-25,430.500,437.500,428.250,434.001,0,0
2019-04-26,433.500,439.000,433.250,435.005,0,0
2019-04-29,436.000,439.750,425.000,425.001,0,0
2019-04-30,424.000,426.000,416.250,418.501,0,0
2019-05-01,429.000,437.750,428.250,436.501,0,0
2019-05-02,437.000,448.500,435.500,444.751,0,0
2019-05-03,445.000,448.000,436.000,437.496,0,0
2019-05-06,431.250,439.500,428.000,437.751,0,0
2019-05-07,437.250,442.250,431.250,440.751,0,0
2019-05-08,440.750,443.500,434.500,437.751,0,0
2019-05-09,437.750,438.000,428.000,429.001,0,0
2019-05-10,432.250,434.250,421.500,424.496,0,0
2019-05-13,425.500,440.750,418.500,436.251,0,0
2019-05-14,440.250,450.750,438.000,450.501,0,0
2019-05-15,451.250,464.000,447.000,448.501,0,0
2019-05-16,446.500,468.500,446.500,468.001,0,0
2019-05-17,469.500,473.250,462.500,463.004,0,0
2019-05-20,469.750,484.000,468.000,480.501,0,0
2019-05-21,486.500,492.750,474.000,476.001,0,0
2019-05-22,476.000,481.000,468.500,472.251,0,0
2019-05-23,473.250,485.500,466.250,469.251,0,0
2019-05-24,469.250,490.750,467.250,490.251,0,0
2019-05-27,490.250,490.250,490.250,490.251,0,0
2019-05-28,495.250,509.250,494.500,503.501,0,0
2019-05-29,515.750,521.750,487.500,488.001,0,0
2019-05-30,489.250,515.000,482.000,514.001,0,0
2019-05-31,513.750,520.000,500.750,504.745,0,0
2019-06-03,505.750,516.500,503.000,515.250,0,0
2019-06-04,526.000,529.000,519.000,523.000,0,0
2019-06-05,507.250,508.500,492.750,497.750,0,0
2019-06-06,492.250,511.000,487.750,509.750,0,0
2019-06-07,510.750,512.750,502.000,505.750,0,0
2019-06-10,505.000,505.000,493.250,503.750,0,0
2019-06-11,503.250,509.750,500.250,507.250,0,0
2019-06-12,520.000,528.000,513.000,523.750,0,0
2019-06-13,526.000,531.750,524.750,530.000,0,0
2019-06-14,535.500,538.500,531.250,537.000,0,0
2019-06-17,540.250,549.250,538.000,545.750,0,0
2019-06-18,540.250,541.000,525.250,531.001,0,0
