slice_id,start,end,length,ongoing,th,sector,标签,稳健,确认日偏移,区间涨跌pct,全局ER,上行ER,上行ER中位,n_up,low_n_up,下行ER,下行ER中位,n_dn,low_n_dn,EP05,EP06,ER20最大,HV20,静态corr,corr60均值,corr60最低,up分位,dn分位,hist80高up,hist80高dn,标签th3,标签th8
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,184,False,0.05,XLU,跟随震荡,,157,3.7738622112345244,0.03990078761397242,0.25703179880175003,0.25703179880175003,2,True,0.2733078482425924,0.2733078482425924,1,True,6,1,0.6283440175370704,9.419023381316974,0.571044151341838,0.5603824217496387,0.3527945234531759,,,False,False,跟随震荡,跟随震荡
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,184,False,0.05,XLV,跟随震荡,,116,9.373211331231325,0.08717726922281357,0.24112281969014215,0.21436721538708517,3,False,0.5058895575169028,0.5058895575169028,2,True,16,4,0.6599945850081601,11.270074974701021,0.8761722459709231,0.8664233258143087,0.7738410858664102,0.2857142857142857,,False,False,跟随震荡,跟随震荡
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,184,False,0.05,XLY,中性/混合,,-1,7.803349735940057,0.05799624861935856,0.26085296751498505,0.25812509022476016,3,False,0.38562613331184703,0.38562613331184703,2,True,3,0,0.5682473052243304,14.641382341036971,0.9130721910454012,0.9065028758922224,0.8587607249686668,0.5714285714285714,,False,False,中性/混合,跟随震荡
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLB,高波动跟随,,-1,6.044462066611178,0.08550852743408228,0.5469243429128043,0.5469243429128043,2,True,0.3894390480570539,0.3894390480570539,2,True,1,1,0.6068921824230986,13.844880722433976,0.8807840798155836,0.8624682864216225,0.7913719624937806,,,False,False,高波动跟随,高波动跟随
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLE,中性/混合,,-1,5.390859561957395,0.07791357207776584,0.6184971402496949,0.5148069855700549,3,False,0.5094539728755971,0.46132622439494575,3,False,1,1,0.6566848735360693,13.635490752466742,0.8785667663073513,0.839068732763588,0.7324825378261293,0.75,0.3333333333333333,False,False,中性/混合,跟随震荡
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLF,高波动跟随,,39,3.397682566226723,0.04492309516967232,0.832441722985696,0.7982133246610561,4,False,0.5916929502876843,0.5020478485403134,4,False,5,1,0.6860129321317652,14.721739917351675,0.9413920361904414,0.9336234697692682,0.90177442399069,1.0,0.6666666666666666,False,False,高波动跟随,高波动跟随
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLI,高波动跟随,,-1,7.567718701892412,0.10585505061283239,0.5192343849262471,0.5704660376763973,4,False,0.6386461028874985,0.5234706751909031,3,False,3,1,0.6025339481943646,13.642592495080617,0.9345797789564947,0.9307032092682662,0.902815016039803,0.375,1.0,False,False,高波动跟随,高波动跟随
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLK,跟随震荡,,-1,3.2350254773030107,0.05780785271787098,0.3705144908055534,0.43461578078823904,3,False,0.44783990638339655,0.44783990638339655,2,True,0,0,0.4782588388793902,11.138317434477932,0.8609729988801884,0.8329904793178865,0.7282450111631353,0.25,,False,False,跟随震荡,跟随震荡
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLP,中性/混合,,-1,1.6863717872086292,0.03038173972692753,0.5777694527213627,0.6926053657934099,3,False,0.5346546952322722,0.502926170705413,3,False,4,3,0.6926053657934099,11.668543929005475,0.854435765357919,0.809870441896482,0.7193216474084241,0.625,0.5,False,False,中性/混合,跟随震荡
S08,2013-05-30 00:00:00,2013-10-16 00:00:00,98,False,0.03,XLU,跟随震荡,,-1,1.4851311823439461,0.021642189021227016,0.26799199276397306,0.1745252226184196,3,False,0.756708335157242,0.756708335157242,2,True,3,1,0.6264806202572777,14.213639445931882,0.6737799193488754,0.6653172401076309,0.5203663597794518,0.125,,False,False,跟随震荡,跟随震荡
