slice_id,start,end,sector,区间涨跌pct,标签,稳健,标签th3,标签th8,EP05,EP06,全局ER,上行ER,下行ER,n_up,n_dn,corr60均值,corr60最低,HV20
S05,2009-11-23 00:00:00,2010-06-09 00:00:00,XLI,1.103,高波动跟随,,高波动跟随,高波动跟随,29,8,0.007,0.571,0.541,3,3,0.934,0.908,19.551
S05,2009-11-23 00:00:00,2010-06-09 00:00:00,XLK,-4.02,中性/混合,,中性/混合,跟随震荡,10,4,0.033,0.456,0.47,3,3,0.919,0.891,17.227
S05,2009-11-23 00:00:00,2010-06-09 00:00:00,XLP,-1.915,跟随震荡,,跟随震荡,跟随震荡,9,3,0.025,0.135,0.181,1,1,0.832,0.744,10.957
S05,2009-11-23 00:00:00,2010-06-09 00:00:00,XLU,-1.772,跟随震荡,,中性/混合,跟随震荡,1,0,0.016,0.413,0.308,2,2,0.787,0.702,15.042
S05,2009-11-23 00:00:00,2010-06-09 00:00:00,XLV,-6.644,跟随震荡,,跟随震荡,跟随震荡,8,3,0.065,0.371,0.417,2,2,0.825,0.676,14.153
S05,2009-11-23 00:00:00,2010-06-09 00:00:00,XLY,8.675,中性/混合,,中性/混合,跟随震荡,29,20,0.062,0.496,0.587,4,3,0.919,0.869,17.787
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLB,-4.615,高波动跟随,,高波动跟随,高波动跟随,3,3,0.036,0.711,0.611,5,4,0.876,0.831,20.93
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLE,-5.479,高波动跟随,,高波动跟随,高波动跟随,1,0,0.04,0.708,0.764,6,5,0.776,0.671,23.889
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLF,-16.528,弱势独立下跌,临界,弱势独立下跌,高波动跟随,3,1,0.153,0.577,0.762,4,3,0.876,0.818,18.665
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLI,-8.999,高波动跟随,,高波动跟随,高波动跟随,5,3,0.077,0.813,0.588,4,3,0.943,0.918,18.668
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLK,0.209,中性/混合,,中性/混合,跟随震荡,0,0,0.002,0.56,0.731,4,3,0.937,0.907,16.438
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLP,5.207,中性/混合,,中性/混合,跟随震荡,16,7,0.071,0.892,0.386,3,2,0.79,0.725,10.497
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLU,7.908,跟随震荡,,跟随震荡,跟随震荡,9,3,0.1,0.468,0.636,3,2,0.742,0.69,12.206
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLV,2.769,中性/混合,,中性/混合,跟随震荡,22,4,0.031,0.709,0.455,3,2,0.888,0.849,13.051
S06,2011-03-16 00:00:00,2011-08-15 00:00:00,XLY,-1.884,跟随震荡,,跟随震荡,跟随震荡,3,1,0.018,0.516,0.526,3,2,0.906,0.87,16.541
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLB,6.472,高波动跟随,,高波动跟随,高波动跟随,4,2,0.04,0.263,0.579,3,2,0.893,0.826,18.283
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLE,4.085,高波动跟随,,高波动跟随,高波动跟随,4,0,0.024,0.257,0.466,3,2,0.867,0.784,18.606
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLF,8.764,高波动跟随,,高波动跟随,高波动跟随,3,1,0.057,0.262,0.55,3,2,0.913,0.887,17.113
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLI,6.151,高波动跟随,,高波动跟随,高波动跟随,6,1,0.044,0.273,0.371,3,2,0.927,0.899,15.676
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLK,-2.373,跟随震荡,,中性/混合,跟随震荡,4,3,0.017,0.209,0.388,3,2,0.913,0.883,15.565
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLP,6.062,跟随震荡,,跟随震荡,跟随震荡,3,0,0.065,0.177,0.518,2,1,0.794,0.686,10.005
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLU,3.774,跟随震荡,,跟随震荡,跟随震荡,6,1,0.04,0.257,0.273,2,1,0.56,0.353,9.419
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLV,9.373,跟随震荡,,跟随震荡,跟随震荡,16,4,0.087,0.241,0.506,3,2,0.866,0.774,11.27
S07,2012-04-09 00:00:00,2012-12-31 00:00:00,XLY,7.803,中性/混合,,中性/混合,跟随震荡,3,0,0.058,0.261,0.386,3,2,0.907,0.859,14.641
