t,ticker,src,K,date,dir,in_choppy,in_choppy_a,fwd5,spy_fwd5,fwd10,spy_fwd10,fwd20,spy_fwd20,fwd60,spy_fwd60,ex5,ex10,ex20,ex60,fake10,mae20,surv20,nodes
1552,NVDA,hot50,8.0,2021-03-04,dn,True,False,5.07455909560901,4.467770551260308,2.88308380190625,3.9235293014222794,11.691511441972292,6.69552232685624,31.36443694542015,11.87039905702889,0.606788544348702,-1.0404454995160295,4.995989115116052,19.494037888391258,False,-10.467681286636044,False,sep_oct
1753,NVDA,hot50,8.0,2021-12-17,dn,True,False,11.30895777355092,3.7815169315611463,8.345040859743214,3.8793606873620767,-6.827087480119342,-0.7349813043878162,-11.873038818700332,-5.273223380827952,7.527440841989774,4.465680172381138,-6.0921061757315265,-6.59981543787238,False,-10.15997094911092,False,sep_oct
1773,NVDA,hot50,8.0,2022-01-18,dn,True,False,-13.816929599597804,-4.823767664638156,-4.883569881007066,-0.7754795422109328,2.2854567223792976,-2.2760638961891178,-14.269460401541956,-2.5855594191971254,-8.993161934959648,-4.108090338796133,4.561520618568416,-11.68390098234483,False,-3.003184491128408,True,sep_oct
1838,NVDA,hot50,8.0,2022-04-21,dn,True,False,-1.9868288490650254,-2.339875535143243,-6.634304498530308,-5.535803095338876,-15.156330522922879,-11.094376672633999,-15.792528259473137,-10.066095660234009,0.35304668607821776,-1.098501403191432,-4.06195385028888,-5.7264325992391285,False,-0.7426020859129245,True,sep_oct
2219,NVDA,hot50,8.0,2023-10-26,dn,True,False,7.8857349083081285,4.414027593688341,16.426132920578173,5.160593111501721,18.474432248429483,10.362388761753149,52.17824251904983,18.133080450998328,3.4717073146197874,11.26553980907645,8.112043486676335,34.0451620680515,True,-20.00238062564965,False,sep_oct
2404,NVDA,hot50,8.0,2024-07-24,dn,True,False,2.4244873158703495,1.7700316446490172,-13.426701580486222,-4.170151056676385,12.472629377694243,3.582557070498815,19.861439903424237,7.927531768170737,0.6544556712213323,-9.256550523809837,8.890072307195428,11.9339081352535,False,-12.115367884444005,False,sep_oct
2531,NVDA,hot50,8.0,2025-01-27,dn,True,False,-1.4862245762433002,-0.2669348858892695,12.793451297353453,0.9143027361861567,6.932955264150542,-0.8559068458150687,-13.258357412166088,-10.400817666755845,-1.2192896903540307,11.879148561167296,7.788862109965611,-2.857539745410243,False,-15.480703831661168,False,sep_oct
2555,NVDA,hot50,8.0,2025-03-03,dn,True,True,-6.207260464836784,-3.9724668533063556,4.805363852903222,-2.8470138040062043,-4.971095160384554,-3.8880514940072275,18.203051934658475,0.981208915572096,-2.2347936115304283,7.652377656909426,-1.0830436663773262,17.22184301908638,False,-6.263244721640138,False,sep_oct
2578,NVDA,hot50,8.0,2025-04-03,dn,True,False,5.667968308201976,-2.2582670754483614,-0.3045302333896327,-1.9172914772245697,12.475442714100836,5.600870458218754,50.59984808386564,15.423117308314382,7.926235383650337,1.612761243834937,6.874572255882082,35.176730775551256,False,-11.09170358707715,False,sep_oct
2824,NVDA,hot50,8.0,2026-03-27,dn,True,False,6.041067645709708,3.9174270801617617,13.007402097975461,8.202303846612246,29.303963865870376,12.786826394112861,18.930238623503428,15.934487106304761,2.1236405655479462,4.805098251363216,16.517137471757515,2.9957515171986664,True,-22.662850379643405,False,sep_oct
2886,NVDA,hot50,8.0,2026-06-26,dn,True,False,1.5685889428186606,3.057660511268967,5.713395351240647,2.7682125881170583,2.067208098879947,1.3854835808988941,,,-1.4890715684503064,2.9451827631235883,0.6817245179810527,,True,-9.397647633272054,False,sep_oct
2908,NVDA,hot50,8.0,2026-07-29,dn,True,False,15.372879089692448,5.5287411016198496,17.93589959281252,5.8988795774378655,10.34156608775989,5.020151072591639,,,9.8441379880726,12.037020015374656,5.3214150151682515,,True,-15.663563278698545,False,sep_oct
4,CRCL,hot50,5.0,2025-06-11,up,False,False,70.29863481228669,-0.6518741381471682,82.27815699658703,2.0484899834149584,59.83788395904437,4.008177862751139,-4.044368600682602,8.212722826072415,70.95050895043386,80.22966701317208,55.82970609629323,-12.257091426755018,False,-9.09556313993174,False,sep_oct
15,CRCL,hot50,5.0,2025-06-27,dn,False,False,14.980879011250892,0.938352075117943,13.45119991132293,1.6100014080299152,2.7323615806684076,3.5826583303535164,-27.412292855955222,8.153858027029969,14.042526936132948,11.841198503293015,-0.8502967496851088,-35.56615088298519,False,-23.247405138676193,False,sep_oct
27,CRCL,hot50,5.0,2025-07-16,up,False,False,-13.203259005145796,1.60040280209639,-18.310463121783872,1.6404615615343454,-34.32246998284734,3.311352753263641,-35.47169811320755,7.817884100676409,-14.803661807242186,-19.950924683318217,-37.63382273611098,-43.28958221388396,False,-34.42109777015436,False,sep_oct
35,CRCL,hot50,5.0,2025-07-28,dn,False,False,-11.08113940440225,-0.9058968849064319,-13.050280535174807,-0.16014512952533533,-32.434182132067335,0.8682076989996235,-29.947129909365565,5.6851569425175885,-10.175242519495818,-12.89013540564947,-33.30238983106696,-35.63228685188315,False,-2.698162729658782,True,sep_oct
55,CRCL,hot50,5.0,2025-08-25,dn,False,False,-4.072181411689558,-0.34242085173836756,-5.788885340146921,1.2234036473214083,4.575215586074743,3.5143738666296276,-38.837432130309814,3.02582694073783,-3.72976055995119,-7.012288987468329,1.0608417194451158,-41.86325907104764,False,-13.112251977244338,False,sep_oct
67,CRCL,hot50,5.0,2025-09-11,up,False,False,5.026178010471205,0.7040376077285249,-6.761406133133874,0.34128360508993705,12.55048616305161,2.340329636289784,-35.961106955871344,4.555900122488232,4.32214040274268,-7.102689738223811,10.210156526761827,-40.517007078359576,False,-6.761406133133874,False,sep_oct
77,CRCL,hot50,5.0,2025-09-25,dn,False,False,20.10267928766245,1.6974250769342225,20.71233755815818,1.9922468194321752,4.171346061286707,2.0834288016480462,-30.90806995026473,3.7308861523279724,18.405254210728227,18.720090738726004,2.087917259638661,-34.6389561025927,True,-17.158426368952682,False,sep_oct
87,CRCL,hot50,5.0,2025-10-09,up,False,False,-14.633173843700153,-1.5674223502789464,-13.702817650186061,0.0894008957144532,-33.53934077618287,-0.12664668426748404,-43.613769271664005,3.3813436010185605,-13.065751493421207,-13.792218545900514,-33.412694091915384,-46.99511287268257,True,-33.53934077618287,False,sep_oct
102,CRCL,hot50,5.0,2025-10-30,dn,True,False,-18.498899845163386,-1.4003495849889025,-32.898704262081324,-1.1458780011936454,-34.862684377801315,0.5236623449677236,-40.640534593757636,2.5954816108501255,-17.098550260174484,-31.75282626088768,-35.38634672276904,-43.236016204607765,False,-3.3627342888643996,True,sep_oct
154,CRCL,hot50,5.0,2026-01-15,dn,True,False,-6.879895561357696,-0.43482785316334427,-16.54046997389034,-0.03900119361380794,-21.61879895561357,-1.5153736500490234,37.71540469973891,0.5946795635340951,-6.445067708194351,-16.501468780276532,-20.103425305564546,37.12072513620482,False,-2.5569265996692625,True,sep_oct
175,CRCL,hot50,5.0,2026-02-17,up,True,True,-0.40571243102888177,0.6590004037318797,61.68451801363193,-0.36902872426928246,114.71924699772802,-1.7661315055263138,105.40408958130479,9.004505748349324,-1.0647128347607615,62.053546737901215,116.48537850325434,96.39958383295547,False,-0.7302823758519872,True,sep_oct
211,CRCL,hot50,5.0,2026-04-09,dn,True,False,26.27497062279671,3.1989592314656923,17.520564042303178,4.197625420528439,33.078730904817874,7.599545316271583,-23.443008225616914,10.255233092911364,23.07601139133102,13.322938621774739,25.47918558854629,-33.698241318528275,True,-30.13136288998358,False,sep_oct
238,CRCL,hot50,5.0,2026-05-18,dn,False,False,-6.481730855552559,1.6164684385910455,-9.462249753119679,2.8321977137827803,-28.431636592153698,1.5812682090149632,-32.32785707873239,5.582347163568979,-8.098199294143605,-12.294447466902458,-30.01290480116866,-37.910204242301376,False,-3.03795264623955,True,sep_oct
262,CRCL,hot50,5.0,2026-06-23,dn,True,False,-17.243657505285416,1.7980318621180214,-15.340909090909104,1.6112771679781313,-12.579281183932356,1.8852689185225868,,,-19.041689367403436,-16.952186258887235,-14.464550102454943,,False,-0.36861506055817506,True,sep_oct
