idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
1690,2016-09-15,8.898,1690,2016-09-15,0,True,True,True,2.22,-1.49,1.49,8.958,2016-09-20,hit,-1.07,1.22,-0.42
1692,2016-09-19,8.902,1692,2016-09-19,0,True,True,True,-0.7,0.03,-1.12,8.922,2016-09-26,hit,-0.19,4.4,-4.7
1729,2016-11-09,8.62,1729,2016-11-09,0,True,True,True,10.24,10.09,13.66,8.505,,miss,,,
1787,2017-02-03,9.478,1787,2017-02-03,0,True,True,True,0.82,2.06,-1.35,9.427,2017-02-08,hit,4.04,0.69,-2.41
1865,2017-05-26,8.815,1868,2017-06-01,3,True,True,True,2.41,4.96,5.22,8.823,,miss,,,
1868,2017-06-01,8.808,1868,2017-06-01,0,True,True,True,3.24,4.77,5.31,8.823,,miss,,,
2149,2018-07-13,15.375,2151,2018-07-17,2,False,False,False,1.89,-0.21,0.85,,,,,,
2227,2018-11-01,12.95,2227,2018-11-01,0,True,True,True,8.76,4.86,11.68,13.225,2018-11-15,hit,-1.87,9.36,0.47
2266,2018-12-31,13.662,2266,2018-12-31,0,False,False,False,-3.93,-5.22,-7.19,,,,,,
2269,2019-01-04,13.625,2269,2019-01-04,0,False,False,False,-5.61,0.24,-7.91,,,,,,
2278,2019-01-17,13.325,2278,2019-01-17,0,False,False,False,-5.14,-6.92,-0.24,,,,,,
2291,2019-02-06,12.702,2294,2019-02-11,3,True,True,True,3.9,9.29,5.51,12.962,2019-03-21,hit,-0.05,3.48,5.85
2329,2019-04-02,13.598,2331,2019-04-04,2,True,True,False,-1.86,1.73,1.62,13.57,2019-04-09,hit,1.93,-0.07,3.72
2394,2019-07-05,13.722,2396,2019-07-09,2,False,False,False,-4.86,-9.73,-8.67,,,,,,
2411,2019-07-30,12.745,2412,2019-07-31,1,False,False,False,-4.39,-8.81,-11.63,,,,,,
2433,2019-08-29,11.51,2434,2019-08-30,1,True,True,True,6.43,12.38,15.96,11.86,2019-09-06,hit,9.06,9.93,0.32
2474,2019-10-28,11.922,2474,2019-10-28,0,True,True,False,-2.62,-3.75,3.56,11.937,2019-10-31,hit,-2.51,-2.36,1.41
2512,2019-12-20,11.825,2515,2019-12-26,3,False,False,False,-1.54,-0.27,4.0,,,,,,
2516,2019-12-27,11.785,2519,2020-01-02,3,True,True,True,0.62,4.03,-0.4,11.958,2020-01-07,hit,2.53,2.84,9.01
2519,2020-01-02,11.95,2519,2020-01-02,0,True,True,True,1.69,4.16,-1.67,11.903,2020-01-07,hit,3.0,3.31,9.51
2615,2020-05-20,9.798,2618,2020-05-26,3,True,True,True,9.36,10.87,7.99,10.218,2020-06-11,hit,3.54,2.66,20.45
2706,2020-09-29,12.025,2709,2020-10-02,3,True,True,True,4.1,5.55,-0.15,12.231,2020-10-21,hit,-1.77,-1.34,7.84
2735,2020-11-09,12.372,2735,2020-11-09,0,True,True,True,10.49,6.36,9.4,12.362,,miss,,,
2890,2021-06-23,16.27,2892,2021-06-25,2,True,False,False,1.0,-2.58,-5.84,16.748,2021-06-30,hit,-5.36,-4.66,-6.99
2917,2021-08-02,15.715,2917,2021-08-02,0,False,False,False,1.53,-0.51,2.5,,,,,,
2933,2021-08-24,15.762,2933,2021-08-24,0,True,True,True,2.52,0.0,-4.44,15.884,2021-09-08,hit,-2.95,-5.17,8.95
3046,2022-02-03,17.552,3047,2022-02-04,1,True,True,True,5.91,1.35,-16.42,18.289,2022-02-11,hit,-4.1,-9.54,-15.54
3073,2022-03-15,15.43,3074,2022-03-16,1,True,True,True,10.09,10.11,5.36,16.342,2022-03-21,hit,1.99,2.85,0.16
3119,2022-05-19,13.742,3121,2022-05-23,2,True,True,True,8.22,9.37,1.67,14.519,2022-05-26,hit,3.52,-2.78,0.09
3143,2022-06-24,14.578,3143,2022-06-24,0,False,False,False,-4.29,-7.24,-2.11,,,,,,
3159,2022-07-19,14.315,3159,2022-07-19,0,True,True,True,-1.83,0.82,14.93,14.145,2022-07-22,hit,3.73,8.55,10.8
3487,2023-11-06,20.208,3490,2023-11-09,3,False,False,False,0.96,-2.19,-2.42,,,,,,
3506,2023-12-04,19.81,3508,2023-12-06,2,True,True,True,5.96,2.39,9.33,20.236,2023-12-13,hit,0.64,2.73,9.16
3678,2024-08-12,29.482,3678,2024-08-12,0,True,True,True,3.41,5.4,3.49,29.907,2024-08-15,hit,3.74,6.22,7.06
3844,2025-04-10,41.078,3845,2025-04-11,1,True,False,False,-2.92,3.02,12.96,43.355,2025-04-16,hit,-2.52,0.53,19.36
4008,2025-12-04,65.95,4008,2025-12-04,0,True,True,True,0.17,-4.56,8.52,66.336,2025-12-09,hit,-4.94,-0.57,5.76
4020,2025-12-22,65.795,4020,2025-12-22,0,True,True,True,-1.21,8.43,17.35,66.009,2025-12-26,hit,8.42,7.24,14.35
4083,2026-03-25,68.68,4083,2026-03-25,0,False,False,False,-1.12,4.73,10.51,,,,,,
4088,2026-04-01,67.91,4088,2026-04-01,0,True,True,True,5.92,16.88,17.07,68.761,2026-04-07,hit,12.13,15.79,22.03
4179,2026-08-12,91.66,4179,2026-08-12,0,True,,,,,,91.117,,miss,,,
