ticker,date,dir,choppy,dev_adr
NEE,2022-04-21,dn,True,-2.711515092649014
NEE,2022-09-21,dn,False,-0.6688251694075249
NEE,2023-02-23,dn,True,0.8247336607728508
NEE,2023-05-25,dn,False,0.8923823072709197
NEE,2023-06-29,dn,False,0.904714746984665
NEE,2023-08-03,dn,True,-1.5319282461271406
NEE,2023-10-24,up,True,-0.6144971387736309
NEE,2024-10-29,dn,False,-0.5328443786127118
NEE,2025-12-09,dn,True,0.4453934896076264
NEE,2026-01-08,dn,True,3.005068661957203
NEE,2026-05-18,dn,False,0.20464982679748706
AWK,2008-07-28,dn,True,1.2454100742193543
AWK,2008-08-05,up,True,-0.10176745564944141
AWK,2008-10-09,dn,True,0.3609028986728361
AWK,2008-10-20,up,True,1.0956579999214453
AWK,2008-11-25,up,True,0.9533282176939906
AWK,2008-12-24,up,True,0.7355030235159913
AWK,2009-01-27,up,True,0.3357607361241627
AWK,2009-02-25,dn,True,-1.050654211456459
AWK,2009-03-31,up,True,1.1131498611210913
AWK,2009-06-11,up,True,0.016786361015662884
AWK,2009-07-24,up,True,-0.3986243974401616
AWK,2009-10-30,dn,True,2.973273617907504
AWK,2009-11-16,up,True,-1.6467401976313267
AWK,2010-03-01,dn,True,0.2875037069776911
AWK,2010-05-07,dn,False,1.5600734367483964
AWK,2010-06-07,dn,True,1.5718100348691573
AWK,2011-07-27,dn,True,-0.38640385340354033
AWK,2015-06-05,dn,True,-0.8621097684986423
AWK,2016-10-04,dn,True,-0.04370534219044395
AWK,2018-02-05,dn,True,0.04931229658105737
AWK,2020-03-12,dn,False,2.3027632262849704
AWK,2021-02-25,dn,True,-0.7169328351490608
AWK,2022-01-14,dn,True,-1.0955393215152318
AWK,2022-05-02,dn,True,0.0912045931711035
AWK,2022-06-13,dn,True,1.3035837683747795
AWK,2022-09-20,dn,False,-0.9250231815953711
AWK,2023-02-16,dn,True,0.012767036991911864
AWK,2023-06-26,dn,False,1.1039223227275858
AWK,2023-08-17,dn,True,0.3345423625789806
AWK,2023-09-18,dn,True,-0.8413020819226724
AWK,2024-12-04,dn,False,0.125443056473067
AWK,2025-01-03,dn,True,-2.246785743058422
AWK,2025-05-13,dn,False,1.5777955847416123
AWK,2025-10-29,dn,True,-1.207738797416284
TSLA,2015-03-02,dn,True,-0.0724844008176303
TSLA,2015-04-06,up,True,-0.22816662725885115
TSLA,2015-07-27,dn,True,1.6765760015359197
TSLA,2015-08-24,dn,True,0.9579631294478316
TSLA,2015-10-12,dn,False,0.9746463110411441
TSLA,2016-01-07,dn,True,-0.7889889411296528
TSLA,2016-04-04,up,False,-1.0300367994173372
TSLA,2016-05-05,dn,True,-0.757447369257503
TSLA,2016-06-22,dn,True,1.5137285286876447
TSLA,2016-11-01,dn,True,0.15998395079658806
TSLA,2016-12-13,up,True,-0.16247833923022192
TSLA,2017-10-23,dn,False,-0.23767608633419438
TSLA,2018-03-16,dn,True,-0.9441862874195631
TSLA,2018-07-03,dn,False,-0.48697118316504406
TSLA,2018-08-30,dn,False,-0.24799619514881313
TSLA,2018-10-05,dn,True,0.6716119971179227
TSLA,2018-11-23,dn,False,2.31983238896449
TSLA,2018-12-24,dn,False,0.7658836245024974
TSLA,2019-01-24,dn,False,1.1241639574766717
TSLA,2019-03-04,dn,False,-0.02760751410449378
TSLA,2019-04-24,dn,False,-0.5522236803603578
TSLA,2019-07-19,up,True,4.072835441173514
TSLA,2019-08-14,dn,True,-0.11680677095120015
TSLA,2019-09-05,up,True,-0.07856233394922173
TSLA,2019-10-11,up,True,-0.999296329867926
TSLA,2020-02-27,dn,False,0.1808560710143743
TSLA,2020-09-09,dn,True,-1.3094939751691212
TSLA,2022-10-26,up,True,3.096075167179255
TSLA,2023-01-17,up,True,-0.44058905337308535
NVDA,2015-05-11,dn,True,0.6217350817066715
NVDA,2015-06-29,dn,True,-0.20918391102159492
NVDA,2015-08-07,up,True,1.441385561103232
NVDA,2015-09-15,up,True,-0.19669354245013468
NVDA,2016-01-13,dn,True,-1.1261995534387748
NVDA,2017-01-17,dn,False,2.1514177253207443
