sector,ticker,pair,date,t,entry,entry_reason,days_into_window,etf_depth_pct,ema_state,support_level,support_band_lo,support_band_hi,support_age,support_touches,n_levels,lower_shadow,stk_vol_ratio,stk_ret_day,rs5,vix,spy_above_ma100,etf_t_index,fwd1,fwd5,fwd10,fwd20,support_broken_day,cls
XLE,CVX,XLE/CVX,2002-04-26,1842,16.737,死叉,1,-1.47,EMA10<EMA20,16.487,16.269,16.704,188,分形支撑(8触),1,0.26,1.57,-1.51,-0.49,22.1,False,838,1.49,5.8,3.96,6.15,,V型反转
XLE,CVX,XLE/CVX,2002-07-11,1894,16.48,连续3日低于EMA20,1,-6.49,EMA10<EMA20,16.522,16.276,16.768,240,分形支撑(10触),1,0.05,1.66,-2.62,1.58,33.8,False,890,0.18,-4.78,-15.67,-9.79,2.0,支撑击穿
XLE,CVX,XLE/CVX,2002-07-15,1896,16.101,连续3日低于EMA20,3,-8.67,EMA10<EMA20,15.957,15.709,16.205,159,分形支撑(4触),2,0.7,1.73,-2.48,2.61,35.0,False,892,-1.7,-13.91,-7.89,-7.06,3.0,支撑击穿
XLE,CVX,XLE/CVX,2002-10-08,1956,14.004,连续3日低于EMA20,0,-3.25,EMA10<EMA20,13.601,13.234,13.968,42,分形支撑(2触),1,0.28,1.26,-1.28,0.96,41.0,False,952,-1.65,6.8,3.09,-0.43,,横盘消化
XLE,CVX,XLE/CVX,2002-10-31,1973,13.608,连续3日低于EMA20,2,-1.2,EMA10<EMA20,13.637,13.29,13.983,59,分形支撑(3触),2,0.31,3.27,-5.28,-5.35,31.1,False,969,1.8,-0.19,0.42,0.17,,横盘消化
XLE,CVX,XLE/CVX,2003-01-22,2028,13.36,连续3日低于EMA20,0,-2.65,EMA10<EMA20,13.328,13.096,13.561,122,分形支撑(7触),1,0.06,1.66,-1.72,-2.01,29.0,False,1024,-1.11,-0.61,-0.96,-2.29,2.0,支撑击穿
XLE,CVX,XLE/CVX,2003-09-30,2202,14.989,死叉,3,-0.55,EMA10<EMA20,14.745,14.574,14.917,60,分形支撑(2触),1,0.68,1.02,-0.35,-0.65,22.7,True,1198,2.35,3.54,4.95,2.72,,V型反转
XLE,CVX,XLE/CVX,2003-10-24,2220,15.34,死叉,0,-0.91,EMA10<EMA20,15.079,14.92,15.238,86,分形支撑(4触),1,0.54,0.98,-0.93,0.43,17.7,True,1216,-0.4,1.61,1.96,1.47,,V型反转
XLE,CVX,XLE/CVX,2003-10-30,2224,15.054,死叉,4,-2.06,EMA10<EMA20,14.774,14.618,14.931,82,分形支撑(3触),1,0.21,2.15,-1.83,-1.05,16.3,True,1220,3.54,3.33,5.56,5.67,,V型反转
XLE,CVX,XLE/CVX,2003-11-20,2239,15.675,连续3日低于EMA20,1,-0.55,EMA10<EMA20,15.108,14.951,15.264,105,分形支撑(5触),1,0.23,0.82,-0.27,0.15,19.5,True,1235,-0.7,1.49,5.41,12.53,,V型反转
